state,own_grp,v51_class,n_plots,mean_carbon,carbon_lo,carbon_hi
ME,Federal,Not LSOG,19,62.228697923764884,52.769428793938275,70.73026032594643
ME,Federal,Transitioning LS,7,104.71312911754794,82.08740683309014,129.94404584812744
ME,Federal,LS,3,123.55228821439445,90.85248030794382,143.83614928492432
ME,Other federal,Not LSOG,29,48.79897371421639,40.21280771179379,58.00126317900603
ME,Other federal,Transitioning LS,5,89.11575426439924,80.91977316773108,99.10450036123319
ME,Other federal,LS,1,NA,NA,NA
ME,Private,Not LSOG,2473,44.36875271407345,43.362218275709296,45.320193332029866
ME,Private,Transitioning LS,314,78.564722366669,75.83705939876367,81.24661884667145
ME,Private,LS,45,100.70484495996683,93.40663561894652,108.19606845042169
ME,Private,OG,5,134.42016768432117,115.51039597986257,153.32993938877976
ME,State and local,Not LSOG,145,52.29240259218756,48.57104092463752,56.35156439482478
ME,State and local,Transitioning LS,51,81.19393516272464,74.4219093027702,88.96593054270605
ME,State and local,LS,9,103.02151317893775,81.11416058220402,129.22707197768614
ME,State and local,OG,1,NA,NA,NA
NH,Federal,Not LSOG,132,68.2314723505868,63.799121976302466,73.08375283652938
NH,Federal,Transitioning LS,116,84.0837664382051,78.7155710448551,89.0253964181515
NH,Federal,LS,14,98.25459604878921,79.1995505738627,118.6041177159463
NH,Other federal,Not LSOG,4,78.09199558680363,66.14325755400999,88.81729651167258
NH,Other federal,Transitioning LS,4,79.8896162256172,65.04278602805654,92.12187726651143
NH,Other federal,LS,1,NA,NA,NA
NH,Private,Not LSOG,340,61.68961107890262,57.983423454557716,65.15391097100378
NH,Private,Transitioning LS,63,112.73735885460829,104.2624659962157,121.07183842965011
NH,Private,LS,20,142.01499799642198,125.71518528009386,159.0133238795234
NH,Private,OG,1,NA,NA,NA
NH,State and local,Not LSOG,44,59.496937965753794,51.28780174226157,67.87507993385337
NH,State and local,Transitioning LS,13,107.99756132474333,96.86444789238286,119.17123706341812
NH,State and local,LS,3,127.81826657999041,110.11194958744302,140.32471968125057
NH,State and local,OG,1,NA,NA,NA
NY,Federal,Not LSOG,5,76.62491129781016,39.40453840066438,115.9637327984758
NY,Federal,Transitioning LS,1,NA,NA,NA
NY,Other federal,Not LSOG,11,44.25405758330492,30.28481938729649,58.79870686064895
NY,Other federal,Transitioning LS,6,114.3575390191776,85.60275847593509,144.76579478516788
NY,Private,Not LSOG,1207,50.17144227556133,48.31864228920321,52.16147872965687
NY,Private,Transitioning LS,226,102.59510337899778,98.18487738137804,107.0140012186896
NY,Private,LS,59,134.24333851800992,126.1354279878866,142.06182571877093
NY,Private,OG,8,150.40699331636935,126.56404963906115,174.39216870603434
NY,State and local,Not LSOG,276,60.86107987074763,57.131021685013366,64.97515599443055
NY,State and local,Transitioning LS,184,96.21606517316899,91.16116832455191,100.59159058995638
NY,State and local,LS,70,126.80966900339253,119.83368728787002,133.4812031159826
NY,State and local,OG,19,149.10143051486176,136.21981981464302,163.87800482408824
VT,Federal,Not LSOG,92,69.2314143454327,64.5119901279069,74.44325371860711
VT,Federal,Transitioning LS,52,85.24729305457626,77.53637720414633,91.51178053627876
VT,Federal,LS,18,115.23130151604826,101.73758583939872,128.41680207689546
VT,Other federal,Not LSOG,5,76.00359036159531,62.75325014165159,89.106304284667
VT,Other federal,LS,2,99.01116614397247,69.14449363258451,128.87783865536045
VT,Private,Not LSOG,335,55.932322891086464,53.06707385027143,59.035907997183045
VT,Private,Transitioning LS,82,104.52666854313868,98.49161912874504,111.37221860927751
VT,Private,LS,19,122.33878125500986,109.99396350233701,135.1992896659153
VT,Private,OG,1,NA,NA,NA
VT,State and local,Not LSOG,34,57.384058574167305,48.87295914583724,65.44807952538405
VT,State and local,Transitioning LS,11,96.53237059026989,80.47051831636725,113.95225436348915
VT,State and local,LS,4,132.83106668909062,116.51866356625975,147.73189409278996
