v4_class,n_TM_IDs,pixels,acres,pct,year,state
Unknown (PLT_CN not in NE 1999-2023),367,250774,55770.632956,0.33,2020,ME
Transitioning LS,425,5601936,1245836.954784,7.45,2020,ME
Not LSOG,2686,68807376,15302347.578144,91.51,2020,ME
LS,34,528650,117568.5881,0.7,2020,ME
Unknown (PLT_CN not in NE 1999-2023),372,262079,58284.797126,0.35,2022,ME
Transitioning LS,425,5524862,1228696.159628,7.36,2022,ME
Not LSOG,2738,68732976,15285801.464544,91.61,2022,ME
LS,35,510142,113452.519948,0.68,2022,ME
