PLT_CN,hybrid_class,source
10187304010661,Not LSOG,v4
10187348010661,Not LSOG,v4
10187387010661,Not LSOG,v4
10187447010661,Not LSOG,v4
10187503010661,Not LSOG,v4
10187542010661,Not LSOG,v4
10187575010661,Not LSOG,v4
10187640010661,Not LSOG,v4
10187679010661,Not LSOG,v4
10187724010661,Not LSOG,v4
10187740010661,Not LSOG,v4
10187770010661,Not LSOG,v4
10187804010661,Not LSOG,v4
10187840010661,Not LSOG,v4
10187887010661,Not LSOG,v4
10187948010661,Not LSOG,v4
10188007010661,Not LSOG,v4
10188044010661,Not LSOG,v4
10188111010661,Not LSOG,v4
10188147010661,Not LSOG,v4
10188181010661,Not LSOG,v4
10188219010661,Not LSOG,v4
10188255010661,Not LSOG,v4
10188297010661,Not LSOG,v4
10188350010661,Not LSOG,v4
10188421010661,Not LSOG,v4
10188464010661,Not LSOG,v4
10188478010661,Not LSOG,v4
10188506010661,Not LSOG,v4
10188553010661,Not LSOG,v4
10188607010661,Not LSOG,v4
10188667010661,Not LSOG,v4
10188691010661,Not LSOG,v4
10188723010661,Not LSOG,v4
10188768010661,Not LSOG,v4
10188827010661,Not LSOG,v4
10188867010661,Not LSOG,v4
10188905010661,Not LSOG,v4
10188981010661,Not LSOG,v4
10189021010661,Not LSOG,v4
10189065010661,Not LSOG,v4
10189122010661,Not LSOG,v4
10189157010661,Not LSOG,v4
10189192010661,Not LSOG,v4
10189212010661,Not LSOG,v4
10189257010661,Not LSOG,v4
10189294010661,Not LSOG,v4
10189323010661,Not LSOG,v4
10189375010661,Not LSOG,v4
10189414010661,Not LSOG,v4
10189428010661,Not LSOG,v4
10189462010661,Not LSOG,v4
10189506010661,Not LSOG,v4
10189557010661,Not LSOG,v4
10189590010661,Not LSOG,v4
10189626010661,Not LSOG,v4
10189662010661,Not LSOG,v4
10189698010661,Not LSOG,v4
10189719010661,Not LSOG,v4
10189779010661,Not LSOG,v4
10189825010661,Not LSOG,v4
10189872010661,Not LSOG,v4
10189920010661,Not LSOG,v4
10189958010661,Not LSOG,v4
10190006010661,Not LSOG,v4
10190045010661,Not LSOG,v4
10190087010661,Not LSOG,v4
10190123010661,Not LSOG,v4
10190162010661,Not LSOG,v4
10190210010661,Not LSOG,v4
10190256010661,Not LSOG,v4
10190295010661,Not LSOG,v4
10190337010661,Not LSOG,v4
10190392010661,Not LSOG,v4
10190416010661,Not LSOG,v4
10190459010661,Not LSOG,v4
10190496010661,Not LSOG,v4
10190536010661,Not LSOG,v4
10190563010661,Not LSOG,v4
10190611010661,Not LSOG,v4
10190671010661,Not LSOG,v4
10190719010661,Not LSOG,v4
10190758010661,Not LSOG,v4
10190810010661,Not LSOG,v4
10190856010661,Not LSOG,v4
10190882010661,Not LSOG,v4
10190932010661,Not LSOG,v4
10191006010661,Not LSOG,v4
10191055010661,Not LSOG,v4
10191099010661,Not LSOG,v4
10191149010661,Not LSOG,v4
10191188010661,Not LSOG,v4
10191228010661,Not LSOG,v4
10191261010661,Not LSOG,v4
10191304010661,Not LSOG,v4
10191353010661,Not LSOG,v4
10191407010661,Not LSOG,v4
10191454010661,Not LSOG,v4
10191503010661,Not LSOG,v4
10191547010661,Not LSOG,v4
10191625010661,Not LSOG,v4
10191658010661,Not LSOG,v4
10191698010661,Not LSOG,v4
10191704010661,Not LSOG,v4
10191769010661,Not LSOG,v4
10191798010661,Not LSOG,v4
10191809010661,Not LSOG,v4
10191843010661,Not LSOG,v4
10191908010661,Not LSOG,v4
10191969010661,Not LSOG,v4
10192014010661,Not LSOG,v4
10192053010661,Not LSOG,v4
10192075010661,Not LSOG,v4
10192122010661,Not LSOG,v4
10192142010661,Not LSOG,v4
10192193010661,Not LSOG,v4
10192240010661,Not LSOG,v4
10192288010661,Not LSOG,v4
10192314010661,Not LSOG,v4
10192373010661,Not LSOG,v4
10192419010661,Not LSOG,v4
10192446010661,Not LSOG,v4
10192506010661,Not LSOG,v4
10192551010661,Not LSOG,v4
