PLT_CN,hybrid_class,source
10192608010661,Not LSOG,v4
10192668010661,Not LSOG,v4
10192743010661,Not LSOG,v4
10192785010661,Not LSOG,v4
10192829010661,Not LSOG,v4
10192855010661,Not LSOG,v4
10192864010661,Not LSOG,v4
10192919010661,Not LSOG,v4
10192936010661,Not LSOG,v4
10192990010661,Not LSOG,v4
10193040010661,Not LSOG,v4
10193089010661,Not LSOG,v4
10193105010661,Not LSOG,v4
10193113010661,Not LSOG,v4
10193145010661,Not LSOG,v4
10193197010661,Not LSOG,v4
10193261010661,Not LSOG,v4
10193283010661,Not LSOG,v4
10193320010661,Not LSOG,v4
10193377010661,Not LSOG,v4
10193397010661,Not LSOG,v4
10193447010661,Not LSOG,v4
10193464010661,Not LSOG,v4
10193478010661,Not LSOG,v4
10193530010661,Not LSOG,v4
10193573010661,Not LSOG,v4
10193623010661,Not LSOG,v4
10193669010661,Not LSOG,v4
10193674010661,Not LSOG,v4
10193713010661,Not LSOG,v4
10193763010661,Not LSOG,v4
10193803010661,Not LSOG,v4
10193855010661,Not LSOG,v4
10193891010661,Not LSOG,v4
10193926010661,Not LSOG,v4
10193957010661,Not LSOG,v4
10194004010661,Not LSOG,v4
10194045010661,Not LSOG,v4
10194084010661,Not LSOG,v4
10194131010661,Not LSOG,v4
10194167010661,Not LSOG,v4
10194213010661,Not LSOG,v4
10194271010661,Not LSOG,v4
10194337010661,Not LSOG,v4
10194390010661,Not LSOG,v4
10194436010661,Not LSOG,v4
10194454010661,Not LSOG,v4
10194497010661,Not LSOG,v4
10194540010661,Not LSOG,v4
10194611010661,Not LSOG,v4
10194636010661,Not LSOG,v4
10194682010661,Not LSOG,v4
10194730010661,Not LSOG,v4
10194752010661,Not LSOG,v4
10194799010661,Not LSOG,v4
10194843010661,Not LSOG,v4
10194888010661,Not LSOG,v4
10194953010661,Not LSOG,v4
10194998010661,Not LSOG,v4
10195025010661,Not LSOG,v4
10195058010661,Not LSOG,v4
10195105010661,Not LSOG,v4
10195169010661,Not LSOG,v4
10195210010661,Not LSOG,v4
10195273010661,Not LSOG,v4
10195316010661,Not LSOG,v4
10195344010661,Not LSOG,v4
10195389010661,Not LSOG,v4
10195394010661,Not LSOG,v4
10195458010661,Not LSOG,v4
10195478010661,Not LSOG,v4
10195524010661,Not LSOG,v4
10195572010661,Not LSOG,v4
10195621010661,Not LSOG,v4
10195669010661,Not LSOG,v4
10195705010661,Not LSOG,v4
10195746010661,Not LSOG,v4
10195770010661,Not LSOG,v4
10195820010661,Not LSOG,v4
10195869010661,Not LSOG,v4
10195910010661,Not LSOG,v4
10195955010661,Not LSOG,v4
10196013010661,Not LSOG,v4
10196059010661,Not LSOG,v4
10196111010661,Not LSOG,v4
10196152010661,Not LSOG,v4
10196181010661,Not LSOG,v4
10196219010661,Not LSOG,v4
10196262010661,Not LSOG,v4
10196291010661,Not LSOG,v4
10196322010661,Not LSOG,v4
10196355010661,Not LSOG,v4
10196406010661,Not LSOG,v4
10196432010661,Not LSOG,v4
10196481010661,Not LSOG,v4
10196494010661,Not LSOG,v4
10196536010661,Not LSOG,v4
10196577010661,Not LSOG,v4
10196637010661,Not LSOG,v4
10196681010661,Not LSOG,v4
10196690010661,Not LSOG,v4
10196721010661,Not LSOG,v4
10196737010661,Not LSOG,v4
10196796010661,Not LSOG,v4
10196842010661,Not LSOG,v4
10196890010661,Not LSOG,v4
10196922010661,Not LSOG,v4
10196975010661,Not LSOG,v4
10197014010661,Not LSOG,v4
10197021010661,Not LSOG,v4
10197056010661,Not LSOG,v4
10197113010661,Not LSOG,v4
10197147010661,Not LSOG,v4
10197191010661,Not LSOG,v4
10197199010661,Not LSOG,v4
10197233010661,Not LSOG,v4
10197252010661,Not LSOG,v4
10197262010661,Not LSOG,v4
10197313010661,Not LSOG,v4
10197373010661,Not LSOG,v4
10197424010661,Not LSOG,v4
10197440010661,Not LSOG,v4
10197459010661,Transitioning LS,v4
10197540010661,Not LSOG,v4
10197575010661,Not LSOG,v4
10197597010661,Not LSOG,v4
10197641010661,Not LSOG,v4
10197680010661,Not LSOG,v4
10197719010661,Not LSOG,v4
10197765010661,Not LSOG,v4
10197810010661,Not LSOG,v4
10197835010661,Not LSOG,v4
10197876010661,Not LSOG,v4
10197900010661,Not LSOG,v4
10197924010661,Not LSOG,v4
10197955010661,Not LSOG,v4
10197999010661,Not LSOG,v4
10198057010661,Not LSOG,v4
10198109010661,Not LSOG,v4
10198142010661,Not LSOG,v4
10198188010661,Not LSOG,v4
10198228010661,Not LSOG,v4
10198274010661,Not LSOG,v4
10198323010661,Not LSOG,v4
10198369010661,Not LSOG,v4
10198419010661,Not LSOG,v4
10198447010661,Not LSOG,v4
10198481010661,Not LSOG,v4
10198534010661,Not LSOG,v4
10198588010661,Not LSOG,v4
10198621010661,Not LSOG,v4
10198672010661,Not LSOG,v4
10198723010661,Not LSOG,v4
10198768010661,Not LSOG,v4
10198791010661,Not LSOG,v4
10198858010661,Not LSOG,v4
10198867010661,Not LSOG,v4
10198916010661,Not LSOG,v4
10198937010661,Not LSOG,v4
10198998010661,Not LSOG,v4
10199047010661,Not LSOG,v4
10199098010661,Not LSOG,v4
10199143010661,Not LSOG,v4
10199193010661,Not LSOG,v4
10199219010661,Not LSOG,v4
10199282010661,Not LSOG,v4
10199323010661,Not LSOG,v4
10199371010661,Not LSOG,v4
10199422010661,Not LSOG,v4
10199494010661,Not LSOG,v4
10199551010661,Not LSOG,v4
10199592010661,Not LSOG,v4
10199626010661,Not LSOG,v4
10199672010661,Not LSOG,v4
10199708010661,Not LSOG,v4
10199748010661,Not LSOG,v4
10199799010661,Not LSOG,v4
10199816010661,Not LSOG,v4
10199836010661,Not LSOG,v4
10199841010661,Not LSOG,v4
10199898010661,Not LSOG,v4
10199939010661,Not LSOG,v4
10199991010661,Not LSOG,v4
10200055010661,Not LSOG,v4
10200094010661,Not LSOG,v4
10200148010661,Not LSOG,v4
10200185010661,Not LSOG,v4
10200215010661,Not LSOG,v4
10200273010661,Not LSOG,v4
10200329010661,Transitioning LS,v4
10200384010661,Not LSOG,v4
10200443010661,Not LSOG,v4
10200477010661,Not LSOG,v4
10200534010661,Not LSOG,v4
10200574010661,Not LSOG,v4
10200632010661,Not LSOG,v4
10200663010661,Not LSOG,v4
10200700010661,Not LSOG,v4
10200744010661,Not LSOG,v4
10200767010661,Not LSOG,v4
10200788010661,Not LSOG,v4
10200812010661,Not LSOG,v4
10200868010661,Not LSOG,v4
10200879010661,Not LSOG,v4
10200926010661,Not LSOG,v4
10200952010661,Not LSOG,v4
10201006010661,Not LSOG,v4
10201055010661,Not LSOG,v4
10201086010661,Not LSOG,v4
10201127010661,Not LSOG,v4
10201192010661,Not LSOG,v4
10201235010661,Not LSOG,v4
10201254010661,Not LSOG,v4
10201295010661,Not LSOG,v4
10201342010661,Not LSOG,v4
10201381010661,Not LSOG,v4
10201420010661,Not LSOG,v4
10201473010661,Not LSOG,v4
10201524010661,Not LSOG,v4
10201564010661,Not LSOG,v4
10201591010661,Not LSOG,v4
10201658010661,Not LSOG,v4
10201669010661,Not LSOG,v4
10201683010661,Not LSOG,v4
10201731010661,Not LSOG,v4
10201764010661,Not LSOG,v4
10201837010661,Not LSOG,v4
10201886010661,Not LSOG,v4
10201938010661,Not LSOG,v4
10201993010661,Not LSOG,v4
10202019010661,Not LSOG,v4
10202052010661,Not LSOG,v4
10202094010661,Not LSOG,v4
10202156010661,Not LSOG,v4
10202202010661,Not LSOG,v4
10202252010661,Not LSOG,v4
10202264010661,Not LSOG,v4
10202332010661,Not LSOG,v4
10202363010661,Not LSOG,v4
10202419010661,Not LSOG,v4
10202455010661,Not LSOG,v4
10202519010661,Not LSOG,v4
10202583010661,Not LSOG,v4
10202630010661,Not LSOG,v4
10202670010661,Not LSOG,v4
10202701010661,Not LSOG,v4
10202796010661,Not LSOG,v4
10202843010661,Not LSOG,v4
10202895010661,Not LSOG,v4
10202946010661,Not LSOG,v4
10202964010661,Not LSOG,v4
10203031010661,Not LSOG,v4
10203068010661,Not LSOG,v4
10203116010661,Not LSOG,v4
10203152010661,Not LSOG,v4
10203197010661,Not LSOG,v4
10203218010661,Not LSOG,v4
10203243010661,Not LSOG,v4
10203294010661,Not LSOG,v4
10203356010661,Not LSOG,v4
10203374010661,Not LSOG,v4
10203416010661,Not LSOG,v4
10203422010661,Not LSOG,v4
10203463010661,Not LSOG,v4
10203501010661,Not LSOG,v4
10203548010661,Not LSOG,v4
10203601010661,Not LSOG,v4
10203638010661,Not LSOG,v4
10203673010661,Not LSOG,v4
10203710010661,Not LSOG,v4
10203737010661,Not LSOG,v4
10203771010661,Not LSOG,v4
10203805010661,Not LSOG,v4
10203828010661,Not LSOG,v4
10203864010661,Not LSOG,v4
10203909010661,Not LSOG,v4
10203945010661,Not LSOG,v4
10203992010661,Not LSOG,v4
10204038010661,Not LSOG,v4
10204090010661,Not LSOG,v4
10204135010661,Not LSOG,v4
10204170010661,Not LSOG,v4
10204201010661,Not LSOG,v4
10204218010661,Not LSOG,v4
10204256010661,Not LSOG,v4
10204265010661,Not LSOG,v4
10204296010661,Not LSOG,v4
10204335010661,Not LSOG,v4
10204401010661,Not LSOG,v4
10204455010661,Not LSOG,v4
10204462010661,Not LSOG,v4
10204514010661,Not LSOG,v4
10204545010661,Not LSOG,v4
10204566010661,Transitioning LS,v4
10204638010661,Not LSOG,v4
10204682010661,Not LSOG,v4
10204701010661,Not LSOG,v4
10204750010661,Not LSOG,v4
10204799010661,Not LSOG,v4
10204836010661,Not LSOG,v4
10204870010661,Not LSOG,v4
10204922010661,Not LSOG,v4
10204962010661,Not LSOG,v4
10205001010661,Not LSOG,v4
10205041010661,Not LSOG,v4
10205068010661,Not LSOG,v4
10205130010661,Not LSOG,v4
10205185010661,Not LSOG,v4
10205238010661,Not LSOG,v4
10205306010661,Not LSOG,v4
10205349010661,Not LSOG,v4
10205398010661,Not LSOG,v4
10205447010661,Not LSOG,v4
10205492010661,Not LSOG,v4
10205558010661,Not LSOG,v4
10205602010661,Not LSOG,v4
10205621010661,Not LSOG,v4
10205657010661,Not LSOG,v4
10205706010661,Not LSOG,v4
10205746010661,Not LSOG,v4
10205782010661,Not LSOG,v4
10205839010661,Not LSOG,v4
10205888010661,Not LSOG,v4
10205923010661,Not LSOG,v4
10205965010661,Not LSOG,v4
10206024010661,Not LSOG,v4
10206064010661,Not LSOG,v4
10206124010661,Not LSOG,v4
10206181010661,Not LSOG,v4
10206224010661,Not LSOG,v4
10206262010661,Not LSOG,v4
10206312010661,Not LSOG,v4
10206344010661,Not LSOG,v4
10206392010661,Not LSOG,v4
10206440010661,Not LSOG,v4
10206484010661,Not LSOG,v4
10206520010661,Not LSOG,v4
10206528010661,Not LSOG,v4
10206594010661,Not LSOG,v4
10206653010661,Not LSOG,v4
10206704010661,Not LSOG,v4
10206753010661,Not LSOG,v4
10206798010661,Not LSOG,v4
10206844010661,Not LSOG,v4
10206894010661,Not LSOG,v4
10206938010661,Not LSOG,v4
10207003010661,Not LSOG,v4
10207055010661,Not LSOG,v4
10207101010661,Not LSOG,v4
10207133010661,Not LSOG,v4
10207154010661,Not LSOG,v4
10207204010661,Not LSOG,v4
10207243010661,Not LSOG,v4
10207278010661,Not LSOG,v4
10207313010661,Not LSOG,v4
10207346010661,Not LSOG,v4
10207408010661,Not LSOG,v4
10207441010661,Not LSOG,v4
10207486010661,Not LSOG,v4
10207554010661,Not LSOG,v4
10207587010661,Not LSOG,v4
10207625010661,Not LSOG,v4
10207695010661,Not LSOG,v4
10207741010661,Not LSOG,v4
10207794010661,Not LSOG,v4
10207809010661,Not LSOG,v4
10207876010661,Not LSOG,v4
10207941010661,Not LSOG,v4
10207986010661,Transitioning LS,v4
10208053010661,Not LSOG,v4
10208098010661,Not LSOG,v4
10208120010661,Not LSOG,v4
10208166010661,Not LSOG,v4
10208210010661,Not LSOG,v4
10208255010661,Not LSOG,v4
10208308010661,Not LSOG,v4
10208351010661,Not LSOG,v4
10208376010661,Not LSOG,v4
10208427010661,Not LSOG,v4
10208470010661,Not LSOG,v4
10208533010661,Not LSOG,v4
10208570010661,Not LSOG,v4
10208648010661,Not LSOG,v4
10208681010661,Not LSOG,v4
10208704010661,Not LSOG,v4
10208748010661,Not LSOG,v4
10208785010661,Not LSOG,v4
10208817010661,Not LSOG,v4
10208852010661,Not LSOG,v4
10208887010661,Not LSOG,v4
10208904010661,Not LSOG,v4
10208946010661,Not LSOG,v4
10208988010661,Not LSOG,v4
10209029010661,Not LSOG,v4
10209069010661,Not LSOG,v4
10209119010661,Not LSOG,v4
10209155010661,Not LSOG,v4
10209210010661,Not LSOG,v4
10209249010661,Not LSOG,v4
10209281010661,Not LSOG,v4
10209321010661,Not LSOG,v4
10209376010661,Not LSOG,v4
10209425010661,Not LSOG,v4
10209490010661,Not LSOG,v4
10209527010661,Transitioning LS,v4
10209560010661,Not LSOG,v4
10209606010661,Not LSOG,v4
10209640010661,Not LSOG,v4
10209681010661,Not LSOG,v4
10209731010661,Not LSOG,v4
10209782010661,Not LSOG,v4
10209835010661,Transitioning LS,v4
10209865010661,Not LSOG,v4
10209900010661,Not LSOG,v4
10209949010661,Not LSOG,v4
10209987010661,Not LSOG,v4
10210018010661,Not LSOG,v4
10210062010661,Not LSOG,v4
10210104010661,Not LSOG,v4
10210164010661,Not LSOG,v4
10210212010661,Not LSOG,v4
10210255010661,Not LSOG,v4
10210309010661,Not LSOG,v4
10210351010661,Not LSOG,v4
10210400010661,Not LSOG,v4
10210423010661,Not LSOG,v4
10210442010661,Not LSOG,v4
10210497010661,Not LSOG,v4
10210529010661,Not LSOG,v4
10210578010661,Not LSOG,v4
10210625010661,Not LSOG,v4
10210680010661,Not LSOG,v4
10210714010661,Not LSOG,v4
10210760010661,Not LSOG,v4
10210806010661,Not LSOG,v4
10210843010661,Not LSOG,v4
10210887010661,Not LSOG,v4
10210916010661,Not LSOG,v4
10210963010661,Not LSOG,v4
10211011010661,Not LSOG,v4
10211059010661,Not LSOG,v4
10211107010661,Not LSOG,v4
10211148010661,Not LSOG,v4
10211167010661,Not LSOG,v4
10211196010661,Not LSOG,v4
10211241010661,Not LSOG,v4
10211291010661,Not LSOG,v4
10211333010661,Not LSOG,v4
10211385010661,Not LSOG,v4
10211429010661,Not LSOG,v4
10211473010661,Not LSOG,v4
10211522010661,Not LSOG,v4
10211565010661,Not LSOG,v4
10211610010661,Not LSOG,v4
10211647010661,Not LSOG,v4
10211688010661,Not LSOG,v4
10211759010661,Not LSOG,v4
10211794010661,Not LSOG,v4
10211833010661,Not LSOG,v4
10211875010661,Not LSOG,v4
10211920010661,Not LSOG,v4
10211979010661,Not LSOG,v4
10212017010661,Not LSOG,v4
10212063010661,Not LSOG,v4
10212113010661,Not LSOG,v4
10212157010661,Not LSOG,v4
10212191010661,Not LSOG,v4
10212240010661,Not LSOG,v4
10212253010661,Not LSOG,v4
10212309010661,Not LSOG,v4
10212350010661,Not LSOG,v4
10212383010661,Not LSOG,v4
10212418010661,Not LSOG,v4
10212449010661,Not LSOG,v4
10212483010661,Not LSOG,v4
10212521010661,Not LSOG,v4
10212601010661,Not LSOG,v4
10212627010661,Not LSOG,v4
10212656010661,Not LSOG,v4
10212689010661,Not LSOG,v4
10212747010661,Not LSOG,v4
10212789010661,Not LSOG,v4
10212830010661,Not LSOG,v4
10212846010661,Not LSOG,v4
10212894010661,Not LSOG,v4
10212937010661,Not LSOG,v4
10212976010661,Not LSOG,v4
10213018010661,Not LSOG,v4
10213075010661,Not LSOG,v4
10213110010661,Not LSOG,v4
10213164010661,Not LSOG,v4
10213220010661,Not LSOG,v4
10213269010661,Not LSOG,v4
10213327010661,Not LSOG,v4
10213385010661,Not LSOG,v4
10213428010661,Not LSOG,v4
10213465010661,Not LSOG,v4
10213519010661,Not LSOG,v4
10213581010661,Not LSOG,v4
10213616010661,Not LSOG,v4
10213655010661,Not LSOG,v4
10213718010661,Not LSOG,v4
10213757010661,Not LSOG,v4
10213801010661,Not LSOG,v4
10213876010661,Not LSOG,v4
10213931010661,Not LSOG,v4
10213945010661,Not LSOG,v4
10213995010661,Not LSOG,v4
10214026010661,Not LSOG,v4
10214085010661,Not LSOG,v4
10214134010661,Not LSOG,v4
10214170010661,Not LSOG,v4
10214194010661,Not LSOG,v4
10214215010661,Not LSOG,v4
10214234010661,Not LSOG,v4
10214283010661,Not LSOG,v4
10214315010661,Not LSOG,v4
10214358010661,Not LSOG,v4
10214411010661,Not LSOG,v4
10214458010661,Not LSOG,v4
10214510010661,Not LSOG,v4
10214576010661,Not LSOG,v4
10214621010661,Not LSOG,v4
10214668010661,Not LSOG,v4
10214699010661,Not LSOG,v4
10214755010661,Not LSOG,v4
10214801010661,Not LSOG,v4
10214881010661,Not LSOG,v4
10214930010661,Not LSOG,v4
10214951010661,Transitioning LS,v4
10215052010661,Not LSOG,v4
10215108010661,Not LSOG,v4
10215162010661,Not LSOG,v4
10215198010661,Not LSOG,v4
10215256010661,Not LSOG,v4
10215294010661,Not LSOG,v4
10215323010661,Transitioning LS,v4
10215446010661,Not LSOG,v4
10215491010661,Not LSOG,v4
10215536010661,Not LSOG,v4
10215639010661,Not LSOG,v4
10215647010661,Not LSOG,v4
10215681010661,Transitioning LS,v4
10215763010661,Not LSOG,v4
10215794010661,Not LSOG,v4
10215835010661,Not LSOG,v4
10215867010661,Not LSOG,v4
10215915010661,Not LSOG,v4
10215955010661,Not LSOG,v4
10215986010661,Not LSOG,v4
10216017010661,Not LSOG,v4
10216071010661,Not LSOG,v4
10216109010661,Not LSOG,v4
10216166010661,Not LSOG,v4
10216201010661,Not LSOG,v4
10216248010661,Not LSOG,v4
10216308010661,Not LSOG,v4
10216332010661,Not LSOG,v4
10216366010661,Not LSOG,v4
10216399010661,Not LSOG,v4
10216476010661,Transitioning LS,v4
10216547010661,Not LSOG,v4
10216591010661,Not LSOG,v4
10216631010661,Not LSOG,v4
10216665010661,Not LSOG,v4
10216710010661,Not LSOG,v4
10216749010661,Not LSOG,v4
10216754010661,Not LSOG,v4
10216810010661,Not LSOG,v4
10216860010661,Not LSOG,v4
10216915010661,Not LSOG,v4
10216964010661,Not LSOG,v4
10217021010661,Not LSOG,v4
10217071010661,Not LSOG,v4
10217117010661,Not LSOG,v4
10217193010661,Not LSOG,v4
10217235010661,Not LSOG,v4
10217288010661,Not LSOG,v4
10217337010661,Transitioning LS,v4
10217381010661,Not LSOG,v4
10217418010661,Not LSOG,v4
10217473010661,Not LSOG,v4
10217516010661,Not LSOG,v4
10217567010661,Not LSOG,v4
10217617010661,Not LSOG,v4
10217692010661,Not LSOG,v4
10217747010661,Not LSOG,v4
10217802010661,Not LSOG,v4
10217847010661,Not LSOG,v4
10217900010661,Not LSOG,v4
10217987010661,Not LSOG,v4
10218024010661,Not LSOG,v4
10218109010661,Not LSOG,v4
10218155010661,Not LSOG,v4
10218196010661,Not LSOG,v4
10218256010661,Not LSOG,v4
10218294010661,Transitioning LS,v4
10218347010661,Not LSOG,v4
10218390010661,Not LSOG,v4
10218444010661,Not LSOG,v4
10218479010661,Not LSOG,v4
10218501010661,Not LSOG,v4
10218566010661,Not LSOG,v4
10218598010661,Transitioning LS,v4
10218676010661,Transitioning LS,v4
10218774010661,Not LSOG,v4
10218820010661,Not LSOG,v4
10218853010661,Not LSOG,v4
10218948010661,Not LSOG,v4
10219007010661,Transitioning LS,v4
10219096010661,Not LSOG,v4
10219136010661,Not LSOG,v4
10219179010661,Not LSOG,v4
10219247010661,Transitioning LS,v4
10219321010661,Not LSOG,v4
10219361010661,Not LSOG,v4
10219441010661,Not LSOG,v4
10219504010661,Not LSOG,v4
10219555010661,Transitioning LS,v4
10219658010661,Not LSOG,v4
10219711010661,Not LSOG,v4
10219761010661,Not LSOG,v4
10219808010661,Not LSOG,v4
10219815010661,Not LSOG,v4
10219901010661,Not LSOG,v4
10219925010661,Not LSOG,v4
10219966010661,Not LSOG,v4
10220009010661,Not LSOG,v4
10220093010661,Not LSOG,v4
10220166010661,Not LSOG,v4
10220232010661,Not LSOG,v4
10220275010661,Not LSOG,v4
10220333010661,Not LSOG,v4
10220400010661,Not LSOG,v4
10220461010661,Not LSOG,v4
10220507010661,Not LSOG,v4
10220517010661,Transitioning LS,v4
10220591010661,Not LSOG,v4
10220631010661,Not LSOG,v4
10220667010661,Not LSOG,v4
10220724010661,Not LSOG,v4
10220763010661,Not LSOG,v4
10220773010661,Not LSOG,v4
10220847010661,Not LSOG,v4
10220885010661,Not LSOG,v4
10220972010661,Not LSOG,v4
10220984010661,Not LSOG,v4
10221046010661,Not LSOG,v4
10221093010661,Not LSOG,v4
10221097010661,Not LSOG,v4
10221152010661,Not LSOG,v4
10221219010661,Not LSOG,v4
10221248010661,Not LSOG,v4
10221287010661,Not LSOG,v4
10221334010661,Transitioning LS,v4
10221416010661,Not LSOG,v4
10221477010661,Not LSOG,v4
10221550010661,Not LSOG,v4
10221602010661,Not LSOG,v4
10221622010661,Not LSOG,v4
10221681010661,Not LSOG,v4
10221740010661,Not LSOG,v4
10221782010661,Not LSOG,v4
10221818010661,Not LSOG,v4
10221825010661,Not LSOG,v4
10221886010661,Not LSOG,v4
10221911010661,Not LSOG,v4
10221969010661,Not LSOG,v4
10222041010661,Not LSOG,v4
10222068010661,Not LSOG,v4
10222137010661,Not LSOG,v4
10222197010661,Not LSOG,v4
10222224010661,Not LSOG,v4
10222248010661,Not LSOG,v4
10222308010661,Not LSOG,v4
10222365010661,Not LSOG,v4
10222445010661,Not LSOG,v4
10222503010661,Not LSOG,v4
10222557010661,Not LSOG,v4
10222601010661,Not LSOG,v4
10222660010661,Not LSOG,v4
10222700010661,Not LSOG,v4
10222742010661,Not LSOG,v4
10222790010661,Not LSOG,v4
10222827010661,Not LSOG,v4
10222887010661,Not LSOG,v4
10222920010661,Not LSOG,v4
10222961010661,Not LSOG,v4
10223019010661,Not LSOG,v4
10223028010661,Not LSOG,v4
10223072010661,Not LSOG,v4
10223089010661,Not LSOG,v4
10223147010661,Transitioning LS,v4
10223189010661,Not LSOG,v4
10223236010661,Not LSOG,v4
10223287010661,Not LSOG,v4
10223336010661,Not LSOG,v4
10223412010661,Not LSOG,v4
10223472010661,Not LSOG,v4
10223510010661,Not LSOG,v4
10223544010661,Not LSOG,v4
10223603010661,Transitioning LS,v4
10223705010661,Not LSOG,v4
10223763010661,Not LSOG,v4
10223818010661,Not LSOG,v4
10223875010661,Not LSOG,v4
10223918010661,Not LSOG,v4
10223989010661,Not LSOG,v4
10224077010661,Not LSOG,v4
10224129010661,Not LSOG,v4
10224187010661,Not LSOG,v4
10224227010661,Not LSOG,v4
10224280010661,Not LSOG,v4
10224333010661,Not LSOG,v4
10224402010661,Not LSOG,v4
10224458010661,Transitioning LS,v4
10224534010661,Not LSOG,v4
10224591010661,Not LSOG,v4
10224629010661,Not LSOG,v4
10224692010661,Not LSOG,v4
10224716010661,Not LSOG,v4
10224752010661,Not LSOG,v4
10224810010661,Not LSOG,v4
10224868010661,Not LSOG,v4
10224913010661,Not LSOG,v4
10224951010661,Not LSOG,v4
10224991010661,Transitioning LS,v4
10225035010661,Not LSOG,v4
10225124010661,Not LSOG,v4
10225209010661,Not LSOG,v4
10225253010661,Not LSOG,v4
10225313010661,Not LSOG,v4
10225370010661,Not LSOG,v4
10225388010661,Not LSOG,v4
10225437010661,Not LSOG,v4
10225477010661,Not LSOG,v4
10225498010661,Not LSOG,v4
10225547010661,Not LSOG,v4
10225599010661,Not LSOG,v4
10225660010661,Not LSOG,v4
10225707010661,Not LSOG,v4
10225763010661,Not LSOG,v4
10225815010661,Not LSOG,v4
10225903010661,Not LSOG,v4
10225972010661,Not LSOG,v4
10226016010661,Not LSOG,v4
10226095010661,Not LSOG,v4
