state,year,any_lsog_pct,any_lsog_ac
ME,2020,9.17,1511923.591994
ME,2022,9.03,1486809.082362
NH,2020,17.49,816720.615176
NH,2022,17.37,810522.272002
NY,2020,15.07,2835125.637134
NY,2022,14.99,2824130.700168
VT,2020,18.87,852493.802046
VT,2022,18.74,846906.597584
