PLT_CN,INVYR,state,v4_total,v4_class
15666513020004,2013,ME,0,Not LSOG
15666514020004,2013,ME,0,Not LSOG
15666515020004,2013,ME,0,Not LSOG
15666516020004,2013,ME,0,Not LSOG
15666517020004,2013,ME,1,Not LSOG
15666518020004,2013,ME,1,Not LSOG
15666519020004,2013,ME,1,Not LSOG
15666520020004,2013,ME,0,Not LSOG
15666521020004,2013,ME,0,Not LSOG
15666522020004,2013,ME,0,Not LSOG
15666523020004,2013,ME,0,Not LSOG
15666524020004,2013,ME,0,Not LSOG
15666525020004,2013,ME,0,Not LSOG
15666526020004,2013,ME,3,Not LSOG
15666527020004,2013,ME,1,Not LSOG
15666528020004,2013,ME,3,Not LSOG
15666529020004,2013,ME,0,Not LSOG
15666530020004,2013,ME,0,Not LSOG
15666531020004,2013,ME,1,Not LSOG
15666533020004,2013,ME,1,Not LSOG
15666534020004,2013,ME,2,Not LSOG
15666535020004,2013,ME,0,Not LSOG
15666539020004,2013,ME,0,Not LSOG
15666540020004,2013,ME,2,Not LSOG
15666542020004,2013,ME,2,Not LSOG
15666543020004,2013,ME,3,Not LSOG
15666544020004,2013,ME,1,Not LSOG
15666545020004,2013,ME,0,Not LSOG
15666546020004,2013,ME,1,Not LSOG
15666547020004,2013,ME,1,Not LSOG
15666548020004,2013,ME,2,Not LSOG
15666549020004,2013,ME,0,Not LSOG
15666550020004,2013,ME,1,Not LSOG
15666552020004,2013,ME,0,Not LSOG
15666554020004,2013,ME,0,Not LSOG
15666556020004,2013,ME,2,Not LSOG
15666557020004,2013,ME,0,Not LSOG
15666558020004,2013,ME,0,Not LSOG
15666559020004,2013,ME,0,Not LSOG
15666560020004,2013,ME,0,Not LSOG
15666561020004,2013,ME,3,Not LSOG
15666564020004,2013,ME,4,Transitioning LS
15666565020004,2013,ME,0,Not LSOG
15666566020004,2013,ME,0,Not LSOG
15666568020004,2013,ME,0,Not LSOG
15666569020004,2013,ME,1,Not LSOG
15666570020004,2013,ME,0,Not LSOG
15666571020004,2013,ME,2,Not LSOG
15666572020004,2013,ME,0,Not LSOG
15666574020004,2013,ME,0,Not LSOG
15666575020004,2013,ME,0,Not LSOG
15666576020004,2013,ME,1,Not LSOG
15666577020004,2013,ME,1,Not LSOG
15666578020004,2013,ME,1,Not LSOG
15666581020004,2013,ME,1,Not LSOG
15666582020004,2013,ME,0,Not LSOG
15666583020004,2013,ME,0,Not LSOG
15666584020004,2013,ME,3,Not LSOG
15666585020004,2013,ME,0,Not LSOG
15666586020004,2013,ME,0,Not LSOG
15666587020004,2013,ME,0,Not LSOG
15666588020004,2013,ME,0,Not LSOG
15666589020004,2013,ME,2,Not LSOG
15666590020004,2013,ME,4,Transitioning LS
15666591020004,2013,ME,0,Not LSOG
15666592020004,2013,ME,0,Not LSOG
15666593020004,2013,ME,0,Not LSOG
15666594020004,2013,ME,0,Not LSOG
15666595020004,2013,ME,2,Not LSOG
15666596020004,2013,ME,1,Not LSOG
15666597020004,2013,ME,3,Not LSOG
15666598020004,2013,ME,0,Not LSOG
15666599020004,2013,ME,0,Not LSOG
15666600020004,2013,ME,2,Not LSOG
15666601020004,2013,ME,0,Not LSOG
15666602020004,2013,ME,2,Not LSOG
15666603020004,2013,ME,3,Not LSOG
15666604020004,2013,ME,0,Not LSOG
15666605020004,2013,ME,1,Not LSOG
15666606020004,2013,ME,1,Not LSOG
15666607020004,2013,ME,1,Not LSOG
15666608020004,2013,ME,1,Not LSOG
15666609020004,2013,ME,2,Not LSOG
15666612020004,2013,ME,2,Not LSOG
15666613020004,2013,ME,0,Not LSOG
15666614020004,2013,ME,0,Not LSOG
15666615020004,2013,ME,0,Not LSOG
15666616020004,2013,ME,4,Transitioning LS
15666617020004,2013,ME,0,Not LSOG
15666618020004,2013,ME,3,Not LSOG
15666619020004,2013,ME,0,Not LSOG
15666620020004,2013,ME,1,Not LSOG
15666621020004,2013,ME,0,Not LSOG
15666624020004,2013,ME,1,Not LSOG
15666626020004,2013,ME,0,Not LSOG
15666627020004,2013,ME,1,Not LSOG
15666628020004,2013,ME,2,Not LSOG
15666629020004,2013,ME,2,Not LSOG
15666630020004,2013,ME,0,Not LSOG
15666631020004,2013,ME,0,Not LSOG
15666632020004,2013,ME,4,Transitioning LS
15666633020004,2013,ME,2,Not LSOG
15666635020004,2013,ME,3,Not LSOG
15666636020004,2013,ME,1,Not LSOG
15666637020004,2013,ME,0,Not LSOG
15666639020004,2013,ME,2,Not LSOG
15666641020004,2013,ME,0,Not LSOG
15666642020004,2013,ME,1,Not LSOG
15666643020004,2013,ME,1,Not LSOG
15666644020004,2013,ME,0,Not LSOG
15666645020004,2013,ME,1,Not LSOG
15666646020004,2013,ME,3,Not LSOG
15666647020004,2013,ME,1,Not LSOG
15666648020004,2013,ME,5,Transitioning LS
15666649020004,2013,ME,4,Transitioning LS
15666650020004,2013,ME,2,Not LSOG
15666651020004,2013,ME,1,Not LSOG
15666652020004,2013,ME,0,Not LSOG
15666653020004,2013,ME,1,Not LSOG
15666654020004,2013,ME,1,Not LSOG
15666655020004,2013,ME,0,Not LSOG
15666656020004,2013,ME,4,Transitioning LS
15666657020004,2013,ME,5,Transitioning LS
15666658020004,2013,ME,1,Not LSOG
15666659020004,2013,ME,0,Not LSOG
15666660020004,2013,ME,0,Not LSOG
15666661020004,2013,ME,1,Not LSOG
15666662020004,2013,ME,2,Not LSOG
15666663020004,2013,ME,4,Transitioning LS
15666664020004,2013,ME,2,Not LSOG
15666665020004,2013,ME,5,Transitioning LS
15666666020004,2013,ME,5,Transitioning LS
15666669020004,2013,ME,2,Not LSOG
15666670020004,2013,ME,1,Not LSOG
15666671020004,2013,ME,0,Not LSOG
