v51_class,pelz_og,N
Not LSOG,FALSE,467
LS,TRUE,24
LS,FALSE,31
Transitioning LS,TRUE,49
Transitioning LS,FALSE,314
Not LSOG,TRUE,36
OG,FALSE,1
OG,TRUE,3
