LSOG_class,plotname,mean_cano_ht,max_cano_ht,percentile_95th,rumple,top_rugosity,cano_cover_2,cano_cover_6,cano_cover_15,sum_live_basalarea,sum_dead_basalarea,basal_GE_40cmDBH,prop_basal_GE_40cmDBH,No_treesGE_40cmdbh,QMD_live,CWD_vol,CV_livedbh
Not LS,NE-85,4.6844,10.79,7.5604,2.2283,1.852,0.9164,0.2316,0,13.6082,0,0,0,0,13.4377,53.2958,22.8252
Not LS,NE-87,2.4031,7.14,4.4704,2.3492,1.3448,0.6314,0.0019,0,4.2271,0,0,0,0,9.9858,0,14.1165
Not LS,NE-9,6.1182,14.8753,11.1663,3.1619,3.3114,0.8599,0.5515,0,30.6205,0.2576,0,0,0,18.1812,9.006,35.0485
Not LS,NE-90,0.4403,18.0051,2.2381,1.3564,1.5999,0.0567,0.0172,0.0022,4.8618,0,0.4852,0.8078,8.0937,24.886,13.7681,89.7707
Not LS,NE-91,0.3688,10.34,1.7552,1.3344,0.9366,0.0363,0.0073,0,2.6642,0,0,0,0,9.7093,22.4287,18.381
Trans LS,NE-92,9.2997,21.15,18.76,5.9871,6.9402,0.7486,0.614,0.3112,25.9849,3.9978,1.6084,0.4342,32.3749,20.6002,81.4242,62.3615
Trans LS,NE-93,9.373,23.54,20.12,6.1069,7.651,0.7137,0.5635,0.3558,34.9215,9.0151,2.4196,0.4457,24.2812,21.5263,9.9683,70.5542
Trans LS,SE-10,12.4339,23.12,17.91,6.2062,5.0452,0.889,0.8782,0.3082,36.8678,3.6616,1.4224,0.2841,24.2812,21.8911,13.4473,54.4586
Trans LS,SE-100,12.6272,24.7675,18,4.3928,4.4809,0.9545,0.9087,0.3478,42.1819,7.1489,1.7421,0.2858,32.3749,23.9088,47.078,52.9888
Trans LS,SE-101,11.4418,23.2,19.04,5.503,5.3803,0.8942,0.8483,0.2698,46.2536,7.3233,4.3775,0.6613,97.1246,27.1385,104.0503,57.6896
Not LS,SE-102,10.6367,23.1527,16.7397,3.6328,3.9969,0.9644,0.8817,0.1284,39.2884,3.5957,0.3105,0.0586,8.0937,15.2927,45.5482,40.1685
Trans LS,SE-103,14.6091,23.0856,19.4276,3.7532,4.0425,0.9865,0.9562,0.5671,50.0189,0.2262,0.8394,0.1352,16.1874,27.2192,29.4854,36.1257
Not LS,SE-104,5.977,15.175,9.56,2.5354,2.2621,0.9535,0.5109,0.0001,28.2579,1.9054,0,0,0,13.9868,5.5517,22.6555
Not LS,SE-11,8.3992,17.55,13.12,3.9711,3.3047,0.9271,0.8395,0.0151,33.5815,0,0,0,0,13.2408,0,32.1618
Not LS,SE-12,0.0727,4.46,0.22,1.0194,0.1315,0.0008,0,0,0,0,0,,0,,18.6289,
Trans LS,SE-13,13.3338,23.87,18.4886,3.4917,3.9461,0.9713,0.9487,0.3689,44.4047,5.8844,3.2286,0.5196,48.5623,25.3531,99.3375,63.635
Not LS,SE-14,8.4967,21.56,17.09,5.2944,5.81,0.785,0.647,0.1505,14.9874,5.0094,0,0,0,16.0622,25.3649,49.9367
Trans LS,SE-15,12.468,23.5125,18.3435,3.4666,4.0818,0.981,0.9299,0.2852,62.3626,2.3657,2.3237,0.2906,40.4686,26.1693,67.9769,53.2376
Trans LS,SE-16,13.6738,23.806,19.7781,5.5267,5.3469,0.9215,0.8896,0.4937,44.8131,1.7107,3.2231,0.5607,48.5623,27.7744,55.5905,65.2294
Not LS,SE-17,6.2328,21.7912,15.3525,4.1405,5.0467,0.7189,0.5142,0.0582,6.7468,1.7358,0,0,0,15.451,22.6014,49.0391
Not LS,SE-18,2.0615,16.82,9.92,2.6052,3.3529,0.3301,0.1221,0.0051,19.9152,2.0358,0,0,0,15.1864,51.5933,48.0316
Not LS,SE-19,4.4509,22.1,13.2897,4.3663,4.7065,0.565,0.3571,0.0265,5.9818,0,0,0,0,12.3449,81.3749,34.8407
Not LS,SE-20,4.5166,17.1,11.7327,3.5937,3.7477,0.7073,0.3201,0.0047,17.2432,0.1901,0,0,0,12.5257,0,34.6108
Not LS,SE-21,7.7923,20.94,16.653,5.4297,5.6686,0.7552,0.6177,0.1181,36.2111,2.2683,1.3821,0.2907,24.2812,20.4778,28.3258,56.1388
Not LS,SE-22,11.5104,26.28,19.6008,4.6412,5.5947,0.9031,0.8351,0.2913,42.3563,2.7914,1.404,0.2517,32.3749,24.4848,68.5444,48.8186
Not LS,SE-23,4.5864,21.06,16.54,4.6166,5.6908,0.495,0.3275,0.0829,5.4901,0,0,0,0,10.9808,15.3226,25.2423
Not LS,SE-24,4.5311,19.61,13.59,4.0562,4.6506,0.6037,0.3369,0.0243,11.2897,4.7769,0.5248,0.2644,8.0937,13.4077,37.5292,37.3815
Not LS,SE-25,0.9539,19.19,5.524,2.0608,2.1736,0.1552,0.0451,0.0023,8.104,0.454,0,0,0,12.1439,45.9923,35.5703
Not LS,SE-26,3.8579,23.4225,12.707,3.0192,4.0064,0.6192,0.2086,0.0267,10.6346,0.6912,0,0,0,15.2829,7.4515,45.84
Not LS,SE-27,7.9311,18.53,15.2667,3.9187,4.4092,0.881,0.6821,0.061,26.3117,2.4662,0,0,0,14.1247,52.2842,35.0881
Not LS,SE-28,7.1419,20.1303,15.3195,3.6804,5.1544,0.7523,0.5948,0.059,21.519,4.5099,0,0,0,16.7246,51.2479,49.063
Not LS,SE-29,9.3925,19.0371,14.6455,3.3366,3.5173,0.936,0.8805,0.0353,31.2771,4.9874,0.9134,0.2038,16.1874,17.2433,61.4383,55.6587
Not LS,SE-30,7.6498,16.0246,11.6005,3.0372,3.3943,0.8837,0.7762,0.0014,30.919,1.4609,0,0,0,14.1756,26.8947,34.6579
Not LS,SE-31,2.903,17.1,12.97,2.8468,4.6654,0.2782,0.2349,0.0114,0.4226,0,0,0,0,11.6004,49.1753,18.4463
Not LS,SE-32,3.943,17.66,12.73,3.4004,4.8413,0.4236,0.3375,0.0055,0.355,0.6676,0,0,0,8.6817,35.1111,6.6617
Not LS,SE-35,5.3949,20.86,15.5044,3.7898,5.2903,0.6251,0.3802,0.0606,12.3657,0.6283,0,0,0,15.6884,17.8146,50.1837
Not LS,SE-36,10.2741,21.02,15.54,4.5294,3.7448,0.9434,0.8897,0.0686,26.8426,10.3739,0,0,0,14.805,1.9986,38.0223
Not LS,SE-37,11.9807,21.98,17.247,5.8924,4.5958,0.9102,0.889,0.2097,33.9428,4.3889,0.3424,0.0723,8.0937,18.5245,17.0991,48.349
Not LS,SE-38,13.2735,22.92,19.5,6.3869,5.0618,0.917,0.9051,0.4035,35.1383,4.6183,0,0,0,18.1417,40.5147,46.2151
Not LS,SE-39,10.9584,21.025,16.1897,3.5899,3.2624,0.9847,0.9315,0.1079,23.9413,0.2843,0.3105,0.1037,8.0937,14.5529,54.4555,46.5136
Not LS,SE-4,0.0537,3.07,0.15,1.0102,0.0908,0.0005,0,0,0,0,0,,0,,0,
Trans LS,SE-40,12.5048,21.04,17.6238,4.3307,4.2399,0.9552,0.9146,0.299,41.7672,1.8787,1.6903,0.3134,24.2812,23.791,56.6515,56.6948
Not LS,SE-41,1.3318,18.27,9.9785,2.3833,3.2976,0.1682,0.076,0.0142,1.973,0,0,0,0,11.8164,0,22.5296
Not LS,SE-42,7.0413,16.48,11.21,2.785,2.4914,0.9756,0.6658,0.0022,33.4119,2.3468,0,0,0,13.9727,49.9402,37.607
Not LS,SE-44,8.7034,21.1,16.89,4.6471,5.0967,0.8544,0.728,0.1268,28.5784,1.2315,0.5048,0.1371,8.0937,18.3597,11.4487,60.2733
Not LS,SE-45,9.6956,24.4,16.1994,4.7113,4.3521,0.9012,0.8644,0.0953,20.6582,1.0682,0.3424,0.1275,8.0937,17.9142,26.7713,52.8281
Not LS,SE-46,8.9334,12.065,10.79,1.9895,1.3344,0.9978,0.9748,0,45.6755,0,0,0,0,20.6838,0,23.626
Not LS,SE-47,1.4602,17.85,4.2758,2.2906,2.4295,0.2807,0.031,0.0089,7.9202,0.1571,0,0,0,12.1807,36.9617,27.1274
Not LS,SE-48,5.4948,11.0647,8.042,2.3715,1.7065,0.9695,0.402,0,33.6082,0,0,0,0,12.5458,0,22.915
Not LS,SE-49,1.9719,9.92,6.213,2.1288,2.2094,0.4177,0.0614,0,3.8234,6.8426,0.8454,0.6415,8.0937,11.6315,2.4674,27.9383
Not LS,SE-50,0.8828,7.5214,2.89,1.7305,1.0668,0.1818,0.0008,0,8.2752,0.1272,0,0,0,11.9353,4.0465,16.1431
Not LS,SE-51,2.0493,16.82,10.8,2.4023,3.4516,0.264,0.1268,0.005,4.0544,0.6283,0,0,0,11.6581,0,25.3492
Not LS,SE-52,3.2302,19.4352,9.13,2.9613,3.4346,0.531,0.2456,0.0037,18.6774,0.2843,0,0,0,12.5942,77.1556,30.4035
Not LS,SE-53,6.124,20.31,13.15,4.5039,4.3175,0.7645,0.5573,0.0251,16.9117,0.9818,0,0,0,13.5117,58.1566,44.9375
Not LS,SE-54,6.604,21.51,14.29,4.6298,4.438,0.7996,0.6004,0.042,14.0057,0.1901,0,0,0,14.2386,26.87,40.2319
Not LS,SE-55,8.712,12.0981,10.5689,2.1072,1.5061,0.989,0.9688,0,55.6943,0,0,0,0,19.8531,138.7913,23.6191
Not LS,SE-56,10.1083,23.62,18.33,4.3588,5.1057,0.914,0.8121,0.1919,30.4257,8.503,1.6889,0.3511,32.3749,20.9864,183.4265,53.8178
Not LS,SE-57,7.0985,21.81,14.518,4.1437,4.4828,0.8297,0.6142,0.0419,15.9331,1.475,0,0,0,16.3419,113.2537,42.2643
Not LS,SE-58,0.0659,3.23,0.15,1.0408,0.201,0.0036,0,0,0,0,0,,0,,30.3984,
Not LS,SE-59,0.0776,3.13,0.16,1.0569,0.2372,0.0056,0,0,0,0,0,,0,,9.1047,
Not LS,SE-6,5.164,10.67,7.7809,2.5989,1.8716,0.9355,0.344,0,26.8976,0,0,0,0,13.3587,0,24.0221
Not LS,SE-60,4.816,21.4655,14.5413,2.7394,4.3556,0.6935,0.3091,0.0442,15.5451,0.4021,0,0,0,13.5408,45.9183,35.3171
Not LS,SE-61,9.852,22.5951,17.99,3.2029,5.5178,0.891,0.7196,0.2307,36.3839,3.4402,2.598,0.528,32.3749,24.0696,37.011,79.2589
Not LS,SE-62,11.1607,17.31,14.39,2.262,2.0983,0.9976,0.9876,0.0227,,,,,,,0,
Trans LS,SE-63,12.9433,25.68,20.62,4.4218,6.7816,0.855,0.7924,0.5288,34.5052,1.0006,1.0286,0.2345,24.2812,24.0488,5.5517,54.6954
Not LS,SE-64,1.3188,20.1481,5.78,1.9999,2.3218,0.2119,0.0486,0.004,8.1417,9.2381,1.0917,0.5084,8.0937,12.0019,99.831,23.2901
LS,SE-66,15.3063,30.45,24.56,4.6946,7.229,0.9187,0.8824,0.5702,41.5614,1.0729,4.3325,0.8225,56.656,29.7049,33.7787,86.0973
LS,SE-67,17.9825,29.3,25.0286,4.6254,5.8952,0.9704,0.9511,0.7566,58.4999,0,5.883,0.8139,80.9372,39.4017,105.1359,62.9072
LS,SE-68,12.6465,28.205,22.9687,5.9224,6.6376,0.9117,0.8538,0.4015,29.9513,1.7688,2.5506,0.6508,24.2812,24.4161,22.9468,87.1095
Trans LS,SE-69,12.7762,26.57,23.37,5.5757,7.1864,0.8823,0.8208,0.413,28.492,4.0182,1.5391,0.3832,16.1874,25.4581,39.4784,72.7035
Trans LS,SE-7,14.6859,21.52,18.17,2.1562,2.3214,0.9987,0.9962,0.4633,28.5643,0.8624,0.6686,0.1839,16.1874,17.8656,0,55.5045
LS,SE-70,13.6637,27.21,22.7618,6.1149,6.6482,0.9152,0.8636,0.4739,40.4006,4.0873,3.8028,0.6919,32.3749,27.5104,67.9029,97.3179
Trans LS,SE-72,14.9288,22.22,18.35,2.3309,2.5531,0.9954,0.9914,0.5277,48.8282,7.2573,3.2782,0.4731,40.4686,26.2889,19.5171,72.3252
LS,SE-73,17.1957,27.93,22.5906,2.7498,3.9051,0.9959,0.9852,0.7432,55.9488,1.4263,3.6039,0.5084,64.7498,29.8476,36.863,51.7205
Trans LS,SE-74,14.7941,22.7,19.81,3.0175,3.8301,0.9867,0.9712,0.544,25.1508,7.9155,0.5871,0.1437,8.0937,21.0944,28.2271,52.9514
LS,SE-75,16.2615,26.23,21.34,2.8324,4.0311,0.993,0.9821,0.6788,35.5153,3.5407,1.5226,0.3155,24.2812,26.5874,62.2525,59.8107
Not LS,SE-76,11.7016,25.4152,18.7962,4.4901,4.5947,0.9434,0.9001,0.223,52.8637,5.1304,2.7911,0.3895,56.656,28.3137,20.5288,50.2159
Trans LS,SE-77,14.1142,22.3,18.4,3.2297,3.6733,0.9756,0.9598,0.4733,35.9237,2.1521,0.932,0.1981,16.1874,24.5382,4.8361,51.5183
Not LS,SE-78,3.5924,21.5056,16.84,4.3114,5.739,0.3485,0.2441,0.0865,12.0798,0.1272,0.8472,0.5617,16.1874,19.6136,19.1964,74.0487
Not LS,SE-79,4.42,21.32,15.0655,4.6232,5.3295,0.4917,0.3425,0.0507,9.9639,0.8184,0,0,0,13.8676,0,33.0922
Trans LS,SE-8,16.898,24.7,21.41,3.4547,3.4364,0.9889,0.9845,0.7732,24.0088,6.0462,0,0,0,17.4881,28.153,45.1816
Not LS,SE-80,7.7759,28.785,17.73,5.3516,7.1369,0.6013,0.5398,0.2195,27.4364,6.9918,2.6752,0.6289,48.5623,22.6708,115.0302,68.0768
Not LS,SE-81,7.9495,24.9091,18,5.3038,7.0032,0.62,0.559,0.2123,25.4776,1.7138,0.6306,0.1877,8.0937,19.4262,78.8334,51.9224
Not LS,SE-82,0.0742,1.65,0.2,1.0095,0.0796,0,0,0,0,0,0,,0,,10.8812,
Not LS,SE-83,0.0651,3.63,0.18,1.0079,0.0786,0.0001,0,0,0,0,0,,0,,0,
Not LS,SE-84,0.0538,1.49,0.15,1.0074,0.0729,0,0,0,0,0,0,,0,,11.9669,
Not LS,SE-87,9.8859,21.0754,16.75,4.9934,5.5331,0.8292,0.7518,0.1658,5.2388,0.9095,0,0,0,14.9146,45.7703,33.1595
Not LS,SE-9,10.876,20.57,17.0951,4.8634,5.1628,0.8795,0.8161,0.2007,33.4339,4.5335,2.3272,0.4961,40.4686,22.2537,12.5097,68.005
Not LS,SE-93,11.4833,26.7686,18.4769,3.2198,4.1671,0.9707,0.9096,0.1566,60.3598,5.6283,1.1546,0.1416,24.2812,23.1074,104.0749,35.0248
Not LS,SE-94,12.4479,25.84,18.7011,3.8764,4.5593,0.9791,0.8967,0.3178,40.6284,5.7006,0.3105,0.0543,8.0937,20.5965,67.0393,43.8155
Trans LS,SE-95,14.6105,29.5167,21.2002,4.1027,5.1131,0.9672,0.9141,0.5666,50.0849,10.3079,2.1935,0.294,32.3749,29.7677,88.9004,33.9346
Trans LS,SE-96,12.2309,22,18.56,6.3722,5.5535,0.8903,0.8528,0.4017,34.6073,3.9428,2.7744,0.5825,32.3749,29.6932,28.1037,72.5106
Trans LS,SE-97,13.3061,23.53,20.55,6.6489,6.0286,0.89,0.8614,0.4928,36.8568,3.0302,2.9398,0.5965,56.656,27.5183,47.3247,63.6005
Trans LS,SE-98,11.804,22.38,18.31,5.8091,5.1164,0.8977,0.8656,0.2684,39.8351,6.6415,2.4381,0.4246,56.656,26.5476,30.8425,49.9948
Trans LS,SE-99,14.3721,22.74,19.47,4.3178,4.1928,0.9594,0.9498,0.493,26.8866,2.4505,0,0,0,18.5066,44.956,44.0422
LS,SEB-A,14.5941,28.6473,22.97,6.7193,7.0939,0.8813,0.8402,0.6025,45.6079,8.0035,4.1431,0.6255,64.7498,31.6493,94.2794,58.953
LS,SEB-B,13.7092,36.08,22.2364,6.2698,7.2116,0.8592,0.8284,0.5368,38.1291,3.6883,2.348,0.4545,48.5623,27.1278,96.4507,55.6089
Trans LS,SEB-D,11.3716,25.2,18.42,6.4426,5.7108,0.8651,0.8165,0.2809,28.8957,11.1027,1.6901,0.342,32.3749,18.9966,106.7644,52.6149
Not LS,SEB-E,7.6751,23.5789,16.0403,6.1973,6.1226,0.6748,0.5939,0.1015,17.6029,1.7751,0,0,0,17.6475,18.2588,35.2201
Trans LS,SEB-F,15.5272,26.69,20.55,3.3436,4.165,0.9733,0.9615,0.638,29.5036,0.9818,1.3741,0.3648,24.2812,21.1522,26.0311,56.3516
Not LS,SEB-G,10.3727,30.9402,17.7293,5.5317,4.9994,0.9252,0.7987,0.1857,34.1738,1.563,1.2924,0.2927,24.2812,19.0464,79.2529,59.7314
Not LS,SEB-H,7.9441,21.4792,17.63,5.6727,6.074,0.7532,0.5826,0.1657,25.0142,0.4021,0.3589,0.1143,8.0937,20.476,99.1155,54.1818
Not LS,W-1,4.8113,18.64,13.03,5.0783,4.7921,0.5683,0.4209,0.0173,18.6836,3.3035,0,0,0,15.912,2.4674,37.0517
Not LS,W-10,9.814,23.175,14.79,2.8091,2.8635,0.9857,0.9373,0.0458,64.3796,1.8269,0,0,0,14.2125,17.3211,25.104
Trans LS,W-100,8.9746,20.59,16.9995,6.1535,5.9317,0.7515,0.6978,0.1464,32.1646,1.629,1.543,0.3695,32.3749,25.707,41.5263,50.3278
Trans LS,W-101,10.8082,23.23,17.8603,6.388,5.98,0.8115,0.775,0.2499,19.4518,1.6682,1.2555,0.4811,24.2812,23.2091,23.8104,66.689
Not LS,W-102,7.4894,19.7229,15.26,5.2146,5.6975,0.691,0.6142,0.0624,25.1917,5.7603,0,0,0,19.5455,38.2447,44.6072
Trans LS,W-103,9.7017,22.5247,19.1896,7.5699,7.5532,0.6731,0.6256,0.3656,35.0487,0,2.6764,0.6181,48.5623,30.4982,28.6218,55.8767
Not LS,W-104,10.0043,24.8926,13.6701,2.9388,2.8861,0.978,0.9067,0.0174,73.5988,4.2507,0.7035,0.0731,16.1874,20.4583,181.8721,39.617
Not LS,W-105,11.5732,23.0367,17.4218,4.3457,4.1228,0.9683,0.893,0.1875,36.7782,7.4568,0.8959,0.1639,16.1874,20.0967,50.0142,52.1882
Not LS,W-11,2.2273,20.1333,11.5947,3.8018,3.9906,0.2684,0.1731,0.0093,5.1382,0.5592,0,0,0,14.3018,55.4425,34.4755
Not LS,W-12,3.136,19.8,13.47,3.5544,4.5841,0.3727,0.2273,0.0212,15.4791,0,0,0,0,14.9689,2.9856,27.1227
Not LS,W-13,10.5917,24.3097,19.3995,4.8672,6.6137,0.7995,0.7203,0.32,29.7016,2.1772,1.2237,0.3107,24.2812,25.5408,68.273,46.3077
Not LS,W-14,1.3918,12.9602,6.0085,2.1104,2.0892,0.2808,0.0504,0,12.9233,0.7493,0,0,0,12.4621,8.7839,27.5706
Not LS,W-15,6.8636,21.144,15.8021,3.9814,5.0434,0.8178,0.471,0.0757,25.1901,2.9014,0,0,0,15.7109,190.1872,57.7019
Not LS,W-16,7.9135,19.4927,13.5934,3.2549,3.8981,0.8899,0.7291,0.0152,40.4744,2.4992,0,0,0,16.473,33.3346,42.3152
Not LS,W-17,6.5609,17.47,11.0094,3.1028,3.1057,0.8966,0.6311,0.0019,40.2969,1.8662,0,0,0,13.8916,12.5097,32.5593
Not LS,W-19,7.0064,21.4091,12.1101,3.0898,3.5939,0.8789,0.6633,0.0101,27.7553,5.2262,0.4107,0.1008,8.0937,14.959,61.9811,29.7481
Not LS,W-2,6.1426,16.01,12.75,5.4773,4.6749,0.6971,0.5562,0.002,25.9802,7.6846,0,0,0,14.293,10.067,35.6464
Not LS,W-20,7.4754,16.1711,11.0612,2.7916,2.2395,0.9869,0.7589,0.0004,30.6676,0.1005,0,0,0,14.571,4.0465,29.7845
Not LS,W-21,0.9664,19.23,5.9589,1.8909,2.199,0.162,0.0495,0.0018,6.6887,7.5542,0.8974,0.51,8.0937,13.9156,102.9399,23.9739
Not LS,W-22,1.7277,19.5176,4.5784,2.5076,2.0471,0.388,0.0184,0.0034,5.1995,0.1272,0,0,0,9.3354,0,12.4699
Trans LS,W-23,10.215,23.5358,19.6935,6.1501,6.7978,0.813,0.6768,0.3282,24.2931,2.0327,1.5955,0.4905,24.2812,21.9892,27.6596,76.8704
Trans LS,W-24,10.6484,22.753,19.26,5.9068,6.3932,0.8547,0.7202,0.3394,17.848,4.7361,0.82,0.2939,8.0937,16.8581,45.869,68.6606
Trans LS,W-25,9.7707,21.3,18.44,6.0441,6.1646,0.848,0.6786,0.2687,18.192,3.8878,0.4472,0.1639,8.0937,20.3425,39.1823,53.0632
Trans LS,W-26,12.4439,25.68,21.53,6.6104,7.1399,0.8571,0.7681,0.4641,37.7097,2.3249,3.7394,0.756,48.5623,33.0414,5.5517,82.4296
Trans LS,W-27,13.184,26.1201,22.7958,7.5821,7.9399,0.8149,0.7593,0.5363,23.8643,1.8787,2.303,0.7241,40.4686,32.9499,1.9986,60.7498
Trans LS,W-28,9.5182,22.49,18.6198,6.1157,6.3008,0.8252,0.6575,0.2445,21.4295,6.0368,1.2809,0.3775,24.2812,18.9521,52.3089,64.282
Not LS,W-29,2.4962,9.8369,6.24,2.8833,2.0888,0.5789,0.0624,0,10.5042,0.4021,0,0,0,10.5597,0,21.893
Not LS,W-3,9.9671,21.9257,15.465,4.2163,3.8578,0.9549,0.8504,0.0653,6.1169,4.4251,0,0,0,16.6818,167.0183,36.8896
Not LS,W-30,1.0055,11.15,5.61,2.0324,1.9738,0.1935,0.0413,0,7.9768,0,0,0,0,13.0136,35.6293,44.1744
Not LS,W-31,4.6642,17.5336,10.2298,3.2287,3.0988,0.7971,0.2976,0.0018,24.3513,0,0,0,0,12.3921,0,30.9069
Not LS,W-32,3.9955,25.2012,8.9317,2.2377,2.8099,0.7571,0.1858,0.0054,9.4926,0,0.5659,0.4825,8.0937,12.451,2.4674,71.2995
Not LS,W-33,5.5554,17.2196,9.1874,2.7711,2.4318,0.918,0.4362,0.0008,24.6277,0.6283,0,0,0,13.0575,15.1005,31.5199
Not LS,W-35,9.6244,18.9703,15.6447,5.9646,5.0844,0.8456,0.7699,0.0982,33.2768,0,0,0,0,20.7977,61.9071,31.0057
Not LS,W-36,11.9706,28.3442,18.1993,4.9041,4.735,0.9395,0.8851,0.2519,32.7788,4.5492,0.8353,0.1811,16.1874,19.8473,16.1121,46.5533
Not LS,W-37,5.2162,15.08,11.17,5.7736,3.9194,0.7042,0.4873,0.0003,16.5646,2.1395,0,0,0,12.19,6.3165,26.3964
Not LS,W-39,3.0544,17.89,11.393,3.2201,3.6658,0.4476,0.1767,0.0106,9.9592,3.9947,0,0,0,12.5929,51.3219,30.6475
Not LS,W-4,5.76,25.3986,13.4676,3.7476,4.4733,0.7482,0.4674,0.0289,24.7817,2.2102,1.2819,0.3844,16.1874,20.3806,20.2574,64.2228
Not LS,W-41,7.2245,15.42,12.6096,7.7854,4.8547,0.7241,0.6663,0.0004,31.5049,0.8671,0,0,0,13.2672,1.5791,25.9522
Trans LS,W-42,12.0761,26.3739,21.794,7.7847,7.6644,0.7954,0.7297,0.4664,18.1401,6.3274,1.4572,0.482,24.2812,24.0352,112.3654,60.4825
Not LS,W-43,6.3598,13.21,9.37,3.1792,2.3638,0.9235,0.6656,0,22.1049,1.3635,0,0,0,11.9253,0,30.9619
Not LS,W-44,4.508,23.0652,15.1415,4.1638,5.2989,0.5068,0.3379,0.0525,9.1298,2.8542,0,0,0,14.1603,3.5777,36.8662
Not LS,W-45,3.4897,20.1544,11.555,3.2536,3.9638,0.505,0.2488,0.0105,8.7072,1.3651,0,0,0,12.4117,6.4152,29.4391
Not LS,W-47,3.153,17.59,12.06,3.203,3.614,0.5541,0.1412,0.0141,13.0899,0.7571,0,0,0,13.1792,43.895,39.5232
Not LS,W-49,1.7785,10.44,5.9,2.7552,2.204,0.3902,0.0437,0,10.4713,0,0,0,0,10.817,6.6373,23.7571
Not LS,W-5,6.7459,21.5292,17.45,9.0049,6.8872,0.5456,0.4814,0.1689,21.3447,0.3534,0,0,0,17.3813,0,36.2926
Not LS,W-50,6.2943,13.85,11.38,6.7901,4.3317,0.7134,0.6366,0,27.2652,1.0053,0,0,0,12.922,6.9827,28.3714
Not LS,W-51,7.0092,16.2139,12.1775,5.1071,3.9406,0.8232,0.6835,0.0029,22.1835,2.0625,0,0,0,14.5218,4.8361,37.3715
Not LS,W-52,6.8608,17.96,12.7891,3.4425,3.7425,0.8707,0.6145,0.0063,31.6321,3.9381,0,0,0,15.58,77.3777,40.0847
Not LS,W-53,7.7194,20.246,15.16,3.5154,4.2838,0.8912,0.6702,0.0532,59.5602,5.4241,0.7346,0.0915,16.1874,17.6336,11.3747,39.7153
Not LS,W-54,6.9687,27.46,16.7206,3.8403,5.5056,0.7713,0.5096,0.0943,31.3447,8.9507,1.1307,0.2271,24.2812,20.6099,93.8352,45.8295
Trans LS,W-55,13.0724,26.9473,20.7374,4.5044,5.8547,0.9297,0.8476,0.4495,44.4816,5.6613,0.393,0.0634,8.0937,21.7299,17.8887,39.6665
Trans LS,W-56,9.9133,22.4983,16.7161,3.2507,4.9221,0.8942,0.7834,0.1379,41.3792,5.3754,0.3589,0.0621,8.0937,21.694,65.9289,35.9819
Trans LS,W-57,11.9941,23.54,17.97,3.2051,4.5809,0.958,0.8764,0.2861,49.4832,4.7173,0,0,0,20.9221,27.6842,30.083
Trans LS,W-58,10.742,20.9707,17.0158,3.7653,4.6733,0.9263,0.8354,0.178,42.3437,5.82,0.3424,0.0575,8.0937,22.558,94.8222,46.9021
Not LS,W-6,7.5072,17.2233,12.198,2.9789,2.9511,0.9604,0.7013,0.0028,29.3151,0.3079,0,0,0,17.2155,0,33.8152
Not LS,W-61,0.0529,3.55,0.18,1.016,0.1261,0.0005,0,0,0,0,0,,0,,39.5031,
Not LS,W-65,0.0426,1.01,0.13,1.007,0.0661,0,0,0,4.7314,0,0,0,0,9.1493,0,9.0041
Not LS,W-66,0.0555,0.8743,0.16,1.0063,0.0592,0,0,0,4.3779,0,0,0,0,9.4841,0,8.1216
Not LS,W-7,6.4252,17.8208,13.1229,3.3813,4.2051,0.8151,0.5321,0.0091,19.0434,0.9959,0,0,0,14.4611,7.9944,38.6585
Trans LS,W-70,12.6152,28.74,20.1055,5.466,5.5751,0.926,0.8607,0.3904,38.8926,2.1458,0.7181,0.1416,16.1874,21.418,25.3155,55.5523
Not LS,W-71,9.144,25.0475,12.9616,2.8066,2.7433,0.9842,0.9119,0.0258,38.6318,1.6148,0,0,0,18.2348,1.9986,23.7481
Trans LS,W-72,9.1099,23.0539,18.7675,6.5658,6.3166,0.8183,0.6228,0.2347,33.181,1.5253,0.5452,0.1271,8.0937,21.4343,16.0381,55.8044
Not LS,W-73,11.0737,22.5482,17.5557,4.2174,4.5378,0.9413,0.8628,0.1913,39.3104,5.2152,0.3589,0.0652,8.0937,21.1448,15.9394,37.6823
Not LS,W-74,8.5267,21.3618,17.06,7.9676,6.1901,0.7059,0.662,0.1316,30.8121,2.5935,0.3589,0.0869,8.0937,18.7202,17.4198,44.4865
Not LS,W-75,7.5341,22.42,17.05,7.6153,6.4993,0.6335,0.5706,0.1557,,,,,,,,
Not LS,W-76,7.203,19.28,15.41,6.7319,5.6688,0.6845,0.5898,0.0657,29.1408,4.2648,0.3589,0.0869,8.0937,19.0769,24.9207,43.6048
Not LS,W-77,5.9502,21.56,15.67,6.4739,5.7426,0.5878,0.4949,0.0721,25.6692,1.8143,0.6851,0.2018,16.1874,22.6034,13.9408,49.1331
Not LS,W-78,3.4549,17.42,6.7132,2.1429,2.2403,0.7317,0.1287,0.0001,23.2799,0,0,0,0,11.9404,11.1526,24.5539
Not LS,W-79,3.9524,16.2903,11.9443,3.6078,4.0501,0.5731,0.2953,0.0024,26.23,2.2919,0.3424,0.0972,8.0937,14.6351,77.353,53.4334
Not LS,W-8,4.9463,26.9645,13.9911,3.5901,4.1485,0.7551,0.301,0.0318,12.7616,1.1451,0,0,0,12.0476,13.3486,35.6351
