LSOG_class,plotname,mean_cano_ht,max_cano_ht,percentile_95th,rumple,top_rugosity,cano_cover_2,cano_cover_6,cano_cover_15,sum_live_basalarea,sum_dead_basalarea,basal_GE_40cmDBH,prop_basal_GE_40cmDBH,No_treesGE_40cmdbh,QMD_live,CWD_vol,CV_livedbh
Not LS,24,2.8506,21.91,15.6692,2.8958,5.1485,0.2722,0.1844,0.0611,1.3085,0.1571,0,0,0,11.7857,95.8832,24.4408
Not LS,25,5.1106,15.26,10.49,2.7134,3.1922,0.7991,0.4047,0.0004,9.8445,0.4021,0,0,0,10.8768,9.8696,18.3854
Not LS,26,6.0453,17.1308,12.4418,3.0183,3.7858,0.827,0.4976,0.0075,26.3965,3.9255,0.3424,0.0914,8.0937,13.1653,21.1209,30.4137
Not LS,27,5.7587,14.1609,9.55,2.305,2.6239,0.8973,0.5082,0,12.3186,2.1144,0,0,0,14.0053,5.1322,39.3781
Not LS,28,6.5589,16.1567,11.45,2.7028,3.3103,0.8666,0.6275,0.0004,30.7666,0.3833,0.3757,0.0976,8.0937,14.5945,121.174,42.1449
Not LS,29,0.619,21.05,2.7809,1.5394,1.8036,0.0719,0.0161,0.0054,0.1901,1.896,0,0,0,11.0028,21.1209,
LS,3,14.858,27.2141,22.3262,5.1299,6.5974,0.9094,0.8416,0.6396,44.7455,14.1863,3.2569,0.4473,72.8435,30.8218,323.9203,41.1296
Not LS,32,10.5499,23.6682,18.0695,2.933,3.9001,0.9856,0.9101,0.1278,34.4596,2.9752,0.4287,0.0927,8.0937,15.6163,42.5627,45.3252
Not LS,33,8.626,20.748,13.196,2.6568,3.2638,0.9349,0.8496,0.0156,35.2514,0.9582,0,0,0,12.0745,140.8145,34.3086
Not LS,34,1.4278,16.76,10.507,2.0625,3.2915,0.1597,0.1113,0.0014,29.2947,1.0619,0,0,0,13.2052,15.4706,29.6052
Not LS,35,0.7414,17.171,5.1622,1.6314,2.4399,0.0649,0.0464,0.002,0,0.2262,0,0,0,,46.6092,
Not LS,36,7.8784,17.92,13.8425,3.1992,4.5739,0.8049,0.7141,0.0139,23.2784,0,0,0,0,15.8523,45.943,22.3006
Not LS,37,1.4608,16.13,11.609,2.0736,3.5665,0.1402,0.1134,0.0038,1.5897,2.3013,0,0,0,15.91,28.8439,62.27
Not LS,38,8.5174,19.7513,13.955,3.1867,3.9952,0.9305,0.7159,0.0262,34.0654,3.6444,0,0,0,13.3358,52.2842,29.1662
Not LS,39,9.6482,22.1563,13.0842,2.4837,2.4424,0.9894,0.9376,0.0098,32.4992,2.3657,0,0,0,12.8684,84.9773,28.5061
Not LS,4,0.4859,17.45,2.8575,1.5269,1.6018,0.0624,0.0222,0.0012,1.1027,0,0,0,0,11.8521,17.0004,23.2918
Not LS,40,9.038,22.3319,13.597,2.8942,3.7753,0.8992,0.8421,0.0145,32.4647,2.3358,0,0,0,13.7732,3.5531,31.7817
Not LS,41,9.1509,17.5756,13.4844,2.6543,3.2734,0.9357,0.8772,0.0111,36.0242,1.3839,0,0,0,11.9751,0,31.6058
Not LS,42,7.9481,16.3477,11.94,2.6581,3.017,0.935,0.8009,0.0015,24.7094,0.864,0,0,0,12.3611,0,31.671
Not LS,43,11.2741,19.62,15.5021,2.6306,2.8063,0.9854,0.9624,0.0699,46.2316,2.7443,0,0,0,13.9184,4.0465,37.5314
Not LS,44,9.6003,16.56,12.92,2.3722,2.3717,0.9893,0.9346,0.0023,34.9246,0.1005,0,0,0,11.9412,30.0529,29.8523
Not LS,45,6.656,15.29,10.1889,2.5531,2.2536,0.9632,0.6502,0.0001,21.6808,0,0,0,0,11.3603,0,20.8035
Not LS,46,10.2978,20.3826,15.7646,2.6254,3.5901,0.9794,0.8806,0.0754,38.9193,1.0965,0,0,0,13.8622,16.6796,32.672
Not LS,47,10.077,17.6124,13.837,2.6888,2.9365,0.9693,0.9121,0.0112,37.8417,1.4939,0,0,0,13.3125,2.9856,26.9773
Not LS,48,7.9563,15.93,11.86,2.4933,2.4189,0.9781,0.8312,0.0005,27.694,1.1373,0,0,0,12.7211,22.8235,35.2643
Not LS,49,5.7565,14.63,10.56,2.8975,3.6018,0.7638,0.5845,0,21.3352,0.688,0.3105,0.1141,8.0937,15.7185,16.4329,37.5669
Not LS,5,6.6693,17.5724,11.478,2.4879,2.9943,0.9229,0.6172,0.0057,14.3308,1.3352,0,0,0,13.6484,17.8393,37.4107
Not LS,50,5.0803,23.47,12.56,3.2919,4.8654,0.5683,0.4656,0.0083,8.8501,1.541,0,0,0,16.3836,17.7406,25.2207
Not LS,51,3.9703,15.59,12.0311,3.0604,4.6058,0.4613,0.3547,0.0014,5.8357,1.9918,0,0,0,16.909,16.6056,26.4325
Not LS,52,10.0296,21.5781,13.88,2.6651,3.0928,0.9657,0.9106,0.0211,36.4263,1.8096,0,0,0,15.3085,0,40.9846
Not LS,53,11.5906,21.6595,16.9861,2.6584,4.0508,0.9377,0.9072,0.1307,53.1197,3.0019,0,0,0,14.2763,4.8361,34.8548
Not LS,54,8.8063,15.64,12.41,2.4489,2.9149,0.9535,0.8605,0.0006,19.334,0.864,0,0,0,12.7291,4.0465,30.3475
Not LS,55,9.4947,18.34,14.088,2.9611,3.7399,0.924,0.8451,0.013,19.3905,1.2457,0,0,0,13.8915,21.4911,36.3932
Not LS,56,7.0854,15.67,12.6093,2.9974,4.1709,0.801,0.666,0.0006,18.6774,0.7603,0,0,0,11.6268,31.262,25.2965
Not LS,57,7.4907,18.82,13.6771,3.362,4.7296,0.7746,0.6697,0.0185,26.0745,3.5894,0,0,0,13.2218,70.4196,36.3292
Not LS,58,9.4134,18.845,14.9734,2.7697,3.8157,0.9627,0.7819,0.0482,23.1606,1.6651,0,0,0,13.0214,45.6222,31.11
Not LS,59,8.2102,16.1884,12.9623,2.3971,3.3598,0.9484,0.7533,0.0031,41.6447,4.1706,0,0,0,11.5451,19.147,22.5286
Not LS,6,4.7876,21.2867,12.6914,2.8934,4.2416,0.6709,0.3582,0.0164,10.3817,2.0013,0,0,0,13.745,113.1796,44.1551
Not LS,60,9.2035,21.729,16.887,4.2343,5.6365,0.7988,0.7101,0.1262,25.4006,2.5903,0.3424,0.099,8.0937,14.9899,29.5101,44.757
Not LS,61,6.6295,25.05,16.5393,3.9359,5.9761,0.6393,0.4908,0.1092,16.7436,0.1901,0,0,0,15.2261,25.809,34.3523
Not LS,62,5.5096,19.08,15.36,4.1184,5.7029,0.5437,0.4277,0.0639,14.4439,1.021,0,0,0,16.6966,75.6011,32.2569
Not LS,63,6.8106,16.805,12.1508,3.0564,4.0989,0.778,0.6674,0.0036,32.7192,2.05,0,0,0,14.2241,58.7735,31.6646
Not LS,64,7.5808,16.7794,11.9045,2.7317,3.1094,0.9239,0.7605,0.002,26.7107,1.175,0,0,0,14.7686,0,35.5228
Not LS,65,3.7192,13.4946,6.7262,2.2442,1.7997,0.8464,0.0927,0,8.9004,0,0,0,0,10.1524,17.4939,17.533
Not LS,66,10.3912,22.31,17.1566,4.1051,4.5513,0.9329,0.8397,0.1539,33.3632,1.7028,0.5452,0.1258,8.0937,16.2979,31.6814,49.2075
Trans LS,67,13.4077,24.5292,20.3082,5.18,5.6023,0.9382,0.877,0.4833,29.0858,9.0936,1.4799,0.3137,24.2812,18.8748,27.7583,57.1369
Not LS,68,8.2374,22.06,16.576,2.5899,4.3262,0.9183,0.7263,0.082,16.0383,2.0767,0,0,0,16.1842,23.391,32.9962
Not LS,69,6.2861,19.45,14.016,2.4218,3.856,0.8529,0.5413,0.0345,17.8055,6.874,0.466,0.1528,8.0937,14.6279,57.8852,52.0189
Not LS,7,1.0275,26.2593,8.392,1.9017,3.3923,0.0866,0.0601,0.0196,0.4021,1.6384,0,0,0,16.0041,125.4673,
Not LS,70,4.5503,22.4327,12.9813,3.164,4.1122,0.6796,0.3011,0.0246,21.3321,2.9202,0,0,0,14.0325,146.1935,44.3295
Not LS,71,3.5129,21.64,12.2894,3.3668,4.2719,0.4977,0.2328,0.0266,12.3076,0.5545,0,0,0,12.9146,161.442,35.2443
Not LS,72,2.5392,22.01,10.547,3.1791,3.8127,0.3773,0.1478,0.022,8.5862,12.7804,1.503,0.5693,8.0937,11.1486,81.5969,28.5287
Not LS,73,7.438,14.86,11.558,2.5952,3.397,0.8744,0.7582,0,29.1565,1.7044,0,0,0,13.8365,1.5791,31.8833
Not LS,74,9.0195,17.7,12.6325,2.4502,2.3817,0.9832,0.9207,0.0041,31.1326,0,0,0,0,11.9011,87.7654,25.3517
Not LS,75,7.3677,20.2966,11.7045,2.3032,2.6335,0.9799,0.702,0.0056,34.012,3.2454,0.3424,0.0744,8.0937,12.2229,35.1111,33.6371
Not LS,76,9.7783,20.8775,13.5321,2.1829,2.2477,0.9992,0.9691,0.0282,43.7135,2.2102,0.4287,0.0756,8.0937,12.6134,24.3286,35.8506
Not LS,77,5.7227,18.4606,12.8304,3.3314,4.8335,0.6248,0.5295,0.0092,18.5595,0.1272,0.3589,0.1554,8.0937,17.8742,19.3691,37.0528
Not LS,78,4.5938,17.77,11.8,3.0174,4.4185,0.5644,0.4191,0.0061,1.1169,0,0,0,0,10.8885,21.5404,10.7912
Not LS,79,3.713,24.3,11.028,2.9794,4.4141,0.4513,0.338,0.0106,0.1901,0,0,0,0,11.0028,16.877,
Trans LS,8,14.8735,32.54,21.2539,3.8886,5.345,0.9556,0.9212,0.5806,49.3277,2.4929,0.6211,0.097,16.1874,24.3473,45.3508,38.8522
Not LS,80,9.4159,18.27,13.31,2.4619,2.7896,0.982,0.8872,0.0041,32.5605,0,0,0,0,14.933,15.5199,35.7939
Not LS,81,8.931,16.8098,11.93,2.3504,2.2667,0.9839,0.9066,0.0009,24.1957,0.1901,0,0,0,13.3092,0,33.2833
Not LS,84,9.4988,22.43,13.76,2.7183,3.4061,0.9334,0.8897,0.0231,32.7317,1.7766,0,0,0,15.5696,9.1294,27.5798
Not LS,85,8.3405,18.2093,11.929,2.2244,2.2543,0.9904,0.8739,0.0027,40.9897,0.454,0,0,0,13.3267,21.7378,34.1655
Not LS,86,10.9629,20.14,14.73,2.5229,2.7459,0.9831,0.9527,0.038,49.6969,5.0236,0,0,0,15.6644,36.9123,37.0889
Not LS,87,0.6431,10.56,5.01,1.6308,1.6711,0.0839,0.0386,0,0.8891,0.1571,0,0,0,13.7391,16.877,30.3109
Not LS,88,0.9377,15.67,7.92,1.8812,2.5163,0.1106,0.0718,0.0003,1.5928,0,0,0,0,18.3894,21.1456,25.4588
Not LS,89,0.8616,14.2828,8.15,1.7679,2.4639,0.0971,0.0693,0,3.8831,0.454,0,0,0,20.3029,20.4301,46.7844
Not LS,9,12.6439,27.8738,20.01,3.5341,5.7163,0.9387,0.8384,0.417,26.9541,1.6792,0.3757,0.1062,8.0937,18.9119,44.8573,46.323
Not LS,90,5.9929,14.578,9.755,2.3769,2.3121,0.9612,0.4913,0,20.9504,0.2262,0,0,0,11.5515,116.56,26.388
Not LS,91,2.511,12.0337,5.78,1.9869,1.7317,0.5904,0.0434,0,4.0292,3.3066,0,0,0,14.0502,0,55.7024
Not LS,92,2.4701,14.8,6.2006,2.1143,2.1116,0.5507,0.0554,0,4.268,1.9117,0,0,0,11.3775,48.5831,30.4013
Not LS,93,2.9328,12.8233,7.234,1.9348,2.4272,0.6116,0.0988,0,13.8847,0.1272,0,0,0,15.2553,85.6928,42.2112
Not LS,94,2.7201,9.83,6.2613,1.9027,2.0337,0.6215,0.0627,0,6.7169,0.3079,0,0,0,11.0559,77.8958,24.5599
