res,p_lsog
Debsconeags,0.365
Debsconeags,0.313
Debsconeags,0.308
Debsconeags,0.093
Debsconeags,0.597
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.207
Debsconeags,0.207
Debsconeags,1
Debsconeags,0.948
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.462
Debsconeags,0.293
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.642
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.42
Debsconeags,0.42
Debsconeags,0.213
Debsconeags,0.472
Debsconeags,0.523
Debsconeags,0.392
Debsconeags,1
Debsconeags,0.365
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,1
Debsconeags,1
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.365
Debsconeags,0.293
Debsconeags,0.312
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.948
Debsconeags,0.392
Debsconeags,0.42
Debsconeags,1
Debsconeags,0.392
Debsconeags,0.642
Debsconeags,0.472
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.642
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.672
Debsconeags,0.865
Debsconeags,0.375
Debsconeags,0.598
Debsconeags,0.037
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.375
Debsconeags,0.42
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.087
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.392
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.642
Debsconeags,0.392
Debsconeags,0.447
Debsconeags,0.462
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Debsconeags,1
Debsconeags,0.365
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.365
Debsconeags,0.642
Debsconeags,1
Debsconeags,1
Debsconeags,0.462
Debsconeags,0.472
Debsconeags,0.523
Debsconeags,0.472
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.642
Debsconeags,0.31
Debsconeags,0.338
Debsconeags,0.355
Debsconeags,0.365
Debsconeags,0.472
Debsconeags,0.365
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,0.472
Debsconeags,0.635
Debsconeags,0.42
Debsconeags,0.472
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.462
Debsconeags,0.462
Debsconeags,0.472
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.098
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.407
Debsconeags,0.305
Debsconeags,0.208
Debsconeags,0.472
Debsconeags,0.407
Debsconeags,0.637
Debsconeags,0.637
Debsconeags,0.258
Debsconeags,1
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,0.25
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.523
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.365
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,0.42
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.642
Debsconeags,1
Debsconeags,0.275
Debsconeags,0.472
Debsconeags,0.312
Debsconeags,1
Debsconeags,0.337
Debsconeags,0.293
Debsconeags,0.24
Debsconeags,0.24
Debsconeags,0.212
Debsconeags,0.392
Debsconeags,0.642
Debsconeags,1
Debsconeags,1
Debsconeags,0.365
Debsconeags,1
Debsconeags,0.21
Debsconeags,0.462
Debsconeags,0.642
Debsconeags,0.365
Kennebec Estuary Sites,0.42
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.958
Kennebec Estuary Sites,1
Debsconeags,0.392
Debsconeags,1
Debsconeags,0.21
Great Duck Island,0.365
Great Duck Island,0.472
Great Duck Island,0.365
Great Duck Island,0.42
Great Duck Island,0.25
Debsconeags,0.642
Debsconeags,0.392
Debsconeags,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,0.365
Kennebec Estuary Sites,0.948
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,0.642
Trout Mountain,0.365
Great Wass Island,0.523
Great Wass Island,0.275
Great Wass Island,0.212
Great Wass Island,0.25
Great Wass Island,0.337
Great Wass Island,0.312
Great Wass Island,0.337
Great Wass Island,0.293
Great Wass Island,0.213
Great Wass Island,0.25
Trout Mountain,1
Trout Mountain,0.392
Trout Mountain,0.462
Trout Mountain,0.472
Trout Mountain,0.462
Trout Mountain,0.462
Trout Mountain,0.365
Trout Mountain,0.045
Trout Mountain,0.073
Trout Mountain,0.958
Trout Mountain,0.073
Trout Mountain,0.365
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,0.392
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,1
Saco River Sites,0.365
Saco River Sites,0.642
Saco River Sites,0.21
Saco River Sites,0.365
Saco River Sites,1
Saco River Sites,1
Saco River Sites,0.642
Saco River Sites,0.392
Placentia Island Preserve,0.462
Placentia Island Preserve,0.213
Placentia Island Preserve,0.42
Placentia Island Preserve,0.472
Placentia Island Preserve,0.365
Moose River Number 5 Mountain,0.337
Moose River Number 5 Mountain,0.275
Moose River Number 5 Mountain,0.293
Moose River Number 5 Mountain,0.213
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.472
Moose River Number 5 Mountain,0.312
Moose River Number 5 Mountain,1
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.462
Moose River Number 5 Mountain,0.365
Moose River Number 5 Mountain,0.365
Moose River Number 5 Mountain,0.213
Moose River Number 5 Mountain,0.472
Moose River Number 5 Mountain,0.462
Moose River Number 5 Mountain,0.462
Moose River Number 5 Mountain,0.462
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.293
Moose River Number 5 Mountain,0.275
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.337
Moose River Number 5 Mountain,0.312
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.42
Moose River Number 5 Mountain,0.642
Moose River Number 5 Mountain,1
Moose River Number 5 Mountain,1
Moose River Number 5 Mountain,0.462
Moose River Number 5 Mountain,0.337
Moose River Number 5 Mountain,1
Moose River Number 5 Mountain,0.642
Moose River Number 5 Mountain,0.42
Moose River Number 5 Mountain,0.42
Moose River Number 5 Mountain,1
Moose River Number 5 Mountain,0.642
Moose River Number 5 Mountain,0.523
Moose River Number 5 Mountain,0.337
Moose River Number 5 Mountain,0.213
Moose River Number 5 Mountain,0.392
Moose River Number 5 Mountain,0.472
Moose River Number 5 Mountain,0.42
Moose River Number 5 Mountain,0.42
Moose River Number 5 Mountain,0.312
Pine Barrens Sites,1
Pine Barrens Sites,1
Pine Barrens Sites,1
Pine Barrens Sites,0.373
Pine Barrens Sites,0.155
Pine Barrens Sites,1
Pine Barrens Sites,0.71
Pine Barrens Sites,0.71
Pine Barrens Sites,0.71
Pine Barrens Sites,1
Saco River Sites,1
Saco River Sites,1
Saco River Sites,0.948
Saco River Sites,0.958
Saco River Sites,0.958
Saco River Sites,0.462
Saco River Sites,0.958
Saco River Sites,0.958
Saco River Sites,0.958
Pine Barrens Sites,0.365
Pine Barrens Sites,0.21
Pine Barrens Sites,0.373
Pine Barrens Sites,1
Pine Barrens Sites,0.462
Pine Barrens Sites,0.373
Pine Barrens Sites,0.462
Pine Barrens Sites,1
Pine Barrens Sites,1
Pine Barrens Sites,1
Pine Barrens Sites,0.642
Pine Barrens Sites,1
Pine Barrens Sites,1
Big Reed Forest Reserve,0.365
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.472
Big Reed Forest Reserve,0.642
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,1
Big Reed Forest Reserve,1
Big Reed Forest Reserve,0.392
Big Reed Forest Reserve,0.642
Big Reed Forest Reserve,1
Big Reed Forest Reserve,0.365
Big Reed Forest Reserve,1
Big Reed Forest Reserve,1
Big Reed Forest Reserve,1
Big Reed Forest Reserve,0.392
Big Reed Forest Reserve,0.392
Big Reed Forest Reserve,0.392
Big Reed Forest Reserve,0.462
Big Reed Forest Reserve,0.958
Spring River Preserve,0.42
Spring River Preserve,0.27
Spring River Preserve,0.138
Spring River Preserve,0.293
Spring River Preserve,0.523
Spring River Preserve,0.462
Spring River Preserve,0.212
Spring River Preserve,0.365
Spring River Preserve,0.215
Spring River Preserve,0.312
Spring River Preserve,1
Spring River Preserve,0.215
Spring River Preserve,0.213
Spring River Preserve,0.42
Spring River Preserve,0.365
Spring River Preserve,0.337
Spring River Preserve,0.213
Spring River Preserve,0.642
Spring River Preserve,0.462
Spring River Preserve,0.392
Spring River Preserve,1
Spring River Preserve,0.293
Spring River Preserve,0.523
Spring River Preserve,0.365
Spring River Preserve,1
Spring River Preserve,0.392
Spring River Preserve,0.523
Spring River Preserve,1
Spring River Preserve,0.392
Spring River Preserve,0.212
Spring River Preserve,1
Spring River Preserve,1
Spring River Preserve,0.293
Spring River Preserve,0.523
Spring River Preserve,0.213
Spring River Preserve,0.312
Spring River Preserve,0.958
Spring River Preserve,0.392
Spring River Preserve,0.642
Spring River Preserve,0.293
Spring River Preserve,0.472
Spring River Preserve,0.523
Spring River Preserve,0.472
Spring River Preserve,0.642
Spring River Preserve,0.275
Trout Mountain,0.642
Trout Mountain,0.472
Trout Mountain,0.365
Trout Mountain,0.462
Trout Mountain,0.462
Trout Mountain,0.392
Trout Mountain,1
Trout Mountain,1
Trout Mountain,1
Trout Mountain,1
Trout Mountain,1
Kennebec Estuary Sites,0.42
Kennebec Estuary Sites,0.365
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,0.523
Big Spencer,0.472
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,0.472
Big Spencer,0.642
Big Spencer,1
Big Spencer,1
Big Spencer,1
Big Spencer,0.392
Big Spencer,0.392
Big Spencer,0.642
Big Spencer,0.642
Big Spencer,0.462
Big Spencer,1
Big Spencer,0.275
Big Spencer,1
Big Spencer,1
Big Spencer,0.392
Big Spencer,0.472
Big Spencer,1
Big Spencer,0.365
Big Spencer,0.275
Big Spencer,0.462
Big Spencer,0.312
Big Spencer,0.337
Saco River Sites,1
Saco River Sites,0.948
Saco River Sites,1
Chamberlain Lake,0.462
Chamberlain Lake,0.462
Chamberlain Lake,0.392
Chamberlain Lake,0.642
Chamberlain Lake,0.392
Chamberlain Lake,0.392
Chamberlain Lake,0.365
Chamberlain Lake,0.462
Chamberlain Lake,0.462
Chamberlain Lake,0.42
Chamberlain Lake,0.462
Chamberlain Lake,0.642
Chamberlain Lake,0.392
Chamberlain Lake,0.462
Chamberlain Lake,0.462
Chamberlain Lake,0.392
Cutler,0.42
Cutler,0.42
Cutler,0.337
Cutler,0.42
Cutler,0.365
Cutler,0.365
Cutler,0.337
Cutler,0.42
Cutler,0.523
Cutler,0.472
Cutler,0.365
Cutler,0.337
Cutler,0.472
Cutler,0.212
Cutler,0.293
Cutler,0.642
Cutler,1
Cutler,0.275
Cutler,0.642
Cutler,0.212
Cutler,0.42
Cutler,0.42
Cutler,0.293
Cutler,0.275
Forest City,0.462
Forest City,0.462
Forest City,0.462
Forest City,0.365
Forest City,0.365
