thr,sens,spec,prev_pred,J
0.01,1,0.00184672206832872,0.998390730608304,0.0018467220683287
0.02,0.998748435544431,0.00461680517082179,0.99581589958159,0.00336524071525224
0.03,0.993742177722153,0.00997229916897507,0.990505310588993,0.00371447689112769
0.04,0.992490613266583,0.0160664819944598,0.985033794657226,0.0085570952610432
0.05,0.989987484355444,0.0208679593721145,0.980527840360476,0.0108554437275588
0.06,0.987484355444305,0.0275161588180979,0.974412616672031,0.0150005142624032
0.07,0.987484355444305,0.033056325023084,0.969584808496942,0.0205406804673893
0.08,0.983729662077597,0.0404432132963989,0.962664950112649,0.024172875373996
0.09,0.97747183979975,0.0498614958448754,0.95365304151915,0.027333335644625
0.1,0.97622027534418,0.057617728531856,0.946733183134857,0.0338380038760362
0.11,0.97622027534418,0.0640812557710065,0.94110074026392,0.0403015311151866
0.12,0.973717146433041,0.0712834718374885,0.934502735757966,0.0450006182705298
0.13,0.973717146433041,0.0788550323176362,0.927904731252011,0.0525721787506774
0.14,0.973717146433041,0.0875346260387812,0.92034116511104,0.0612517724718225
0.15,0.967459324155194,0.0991689750692521,0.909398133247506,0.066628299224446
0.16,0.967459324155194,0.103047091412742,0.906018667524944,0.0705064155679365
0.17,0.966207759699625,0.109695290858726,0.900064370775668,0.0759030505583502
0.18,0.95244055068836,0.143305632502308,0.869005471515932,0.0957461831906688
0.19,0.92991239048811,0.170083102493075,0.842774380431284,0.099995492981185
0.2,0.927409261576971,0.187626962142198,0.827164467331831,0.115036223719169
0.21,0.909887359198999,0.221606648199446,0.795300933376247,0.131494007398445
0.22,0.903629536921151,0.23859649122807,0.779691020276794,0.142226028149222
0.23,0.891113892365457,0.27590027700831,0.745574509172836,0.167014169373767
0.24,0.888610763454318,0.289196675900277,0.733665915674284,0.177807439354595
0.25,0.882352941176471,0.300831024930748,0.72272288381075,0.183183966107219
0.26,0.873591989987484,0.314127423822715,0.71000965561635,0.187719413810199
0.27,0.867334167709637,0.324469067405355,0.700193112327004,0.191803235114993
0.28,0.867334167709637,0.331117266851339,0.694399742516897,0.198451434560976
0.29,0.854818523153942,0.35050784856879,0.675893144512391,0.205326371722733
0.3,0.841051314142678,0.365096952908587,0.661409719987126,0.206148267051266
0.31,0.838548185231539,0.36915974145891,0.657547473447055,0.20770792669045
0.32,0.8360450563204,0.371375807940905,0.65529449629868,0.207420864261305
0.33,0.81351689612015,0.394459833795014,0.632281943997425,0.207976729915164
0.34,0.807259073842303,0.406832871652816,0.620695204377213,0.214091945495119
0.35,0.798498122653317,0.417174515235457,0.610556807209527,0.215672637888774
0.36,0.783479349186483,0.43859649122807,0.589958158995816,0.222075840414553
0.37,0.780976220275344,0.44118190212373,0.587383327969102,0.222158122399075
0.38,0.754693366708386,0.467959372114497,0.560669456066946,0.222652738822882
0.39,0.718397997496871,0.499168975069252,0.528805922111362,0.217566972566123
0.4,0.695869837296621,0.516897506925208,0.510460251046025,0.212767344221829
0.41,0.685857321652065,0.536288088642659,0.492275506919858,0.222145410294724
0.42,0.675844806007509,0.546445060018467,0.482137109752173,0.222289866025977
0.43,0.665832290362954,0.554385964912281,0.473929835854522,0.220218255275234
0.44,0.654568210262829,0.569898430286242,0.458963630511748,0.22446664054907
0.45,0.638297872340426,0.586334256694368,0.442549082716447,0.224632129034793
0.46,0.6270337922403,0.598522622345337,0.430479562278726,0.225556414585637
0.47,0.623279098873592,0.602954755309326,0.426134534921146,0.226233854182918
0.48,0.60450563204005,0.627331486611265,0.402478274863212,0.231837118651315
0.49,0.600750938673342,0.628993536472761,0.400547151593177,0.229744475146103
0.5,0.599499374217772,0.631209602954755,0.398455101383972,0.230708977172527
0.51,0.586983729662078,0.644321329639889,0.385420019311233,0.231305059301967
0.52,0.578222778473091,0.652816251154201,0.376890891535243,0.231039029627293
0.53,0.561952440550688,0.671837488457987,0.358223366591567,0.233789929008676
0.54,0.549436795994994,0.679409048938135,0.350016092693917,0.228845844933129
0.55,0.533166458072591,0.706371191135734,0.324428709365948,0.239537649208325
0.56,0.519399249061327,0.716528162511542,0.313807531380753,0.235927411572869
0.57,0.509386733416771,0.729824561403509,0.300933376247184,0.23921129482028
0.58,0.493116395494368,0.73887349953832,0.290955906018668,0.231989895032688
0.59,0.491864831038799,0.744413665743306,0.285967170904409,0.236278496782104
0.6,0.485607008760951,0.746260387811634,0.283553266816865,0.231867396572586
0.61,0.470588235294118,0.764542936288089,0.265690376569038,0.235131171582206
0.62,0.469336670838548,0.765835641735919,0.264402961055681,0.235172312574467
0.63,0.466833541927409,0.76657433056325,0.263437399420663,0.233407872490659
0.64,0.46433041301627,0.768236380424746,0.261667203089797,0.232566793441016
0.65,0.461827284105131,0.769529085872576,0.260218860637271,0.231356369977708
0.66,0.456821026282854,0.771006463527239,0.258287737367235,0.227827489810093
0.67,0.455569461827284,0.774145891043398,0.255391052462182,0.229715352870682
0.68,0.455569461827284,0.774884579870729,0.254747344705504,0.230454041698013
0.69,0.44305381727159,0.787626962142198,0.242034116511104,0.230680779413787
0.7,0.438047559449312,0.788550323176362,0.240585774058577,0.226597882625674
0.71,0.429286608260325,0.798153277931671,0.23109108464757,0.227439886191997
0.72,0.425531914893617,0.799445983379501,0.229481815255874,0.224977898273118
0.73,0.420525657071339,0.801108033240997,0.227389765046669,0.221633690312336
0.74,0.420525657071339,0.801846722068329,0.22674605728999,0.222372379139668
0.75,0.420525657071339,0.802216066481994,0.226424203411651,0.222741723553334
0.76,0.41927409261577,0.802770083102493,0.225780495654973,0.222044175718263
0.77,0.4180225281602,0.803693444136657,0.224814934019955,0.221715972296858
0.78,0.416770963704631,0.803693444136657,0.224654007080785,0.220464407841288
0.79,0.408010012515645,0.814035087719298,0.214515609913099,0.222045100234943
0.8,0.406758448060075,0.814589104339797,0.213871902156421,0.221347552399872
0.81,0.405506883604506,0.815143120960295,0.213228194399743,0.220650004564801
0.82,0.399249061326658,0.816620498614958,0.211136144190538,0.215869559941617
0.83,0.396745932415519,0.816989843028624,0.210492436433859,0.213735775444144
0.84,0.39549436795995,0.816989843028624,0.210331509494689,0.212484210988574
0.85,0.39549436795995,0.816989843028624,0.210331509494689,0.212484210988574
0.86,0.381727158948686,0.821052631578947,0.205020920502092,0.202779790527633
0.87,0.380475594493116,0.821421975992613,0.204538139684583,0.20189757048573
0.88,0.380475594493116,0.821975992613112,0.204055358867074,0.202451587106228
0.89,0.379224030037547,0.821975992613112,0.203894431927905,0.201200022650659
0.9,0.3729662077597,0.824561403508772,0.200836820083682,0.197527611268472
0.91,0.3729662077597,0.824746075715605,0.200675893144512,0.197712283475304
0.92,0.3729662077597,0.824930747922438,0.200514966205343,0.197896955682137
0.93,0.370463078848561,0.825669436749769,0.199549404570325,0.19613251559833
0.94,0.370463078848561,0.826777469990766,0.198583842935307,0.197240548839327
0.95,0.370463078848561,0.827146814404432,0.198261989056968,0.197609893252993
0.96,0.359198998748436,0.83471837488458,0.190215642098487,0.193917373633016
0.97,0.359198998748436,0.83471837488458,0.190215642098487,0.193917373633016
0.98,0.359198998748436,0.838042474607572,0.187318957193434,0.197241473356007
0.99,0.359198998748436,0.838042474607572,0.187318957193434,0.197241473356007
