state,variant,a4_pass_pct,true_lsog_pct,lo,hi
ME,base,29.5,3.10,2.48,3.72
ME,strict_SR,40.4,3.67,3.00,4.34
ME,recent20,51.1,4.12,3.42,4.82
ME,local,67.0,5.15,4.37,5.93
ME,anyloss,29.4,3.10,2.48,3.72
NH,base,50.0,12.84,10.69,15.00
NH,strict_SR,58.4,14.15,11.93,16.37
NH,recent20,67.5,15.94,13.62,18.26
NH,local,82.1,18.82,16.31,21.33
NH,anyloss,49.4,12.59,10.46,14.72
VT,base,65.3,15.17,12.74,17.60
VT,strict_SR,75.9,16.62,14.08,19.16
VT,recent20,79.2,18.02,15.39,20.65
VT,local,90.5,18.77,16.08,21.46
VT,anyloss,63.8,15.00,12.58,17.42
NY,base,68.3,12.24,11.09,13.40
NY,strict_SR,83.4,14.01,12.78,15.25
NY,recent20,79.0,13.64,12.42,14.86
NY,local,92.4,15.04,13.76,16.31
NY,anyloss,67.2,12.05,10.90,13.20
