state,metric,pct,lo,hi
ME,>=1 axis,83.82,82.41,85.23
ME,>=2 axes,48.75,47.03,50.48
ME,>=3 axes,18.39,17.04,19.75
ME,true LSOG (all 4),3.1,2.48,3.72
NH,>=1 axis,94.02,91.72,96.32
NH,>=2 axes,72.6,69.56,75.64
NH,>=3 axes,40.09,36.96,43.21
NH,true LSOG (all 4),12.84,10.69,15
VT,>=1 axis,95.59,93.35,97.84
VT,>=2 axes,77.48,74.41,80.54
VT,>=3 axes,44.56,41.11,48.01
VT,true LSOG (all 4),15.17,12.74,17.6
NY,>=1 axis,94.44,93.05,95.82
NY,>=2 axes,69.76,68.02,71.51
NY,>=3 axes,37.87,36.16,39.57
NY,true LSOG (all 4),12.24,11.09,13.4
