forest_type_group,total_kac,true_lsog_pct,true_lsog_kac
Maple/beech/birch,22995,11.64,2675.8
Spruce/fir,7428,2.06,152.8
Oak/hickory,4432,6.64,294.1
White/red/jack pine,3387,21.24,719.5
Aspen/birch,2527,0.58,14.6
Elm/ash/cottonwood,1772,0,0
Oak/pine,1475,16.4,242
Other,942,0,0
Other softwood,258,1.78,4.6
