ecoregion_L3,total_kac,true_lsog_pct,true_lsog_kac
Northeastern Highlands,23883,12.52,2989.9
Acadian Plains and Hills,8887,2.12,188.4
Northern Allegheny Plateau,5421,9.16,496.5
Eastern Great Lakes Lowlands,3709,3.97,147.1
Northeastern Coastal Zone,1851,9.35,173.2
North Central Appalachians,614,8.51,52.3
Erie Drift Plain,372,7.97,29.7
Ridge and Valley,239,6.56,15.7
Atlantic Coastal Pine Barrens,188,2.08,3.9
