state,axis,missing_share
ME,A1 live structure,65.3
ME,A2 dead wood,7.4
ME,A3 composition,4.6
ME,A4 continuity,22.7
NH,A1 live structure,49.8
NH,A2 dead wood,21.5
NH,A3 composition,5.2
NH,A4 continuity,23.4
VT,A1 live structure,50.3
VT,A2 dead wood,27.4
VT,A3 composition,9.4
VT,A4 continuity,12.9
NY,A1 live structure,44.5
NY,A2 dead wood,23.2
NY,A3 composition,19.4
NY,A4 continuity,12.9
