metric,pct,lo,hi
A1 live structure alone,12.5,11.35,13.65
A2 dead wood alone,46.13,44.38,47.88
A3 composition alone,55.32,53.52,57.12
A4 continuity alone (LCMS),19.98,18.6,21.35
