plot_file,lat,lon,hag_code,lcms_yod,potapov_rh95
1,46.211111,-69.076667,1,2016,17
2,46.211111,-69.010833,2,0,16
3,46.21,-69.053611,3,0,16
4,46.210833,-69.038056,2,0,16
6,46.211111,-69.010833,2,0,16
8,46.211944,-68.984722,2,0,18
9,46.211111,-68.973056,2,0,13
10,46.21,-68.959722,1,2009,13
11,46.201111,-69.080556,1,0,16
14,46.200556,-69.041111,1,0,15
15,46.200556,-69.025833,1,0,6
16,46.202778,-69.012222,2,0,21
17,46.195278,-69.0775,1,2014,9
18,46.201667,-68.987222,1,0,16
19,46.2025,-68.976389,1,0,16
21,46.192361,-69.07675,1,0,14
22,46.190278,-69.066111,1,2013,5
23,46.192222,-69.051944,2,0,18
24,46.1925,-69.037222,1,2021,16
25,46.193056,-69.026111,4,1996,10
27,46.184722,-69.079444,1,0,17
29,46.180833,-69.051944,1,0,16
30,46.184167,-69.038889,2,2014,17
34,46.164722,-69.075556,2,2022,14
37,46.175,-69.021667,1,0,14
39,46.168889,-69.036944,2,0,15
40,46.162778,-69.026389,1,2011,13
42,46.162972,-69.002333,1,2007,11
43,46.1672,-68.987217,2,0,20
44,46.146944,-69.041944,1,0,18
46,46.155,-69.021944,3,2017,18
47,46.158333,-69.007778,2,0,12
48,46.156389,-68.998583,4,0,16
49,46.158117,-68.98405,2,0,15
50,46.15,-69.075,3,0,18
51,46.147778,-69.065,2,0,14
52,46.149167,-69.049167,2,0,16
54,46.1489,-69.026417,1,0,16
56,46.149167,-69.000683,4,0,16
57,46.144722,-69.068611,2,0,16
58,46.138889,-69.062778,1,0,17
59,46.138333,-69.050556,1,0,17
60,46.138056,-69.036667,3,0,19
61,46.138889,-69.026389,1,1996,15
62,46.139722,-69.015833,2,0,16
63,46.138333,-68.998611,1,2000,14
67,46.13,-69.036944,1,0,5
68,46.131944,-69.025278,1,0,13
69,46.131111,-69.006111,1,0,15
71,46.129444,-68.988889,2,0,15
72,46.132083,-68.9661,3,0,18
73,46.14,-68.987778,1,0,16
74,46.127583,-68.957617,2,0,16
77,46.1399,-68.93355,1,0,15
78,46.139983,-68.945933,2,0,17
79,46.140483,-68.9597,2,0,16
80,46.136017,-68.965817,2,0,16
81,46.149517,-68.986367,1,0,16
82,46.1491,-68.9736,1,0,13
83,46.148867,-68.960817,1,0,16
84,46.148333,-68.945,3,0,14
86,46.148333,-68.922222,1,0,9
87,46.1575,-68.921389,2,0,13
88,46.157778,-68.934444,2,0,16
89,46.156667,-68.930556,3,0,19
90,46.156389,-68.96,2,0,16
91,46.158167,-68.97695,2,0,16
92,46.167617,-68.974083,1,0,14
93,46.167083,-68.963028,2,0,13
94,46.16605,-68.949283,2,0,14
95,46.165789,-68.935894,2,0,15
96,46.165278,-68.923194,1,0,15
97,46.174522,-68.921908,1,0,9
99,46.170033,-68.953817,1,0,15
100,46.1747,-68.959817,2,0,17
101,46.1756,-68.973267,2,0,14
102,46.175767,-68.986183,3,0,17
103,46.176249,-69.000374,2,0,15
104,46.176599,-69.013432,2,0,16
105,46.184942,-69.023886,1,0,5
106,46.185634,-69.012762,4,0,16
107,46.184503,-69.000661,1,2017,16
108,46.185133,-68.988133,3,0,14
109,46.184183,-68.96905,2,2017,9
110,46.186233,-68.95885,2,0,16
111,46.193983,-68.961983,2,0,16
112,46.193067,-68.96905,3,0,19
113,46.193811,-68.986776,1,2017,15
114,46.194517,-68.999983,1,0,15
115,46.185133,-68.980333,2,0,17
