state,eval_period,eval_year,n_plots,pct_trans,pct_ls,pct_og,pct_all,pct_trans_lo,pct_trans_hi,pct_ls_lo,pct_ls_hi,pct_og_lo,pct_og_hi,pct_all_lo,pct_all_hi,acres_trans,acres_ls,acres_og,acres_all,ac_all_lo,ac_all_hi,snag_thresh_1,snag_thresh_2
ME,2014-2018,2016,3150,18.412698412698415,5.079365079365079,0.41269841269841273,23.904761904761905,17.047619047619047,19.77777777777778,4.349206349206349,5.841269841269842,0.2222222222222222,0.6349206349206349,22.444444444444443,25.334126984126982,3031297.0620952384,854489.2581587302,71181.29473015873,3956967.614984127,3713491.5098285717,4204660.007009524,30,54
ME,2019-2023,2021,3125,19.872,5.536,0.384,25.791999999999998,18.496000000000002,21.248,4.704,6.4,0.192,0.64,24.32,27.328000000000003,3262039.542784,927622.575616,67027.265536,4256689.383936,4009555.8660608004,4510086.691263999,30,54
NH,2014-2018,2016,748,42.780748663101605,8.689839572192513,0.4010695187165776,51.87165775401069,39.17112299465241,46.25668449197861,6.684491978609626,10.828877005347595,0,0.9358288770053476,48.26203208556149,55.481283422459896,1970997.9914438503,391480.22245989303,19251.336898395723,2381729.550802139,2214151.931069519,2546759.2172727273,48,90
NH,2019-2023,2021,757,42.53632760898283,12.021136063408191,1.0568031704095113,55.61426684280053,38.969616908850725,45.97093791281374,9.775429326287979,14.266842800528401,0.3963011889035667,1.8494055482166447,52.04755614266843,58.91677675033024,1968522.7054161162,553925.8145310435,44321.42457067371,2566769.9445178336,2399758.304464993,2717159.092153236,48,90
NY,2014-2018,2016,2228,29.084380610412925,12.477558348294435,1.7055655296229804,43.26750448833034,27.244165170556556,31.015484739676833,11.175942549371634,13.868940754039496,1.2118491921005385,2.289048473967684,41.24775583482944,45.33213644524237,5092224.752019749,2233156.9508078992,313527.8500448833,7638909.552872531,7271667.99932114,8023221.33999439,30,48
NY,2019-2023,2021,2107,31.086853345989557,12.861888941623162,2.5154247745609872,46.46416706217371,29.093497864261984,33.12766967252017,11.390602752728999,14.380635975320361,1.897247271001424,3.179876601803512,44.32724252491695,48.45870906502135,5309725.347508306,2322587.7747508306,452992.09634551493,8085305.21860465,7694974.824069767,8440892.502458472,30,48
VT,2014-2018,2016,660,40.15151515151515,15.151515151515152,0.9090909090909091,56.21212121212121,36.36363636363637,44.09090909090909,12.575757575757576,18.03030303030303,0.30303030303030304,1.6666666666666667,52.57575757575758,60,1753673.0266666668,666367.7718181818,40075.757575757576,2460116.556060606,2298327.645954546,2626824.4744242425,30,54
VT,2019-2023,2021,657,42.922374429223744,13.850837138508371,1.06544901065449,57.8386605783866,39.265601217656005,46.87975646879756,11.263318112633181,16.590563165905632,0.45662100456621,1.82648401826484,54.337899543378995,61.796042617960424,1884631.7415525112,611563.3905631659,47260.273972602736,2543455.40608828,2380886.259269406,2716547.923896499,30,54
