CN,eval_period,LAT,LON,STDAGE,v4_class,v5_class,v5_total,potapov_rh95,hagan_value
171137460020004,2014-2018,45.17267,-68.5063,47,Not LSOG,Not LSOG,1,12,15
171137461020004,2014-2018,44.501913,-69.149634,65,Not LSOG,Not LSOG,3,21,-1
171137462020004,2014-2018,44.44746,-69.41475,82,Transitioning LS,Not LSOG,4,0,-1
171137463020004,2014-2018,45.11954,-69.3846,77,Transitioning LS,Transitioning LS,5,17,15
171137464020004,2014-2018,45.05531,-69.41798,53,Not LSOG,Not LSOG,2,21,15
171137465020004,2014-2018,45.07827,-69.62557,35,Not LSOG,Not LSOG,3,20,15
171137466020004,2014-2018,44.86515,-69.77111,66,Transitioning LS,Transitioning LS,5,19,15
171137468020004,2014-2018,43.80892,-70.61034,79,Not LSOG,Not LSOG,1,3,-1
171137469020004,2014-2018,43.64735,-70.55777,71,LS,Transitioning LS,6,17,-1
171137471020004,2014-2018,46.07537,-68.95256,73,Not LSOG,Not LSOG,3,10,15
171137473020004,2014-2018,43.75499,-70.82077,75,Transitioning LS,Transitioning LS,5,19,-1
171137474020004,2014-2018,43.68409,-70.87732,92,Not LSOG,Not LSOG,3,20,-1
171137475020004,2014-2018,45.25897,-69.12843,73,Transitioning LS,Transitioning LS,5,16,15
171137476020004,2014-2018,44.87902,-69.20877,35,Not LSOG,Not LSOG,1,0,15
171137477020004,2014-2018,44.89015,-69.22557,60,Not LSOG,Not LSOG,1,0,15
171137478020004,2014-2018,43.90703,-69.97304,98,Transitioning LS,Transitioning LS,5,15,-1
171137479020004,2014-2018,43.82845,-70.21128,82,Transitioning LS,Transitioning LS,5,20,-1
171137480020004,2014-2018,46.35269,-69.92032,33,Not LSOG,Not LSOG,2,8,15
171137481020004,2014-2018,46.15046,-70.08663,89,Not LSOG,Not LSOG,2,5,15
171137482020004,2014-2018,45.672,-68.2683,29,Not LSOG,Not LSOG,1,17,15
171137483020004,2014-2018,45.70618,-69.67177,55,Not LSOG,Not LSOG,2,13,15
171137484020004,2014-2018,45.542099,-69.598127,68,Not LSOG,Not LSOG,2,22,15
171137485020004,2014-2018,45.489507,-69.835638,67,Not LSOG,Not LSOG,2,13,15
171137486020004,2014-2018,44.56878,-68.35525,32,Not LSOG,Not LSOG,1,18,-1
171137488020004,2014-2018,44.65971,-69.12684,46,Not LSOG,Not LSOG,1,21,-1
171137489020004,2014-2018,44.49353,-69.30602,47,Not LSOG,Not LSOG,3,0,-1
171137491020004,2014-2018,44.97382,-67.71196,61,Not LSOG,Not LSOG,2,13,-1
171137493020004,2014-2018,44.98175,-68.31046,90,LS,Transitioning LS,6,15,15
171137495020004,2014-2018,45.65391,-68.14088,29,Not LSOG,Not LSOG,2,16,15
171137496020004,2014-2018,45.00817,-68.47659,83,Not LSOG,Not LSOG,3,16,15
171137497020004,2014-2018,44.49605,-68.72895,70,Not LSOG,Not LSOG,1,12,-1
171137498020004,2014-2018,44.02668,-69.29658,58,Transitioning LS,Not LSOG,4,0,-1
171137499020004,2014-2018,46.0967,-67.91861,103,Transitioning LS,Not LSOG,4,NA,15
171137500020004,2014-2018,47.08529,-69.48739,59,Not LSOG,Not LSOG,1,3,1
171137501020004,2014-2018,46.5672,-69.7213,135,LS,LS,7,15,2
171137502020004,2014-2018,44.14712,-70.91165,45,Not LSOG,Not LSOG,2,17,-1
171137503020004,2014-2018,47.21953,-68.76635,45,Not LSOG,Not LSOG,1,0,-1
171137504020004,2014-2018,47.00511,-68.94493,50,Not LSOG,Not LSOG,2,17,15
171137505020004,2014-2018,46.98189,-69.24086,117,LS,LS,7,21,15
171137506020004,2014-2018,46.35016,-69.30619,25,Not LSOG,Not LSOG,2,13,1
171137507020004,2014-2018,46.38465,-69.49819,37,Not LSOG,Not LSOG,2,6,1
171137508020004,2014-2018,46.0535,-69.95988,89,Not LSOG,Not LSOG,3,17,15
171137509020004,2014-2018,45.82641,-69.72528,27,Not LSOG,Not LSOG,1,0,15
171137510020004,2014-2018,45.73062,-68.53447,64,Not LSOG,Not LSOG,1,14,15
171137511020004,2014-2018,45.14584,-68.94638,80,Transitioning LS,Not LSOG,4,14,15
171137512020004,2014-2018,44.89336,-69.34765,50,Not LSOG,Not LSOG,0,0,15
171137513020004,2014-2018,44.31165,-69.65106,77,Not LSOG,Not LSOG,1,0,-1
171137516020004,2014-2018,46.95804,-67.93423,55,Not LSOG,Not LSOG,2,13,15
171137517020004,2014-2018,45.77428,-69.01119,104,Not LSOG,Not LSOG,2,14,15
171137518020004,2014-2018,45.07786,-68.43251,37,Not LSOG,Not LSOG,0,12,15
171137519020004,2014-2018,44.19612,-69.35685,60,Not LSOG,Not LSOG,0,17,-1
171137520020004,2014-2018,46.17085,-67.855950000000007,68,Not LSOG,Not LSOG,0,10,-1
171137521020004,2014-2018,45.86039,-68.10142,106,Not LSOG,Not LSOG,3,21,15
171137522020004,2014-2018,45.27968,-68.65479,62,Not LSOG,Not LSOG,1,15,15
171137523020004,2014-2018,44.64059,-69.1839,26,Not LSOG,Not LSOG,1,20,-1
171137524020004,2014-2018,44.33104,-69.23332,90,Not LSOG,Not LSOG,4,19,-1
171137525020004,2014-2018,45.2794,-70.76312,80,Transitioning LS,Transitioning LS,5,14,15
171137526020004,2014-2018,46.5179,-68.77071,118,Not LSOG,Not LSOG,2,16,15
171137527020004,2014-2018,46.40589,-69.05846,30,Not LSOG,Not LSOG,0,17,15
171137528020004,2014-2018,46.11802,-69.30708,30,Not LSOG,Not LSOG,2,4,15
171137529020004,2014-2018,45.86939,-69.72761,110,Not LSOG,Not LSOG,3,16,15
171137530020004,2014-2018,45.56468,-69.77216,85,Transitioning LS,Not LSOG,4,15,15
171137531020004,2014-2018,45.05375,-70.01802,55,Not LSOG,Not LSOG,0,15,15
171137532020004,2014-2018,44.72886,-70.4873,42,Not LSOG,Not LSOG,4,18,15
171137533020004,2014-2018,44.47701,-70.46535,69,Transitioning LS,Not LSOG,4,10,-1
171137534020004,2014-2018,44.04445,-70.15552,70,Not LSOG,Not LSOG,2,14,-1
171137535020004,2014-2018,43.65028,-70.72471,96,Not LSOG,Not LSOG,3,15,-1
171137536020004,2014-2018,44.9337,-67.35585,103,Transitioning LS,Not LSOG,4,5,-1
171137537020004,2014-2018,44.95066,-67.53303,77,Not LSOG,Not LSOG,1,7,-1
171137538020004,2014-2018,44.64832,-67.60452,57,Not LSOG,Not LSOG,3,16,-1
171137539020004,2014-2018,45.10091,-67.89125,33,Not LSOG,Not LSOG,0,5,-1
171137540020004,2014-2018,44.88406,-67.83771,101,Transitioning LS,Not LSOG,4,9,-1
171137541020004,2014-2018,45.44466,-67.69255,76,Not LSOG,Not LSOG,2,3,-1
171137542020004,2014-2018,45.02623,-68.18843,71,Not LSOG,Not LSOG,3,13,15
171137543020004,2014-2018,45.47238,-67.88829,87,Not LSOG,Not LSOG,2,12,-1
171137544020004,2014-2018,45.4205,-68.11448,25,Not LSOG,Not LSOG,2,19,15
171137545020004,2014-2018,46.16438,-69.67264,28,Not LSOG,Not LSOG,0,9,1
171137546020004,2014-2018,46.3148,-69.54612,25,Not LSOG,Not LSOG,1,9,1
171137547020004,2014-2018,46.09442,-69.7283,94,Not LSOG,Not LSOG,3,17,1
171137548020004,2014-2018,46.01182,-69.61386,25,Not LSOG,Not LSOG,2,11,15
171137549020004,2014-2018,45.92388,-69.64079,99,Not LSOG,Not LSOG,2,11,15
171137550020004,2014-2018,46.02128,-69.798330000000007,35,Not LSOG,Not LSOG,1,15,15
171137551020004,2014-2018,45.963,-69.85366,28,Not LSOG,Not LSOG,3,19,15
171137552020004,2014-2018,45.8953,-69.88728,99,Not LSOG,Not LSOG,3,0,15
171137553020004,2014-2018,45.71254,-69.84744,38,Not LSOG,Not LSOG,1,19,15
171137554020004,2014-2018,45.82038,-69.99844,55,Not LSOG,Not LSOG,1,20,15
171137555020004,2014-2018,45.74391,-70.02394,35,Not LSOG,Not LSOG,0,5,15
171137556020004,2014-2018,44.41771,-69.91411,65,Not LSOG,Not LSOG,3,18,-1
171137557020004,2014-2018,44.35539,-69.99907,75,Transitioning LS,Transitioning LS,5,17,-1
171137558020004,2014-2018,44.43576,-70.1141,89,Not LSOG,Not LSOG,2,23,-1
171137559020004,2014-2018,44.28997,-70.01021,56,Transitioning LS,Transitioning LS,5,17,-1
171137560020004,2014-2018,44.39405,-70.18732,68,Not LSOG,Not LSOG,1,20,-1
171137561020004,2014-2018,44.29082,-70.22152,63,Not LSOG,Not LSOG,3,0,-1
171137562020004,2014-2018,44.21095,-70.11499,39,Not LSOG,Not LSOG,2,18,-1
171137564020004,2014-2018,44.22578,-70.28043,60,Not LSOG,Not LSOG,3,22,-1
171137565020004,2014-2018,44.18396,-70.276840000000007,81,Not LSOG,Not LSOG,3,17,-1
171137566020004,2014-2018,44.16024,-70.34481,45,Not LSOG,Not LSOG,1,0,-1
171137567020004,2014-2018,44.09586,-70.42465,98,Transitioning LS,Transitioning LS,5,18,-1
171137568020004,2014-2018,43.84462,-70.32301,65,Transitioning LS,Transitioning LS,5,10,-1
171137569020004,2014-2018,43.86452,-70.35046,54,Not LSOG,Not LSOG,1,0,-1
171137570020004,2014-2018,44.03289,-70.44644,45,Not LSOG,Not LSOG,1,22,-1
171137571020004,2014-2018,43.34346,-70.62373,61,Transitioning LS,Transitioning LS,5,17,-1
171137572020004,2014-2018,43.27463,-70.67314,66,Not LSOG,Not LSOG,2,21,-1
171137573020004,2014-2018,43.21555,-70.61081,62,Not LSOG,Not LSOG,2,16,-1
171137574020004,2014-2018,43.19065,-70.70089,76,Transitioning LS,Transitioning LS,5,20,-1
171137575020004,2014-2018,44.9374,-69.1312,78,Not LSOG,Not LSOG,3,19,15
171137576020004,2014-2018,44.97765,-69.31135,61,Not LSOG,Not LSOG,2,0,15
171137577020004,2014-2018,44.74937,-69.31992,25,Not LSOG,Not LSOG,0,7,15
171137578020004,2014-2018,44.652589999999996,-69.35448,66,LS,LS,7,21,-1
171137579020004,2014-2018,45.0069,-69.51714,55,Transitioning LS,Not LSOG,4,14,15
171137583020004,2014-2018,46.47353,-67.83011,35,Not LSOG,Not LSOG,1,0,-1
171137585020004,2014-2018,46.70617,-67.78951,20,Not LSOG,Not LSOG,0,15,-1
171137586020004,2014-2018,46.63095,-67.83811,38,Not LSOG,Not LSOG,2,13,-1
171137587020004,2014-2018,43.93677,-70.30433,75,Not LSOG,Not LSOG,3,9,-1
171137589020004,2014-2018,43.79887,-70.44832,43,Not LSOG,Not LSOG,1,16,-1
171137590020004,2014-2018,43.72919,-70.52751,72,Not LSOG,Not LSOG,3,0,-1
171137591020004,2014-2018,43.59024,-70.58731,78,Transitioning LS,Transitioning LS,5,22,-1
