hexid,hagan,gedi,treemap,nvalid,disagree
28,0.894557823129252,0.532312925170068,0.102040816326531,588,0.792517006802721
29,0.341071428571429,0.366071428571429,0.108928571428571,560,0.257142857142857
30,0.0707317073170732,0.136585365853659,0.132926829268293,820,0.0658536585365854
31,0.431521739130435,0.22439585730725,0.00652173913043478,920,0.425
32,0.346092503987241,0.340650406504065,0.00956937799043062,1254,0.33652312599681
33,0.509859154929577,0.301865460712267,0.00507042253521127,1775,0.504788732394366
34,0.14992428066633,0.119131751640586,0.00959111559818274,1981,0.140333165068147
35,0.144253140995812,0.127035830618893,0.0162866449511401,2149,0.127966496044672
54,0.607495881383855,0.541186161449753,0.150329489291598,2428,0.457166392092257
55,0.367088607594937,0.362869198312236,0.0729355033152501,1659,0.294153104279687
56,0.294399410464259,0.367722918201916,0.198968312453943,2714,0.168754605747973
57,0.239026717557252,0.138219145380759,0.0283874045801527,4192,0.210639312977099
58,0.528738839285714,0.294274695935924,0.0203683035714286,3584,0.508370535714286
59,0.399034240561896,0.241477897514845,0.0645302897278314,4556,0.334503950834065
60,0.193334909004963,0.160331384015595,0.00590876861262113,4231,0.187426140392342
61,0.199719831899139,0.182575142160845,0.00580348208925355,4997,0.193916349809886
62,0.0333398705628555,0.110521140609636,0.00607962345557953,5099,0.104441517154057
81,0.679890560875513,0.603478600742623,0.118819620871604,5117,0.561070940003909
82,0.371904266389178,0.463059313215401,0.171488033298647,4805,0.291571279916753
83,0.273606729758149,0.190406059330949,0.171398527865405,4755,0.102208201892744
84,0.365140650854937,0.17197334320622,0.00864129435558007,5439,0.356499356499357
85,0.279248037963132,0.123760558207859,0.0250045628764373,5479,0.254243475086695
86,0.425494115034422,0.310495963091119,0.0286475682878081,4503,0.396846546746613
87,0.132741577567077,0.130488305293394,0.00726245713132943,4957,0.125479120435747
88,0.189326556543837,0.140389161665757,0.0212379742239971,5509,0.16808858231984
89,0.0206100577081616,0.306677658697444,0.021434460016488,1213,0.286067600989283
107,0.598365807668133,0.840351979886864,0.0465116279069768,1591,0.793840351979887
108,0.280366692131398,0.504201680672269,0.104660045836516,1309,0.399541634835752
109,0.697489672704163,0.525897680330473,0.103908484270734,3147,0.593581188433429
110,0.362714932126697,0.1352525801195,0.0847058823529412,5525,0.278009049773756
111,0.461434977578475,0.255705635770843,0.0286995515695067,4460,0.432735426008969
112,0.410532863363052,0.269612068965517,0.0242587601078167,4823,0.386274103255235
113,0.26456450682561,0.265219077161691,0.0198038838684868,5201,0.245415193293204
114,0.225213752956158,0.155959963603276,0.100054575222849,5497,0.125159177733309
115,0.0475547149419076,0.17380694143167,0.0156714401513105,3701,0.15813550128036
134,0.449302765303711,0.536441079034548,0.0917040888678799,4231,0.444736990166668
136,0.578156312625251,0.425517702070808,0.221442885771543,2994,0.356713426853707
137,0.570364854802681,0.291287878787879,0.0556589724497394,5372,0.514705882352941
138,0.383254716981132,0.145669291338583,0.0330188679245283,4240,0.350235849056604
139,0.270466949666465,0.211815561959654,0.0040428542551041,4947,0.26642409541136
140,0.224316334072432,0.224870657797487,0.0421286031042129,5412,0.182742054693274
141,0.0407020164301718,0.0597907324364723,0.032486930545183,2678,0.0273038018912894
160,0.593943016537159,0.646553446553447,0.0508069336521219,5019,0.595746512901325
163,0.483857264231096,0.264655904842821,0.230671197960918,2354,0.253186066270178
164,0.226818181818182,0.223666210670315,0.0875,4400,0.139318181818182
165,0.595126122274476,0.243193354868482,0.0324925181701582,2339,0.562633604104318
166,0.376925898752751,0.259643916913947,0.00348495964783566,5452,0.373440939104916
167,0.152185501066098,0.212686567164179,0.0783582089552239,3752,0.134328358208955
168,0.251978088861838,0.132052076875387,0.076080340839927,1643,0.175897748021911
169,0.537782139352306,0.112855740922473,0.013738959764475,1019,0.524043179587831
186,0.319757365684575,0.478677110530897,0.0251299826689775,1154,0.453547127861919
187,0.369283276450512,0.365669074647403,0.0249146757679181,2930,0.344368600682594
190,0.46446218167997,0.32497149372862,0.15963511972634,2631,0.30482706195363
191,0.282095425479587,0.178553234844626,0.0339399901623217,4066,0.248155435317265
192,0.287510477787091,0.153962754439151,0.0129924559932942,4772,0.274518021793797
193,0.243396226415094,0.301199657240788,0.0144654088050314,4770,0.286734248435757
194,0.0902693520990051,0.206534991465496,0.074981800533851,4121,0.131553190931645
195,0.278149989193862,0.174523130892348,0.026150853684893,4627,0.251999135508969
213,0.31439894319683,0.560123784261715,0.00660501981505945,2271,0.553518764446656
217,0.225484072454716,0.131386861313869,0.112846137830523,4803,0.112637934624193
218,0.324774774774775,0.166204986149584,0.0112612612612613,4440,0.313513513513514
219,0.325959001420743,0.407581006725087,0.00649482443677694,4927,0.40108618228831
220,0.0797702616464582,0.101680493512019,0.0129759625611572,4701,0.0887045309508615
221,0.214488188976378,0.28128,0.188976377952756,3175,0.0923036220472441
222,0.380179171332587,0.0642045454545455,0.0145576707726764,1786,0.36562150055991
223,0.0787096774193548,0.180645161290323,0.0593548387096774,775,0.121290322580645
241,0.347115384615385,0.211538461538462,0.0153846153846154,1040,0.331730769230769
244,0.0538933640199463,0.0891510346161284,0.139815880322209,5214,0.0859225163022631
245,0.0986940697923357,0.0869082018226272,0.014771997430957,4671,0.0839220723613787
246,0.136065920135221,0.235508021390374,0.0021128248468202,4733,0.233395196543554
247,0.161022805805114,0.154803040774015,0.0165860400829302,1447,0.144436765722184
248,0.323668639053254,0.31062124248497,0.108284023668639,5070,0.215384615384615
249,0.154127322570819,0.268433881779403,0.124581175753884,3283,0.143852706025519
250,0.410438908659549,0.246706586826347,0.100830367734282,843,0.309608540925267
267,0.191353649893692,0.383416017009213,0.0163004961020553,1411,0.367115520907158
270,0.193747039317859,0.208195168166746,0.0895310279488394,4222,0.118664140217906
271,0.165188897455667,0.123747790218032,0.0398997686969931,5188,0.125289128758674
272,0.121780721118469,0.118105849582173,0.00551876379690949,5436,0.11626195732156
273,0.0621590023382697,0.123577873675951,0.00370226032735776,5132,0.119875613348594
274,0.598360655737705,0.126050420168067,0.0105386416861827,854,0.587822014051522
275,0.0159680638722555,0.0565535595475715,0.226214238190286,1503,0.210246174318031
276,0.372705796838088,0.258961228968544,0.068871524622933,5503,0.303834272215155
294,0.353529044347283,0.31105559025609,0.061211742660837,1601,0.292317301686446
296,0.430364372469636,0.438866396761134,0.161133603238866,2470,0.277732793522267
297,0.180444282592862,0.257189961531416,0.131646030589949,5492,0.125543930941467
298,0.065405107477494,0.105195045294879,0.0113907771449568,5443,0.0938042681499221
299,0.146230323115162,0.0782932891466446,0.0153272576636288,4828,0.130903065451533
300,0.122093023255814,0.0368663594470046,0.00539867109634552,2408,0.116694352159468
301,0.159855043285686,0.108717535735857,0.0612039460438897,4967,0.0986510972417959
302,0.129545454545455,0.14469696969697,0.109848484848485,5280,0.0348484848484848
303,0.530506101220244,0.251700680272109,0.0232046409281856,4999,0.507301460292058
323,0.168865435356201,0.217982545159326,0.108991272579663,4927,0.108991272579663
324,0.108664432742939,0.23015873015873,0.114169459071326,4178,0.121494297415791
325,0.11202485380117,0.110948638274538,0.00694444444444444,5472,0.105080409356725
326,0.108766233766234,0.0573593073593074,0.00378787878787879,5544,0.104978354978355
327,0.320896893953317,0.111459678907548,0.00459474361330638,5441,0.316302150340011
328,0.0542154835745463,0.0758097863542385,0.141741327819894,4353,0.087525844245348
329,0.311763639659235,0.125182481751825,0.00761283306144644,5517,0.304150806597789
330,0.408418283459388,0.228872081552121,0.0611640907596186,3041,0.34725419269977
349,0.234156820622986,0.664876476906552,0.171858216970999,931,0.493018259935553
350,0.262738853503185,0.350031908104659,0.0213375796178344,3140,0.328694328486824
351,0.39672131147541,0.389811980760822,0.099672131147541,4575,0.297049180327869
352,0.19043321299639,0.100180505415162,0.0209386281588448,5540,0.169494584837545
353,0.129961233154883,0.0675675675675676,0.00443049658482555,5417,0.125530736570057
354,0.161039898898718,0.101286464939301,0.00866582415598484,5539,0.152374074742733
355,0.0686351192804067,0.06394211967149,0.0809542432538131,5114,0.017012123582323
