YEAR,area_ac,area_ac_se,denom_ac,area_perc,area_perc_se,domain,region,perc_lo,perc_hi
2003,312555.025359677,41123.815004055,9991820.26220484,3.12810896470937,0.411574807441346,Stand age >= 120 yr,UT (AOI-clip),2.32142234212433,3.93479558729441
2004,299966.027356785,40469.9567829452,9975365.73710536,3.00706796384419,0.405698977355879,Stand age >= 120 yr,UT (AOI-clip),2.21189796822667,3.80223795946171
2005,269921.375789035,38452.5631576592,10006687.907503,2.69740975519631,0.384268636267027,Stand age >= 120 yr,UT (AOI-clip),1.94424322811294,3.45057628227968
2006,264163.473418295,38115.7594942274,10055863.3728288,2.62695965154093,0.379040148827174,Stand age >= 120 yr,UT (AOI-clip),1.88404095983967,3.36987834324219
2007,265633.287569403,38071.6622376696,10010593.2758607,2.65352192671682,0.380313745534691,Stand age >= 120 yr,UT (AOI-clip),1.90810698546883,3.39893686796482
2008,275465.6735186,38676.1505772432,10035470.229367,2.74492043942793,0.385394502631918,Stand age >= 120 yr,UT (AOI-clip),1.98954721426937,3.50029366458649
2009,290387.223511266,39457.6692385207,10023962.419502,2.8969304887487,0.393633451395969,Stand age >= 120 yr,UT (AOI-clip),2.1254089240126,3.6684520534848
2010,287771.919873575,39570.4707393941,10022823.6983099,2.87116613576771,0.394803619523575,Stand age >= 120 yr,UT (AOI-clip),2.09735104150151,3.64498123003392
2011,291672.790713252,39798.309843882,10024928.2452979,2.90947509624378,0.396993463395101,Stand age >= 120 yr,UT (AOI-clip),2.13136790798938,3.68758228449817
2012,285764.781737803,39204.3143781411,10042844.4372536,2.84545661862257,0.39037062281592,Stand age >= 120 yr,UT (AOI-clip),2.08033019790337,3.61058303934178
2013,288287.68690069,39326.3759785583,10056184.4750808,2.86677007184052,0.391066572774285,Stand age >= 120 yr,UT (AOI-clip),2.10027958920292,3.63326055447812
2014,301532.473647523,40327.1175469774,10048370.8098285,3.00080957753459,0.40132991019333,Stand age >= 120 yr,UT (AOI-clip),2.21420295355566,3.78741620151352
2015,346589.491282978,45848.113475202,10082413.2212616,3.43756483370565,0.454733529255856,Stand age >= 120 yr,UT (AOI-clip),2.54628711636417,4.32884255104713
2016,344662.695735896,45637.849251644,10090565.8327653,3.41569245420048,0.452282359661659,Stand age >= 120 yr,UT (AOI-clip),2.52921902926363,4.30216587913733
2017,364746.603227221,47036.1878055484,10101502.4268914,3.61081537986093,0.465635564075423,Stand age >= 120 yr,UT (AOI-clip),2.6981696742731,4.52346108544876
2018,372722.581849045,47365.531221373,10069502.6181865,3.70149942834191,0.470386006314021,Stand age >= 120 yr,UT (AOI-clip),2.77954285596643,4.62345600071739
2019,341770.981272977,43053.0236998486,10077007.858687,3.39159188983215,0.427240152072862,Stand age >= 120 yr,UT (AOI-clip),2.55420119176934,4.22898258789496
2020,352130.794120776,43456.7659261484,10083060.0987538,3.49230085581158,0.430987869759095,Stand age >= 120 yr,UT (AOI-clip),2.64756463108376,4.33703708053941
2021,356025.602222293,43609.2914469596,10094922.2813704,3.52677903107106,0.431992344581373,Stand age >= 120 yr,UT (AOI-clip),2.68007403569157,4.37348402645055
2022,386957.929065818,45279.5727843625,10056332.3949975,3.84790313075083,0.450259309317249,Stand age >= 120 yr,UT (AOI-clip),2.96539488448902,4.73041137701264
2023,404314.312065344,46360.8585542147,10045426.1870111,4.02485971763077,0.461512111991424,Stand age >= 120 yr,UT (AOI-clip),3.12029597812757,4.92942345713396
2024,398842.445805834,46192.5878025623,10041024.4219831,3.97212902831544,0.460038596275411,Stand age >= 120 yr,UT (AOI-clip),3.07045337961563,4.87380467701524
2003,937023.330753119,69474.9181761432,9991820.26220484,9.37790418726319,0.695317933599544,Stand age >= 100 yr,UT (AOI-clip),8.01508103740808,10.7407273371183
2004,915535.097067185,69032.1712427957,9975365.73710536,9.17796019910999,0.69202646862377,Stand age >= 100 yr,UT (AOI-clip),7.8215883206074,10.5343320776126
2005,898045.371852984,68582.8387060129,10006687.907503,8.97445168825174,0.685370017931605,Stand age >= 100 yr,UT (AOI-clip),7.6311264531058,10.3177769233977
2006,906278.778683758,69111.4758229046,10055863.3728288,9.01244125027145,0.687275406004876,Stand age >= 100 yr,UT (AOI-clip),7.66538145450189,10.359501046041
2007,885616.791081228,68116.4360815535,10010593.2758607,8.84679625549052,0.680443548194171,Stand age >= 100 yr,UT (AOI-clip),7.51312690102994,10.1804656099511
2008,931059.927909789,70053.2266530777,10035470.229367,9.27769109598083,0.698056245018589,Stand age >= 100 yr,UT (AOI-clip),7.90950085574439,10.6458813362173
2009,932407.219590975,69499.6663904239,10023962.419502,9.30178287357642,0.693335264857034,Stand age >= 100 yr,UT (AOI-clip),7.94284575445663,10.6607199926962
2010,905721.092762243,68289.7487124324,10022823.6983099,9.03658609614146,0.681342411759152,Stand age >= 100 yr,UT (AOI-clip),7.70115496909352,10.3720172231894
2011,900698.019714421,67815.436547281,10024928.2452979,8.984583207734,0.676468049325829,Stand age >= 100 yr,UT (AOI-clip),7.65870583105537,10.3104605844126
