state,panel,own_grp,n_plots,acres_forested,acres_lsog,acres_lsog_g,acres_og,pct_lsog,pct_lsog_g,pct_og
ME,2019-2023,Federal,23,40166.70095312142,14391.669642857141,5756.6678571428565,0,35.8298523437453,14.331940937498121,0
ME,2019-2023,Other federal,29,165144.26455035922,38057.00978048236,6779.073333333334,0,23.04470572084399,4.104940218051665,0
ME,2019-2023,Private,2141,11942346.748620555,1666219.8438124221,216802.59581161002,17368.58491902613,13.952197829165236,1.8154103240776578,0.14543695041372293
ME,2019-2023,State and local,157,878047.7934730388,272784.10589030787,38465.2126346907,6334.1525529587525,31.067113648943295,4.380765252258652,0.7213904072242564
NH,2019-2023,Federal,262,523579.44001400616,267089.29246946727,28397.221069527135,0,51.01218116248461,5.423670010565633,0
NH,2019-2023,Other federal,9,47840.63008649959,32414.313416619363,6588.836386761533,0,67.75477947930818,13.772469916989811,0
NH,2019-2023,Private,389,2349927.5008106893,499061.79762985674,122633.51313170795,6454.78042722902,21.23732742638605,5.218608365126211,0.2746799816165485
NH,2019-2023,State and local,57,308563.9332824288,99054.52433492862,26044.66674845085,6412.213547698766,32.1017830182583,8.4406062858332,2.0780826454625405
VT,2019-2023,Federal,160,274322.8831312445,123156.91127305433,32161.91982493039,0,44.894873467093255,11.724111185264533,0
VT,2019-2023,Other federal,7,33770.28277529438,6776.252034403946,6776.252034403946,0,20.06572488448722,20.06572488448722,0
VT,2019-2023,Private,398,2486588.2257951843,649686.2594057608,135322.2627690709,7273.004561154577,26.127617458576122,5.442085720718647,0.2924893026399153
VT,2019-2023,State and local,47,263141.6703611508,85030.05354252504,21469.52567119269,0,32.313412552951,8.158922774080848,0
NY,2019-2023,Federal,5,8482.342340299998,1820.5666666666664,0,0,21.463018039452034,0,0
NY,2019-2023,Other federal,15,96728.85325285606,35157.047837551116,0,0,36.34597811849181,0,0
NY,2019-2023,Private,1228,8553556.65473311,2144269.993730792,512377.05258587014,60306.47353247617,25.068753037886996,5.990222234657748,0.705045584740537
NY,2019-2023,State and local,518,3329751.0961593566,1801529.070557948,583847.3080703251,121806.60910342622,54.10401614210414,17.534262808525042,3.6581295594112704
