YEAR,area_ac,area_ac_se,denom_ac,area_perc,area_perc_se,perc_lo,perc_hi,domain,state
2003,474420.127196308,50531.9519745165,17705664.8565284,2.679482137726,0.285399912310463,2.12009830959749,3.2388659658545,Stand age >= 120 yr,ME
2004,449535.72179553,49217.1875191898,17655966.4633338,2.54608391293155,0.278756688971965,1.99972080254649,3.0924470233166,Stand age >= 120 yr,ME
2005,432594.173629448,48457.6990339891,17671279.2323816,2.44800711901345,0.27421726744713,1.91054127481708,2.98547296320983,Stand age >= 120 yr,ME
2006,429837.512535318,48547.2565617338,17693920.2593767,2.4292949568795,0.274372529377749,1.89152479929912,2.96706511445989,Stand age >= 120 yr,ME
2007,435632.260602481,48861.7966556221,17618989.4984654,2.47251558121664,0.277324625568781,1.92895931510183,3.01607184733145,Stand age >= 120 yr,ME
2008,456936.645027389,49831.4936153847,17656034.5945957,2.58799133281746,0.282234911516528,2.03481090624507,3.14117175938986,Stand age >= 120 yr,ME
2009,481632.871068426,51005.4182957903,17659810.5775246,2.7272822035894,0.288822001073468,2.1611910814854,3.2933733256934,Stand age >= 120 yr,ME
2010,471617.769739816,50506.9381045668,17664709.7651752,2.66983027748114,0.285919999682858,2.10942707810274,3.23023347685954,Stand age >= 120 yr,ME
2011,478914.053346599,50781.2434798071,17660247.3687886,2.71181962146802,0.287545482344455,2.14823047607289,3.27540876686315,Stand age >= 120 yr,ME
2012,481810.982020303,50704.5827668089,17638065.7907534,2.73165429665699,0.287472466472998,2.16820826236992,3.29510033094407,Stand age >= 120 yr,ME
2013,494086.602007281,51069.72466768,17636080.476069,2.80156695064827,0.289575253055679,2.23399945465914,3.3691344466374,Stand age >= 120 yr,ME
2014,510583.93823059,51913.6736881849,17545859.956428,2.90999665732277,0.295874205180613,2.33008321516877,3.48991009947678,Stand age >= 120 yr,ME
2015,563850.617116946,57514.967084421,17578764.9657608,3.20756673301674,0.327184345410194,2.56628541601276,3.84884805002072,Stand age >= 120 yr,ME
2016,568103.37157588,57623.1295697808,17566727.1127587,3.23397390947837,0.328024276804125,2.59104632694229,3.87690149201446,Stand age >= 120 yr,ME
2017,599949.092902961,59253.2860300501,17589532.4038138,3.4108302547763,0.336866749324176,2.75057142610091,4.07108908345168,Stand age >= 120 yr,ME
2018,599877.448250119,59189.6120116278,17502904.2119192,3.42730235500924,0.338170233322311,2.76448869769751,4.09011601232097,Stand age >= 120 yr,ME
2019,565481.626631253,54721.5682753467,17521753.7580255,3.22731180018007,0.312306456482887,2.61519114547361,3.83943245488653,Stand age >= 120 yr,ME
2020,575507.415270771,55022.1602400227,17532518.0551925,3.28251431687719,0.313829194795708,2.6674090950776,3.89761953867678,Stand age >= 120 yr,ME
2021,592245.146675527,55775.9622723475,17518847.2791189,3.38061709905673,0.318376896514351,2.7565983818886,4.00463581622485,Stand age >= 120 yr,ME
2022,626007.729943595,57053.6264956242,17478251.4220934,3.58163820181858,0.326426397685901,2.94184246235421,4.22143394128294,Stand age >= 120 yr,ME
2023,665886.209068044,59004.0759148619,17443662.507675,3.81735320076884,0.338255087708221,3.15437322886072,4.48033317267695,Stand age >= 120 yr,ME
2024,686291.874647547,59944.4322117694,17418749.2229461,3.93996070477598,0.344137408745763,3.26545138363429,4.61447002591768,Stand age >= 120 yr,ME
