state,domain,year,pct,lo,hi,slope,slope_lo,slope_hi
ME,Stand age >= 120 yr,2024,3.93996070477598,3.26545138363429,4.61447002591768,0.0646212951936852,0.0541707112568766,0.0750718791304938
ME,Large-tree BA >= 30 ft2/ac,2024,12.4979006726713,11.3487061098011,13.6470952355415,0.168108762183456,0.151401154733256,0.184816369633655
NH,Stand age >= 120 yr,2024,1.76138536845763,0.879985994462684,2.64278474245258,0.0523484305179946,0.0392714130706999,0.0654254479652894
NH,Large-tree BA >= 30 ft2/ac,2024,37.8560324090045,34.7360511579999,40.9760136600091,0.740919580878082,0.709616840176529,0.772222321579636
VT,Stand age >= 120 yr,2024,0.973891371702457,0.361376697453478,1.58640604595144,0.0042478188906666,-0.00490214291082488,0.0133977806921581
VT,Large-tree BA >= 30 ft2/ac,2024,39.0770548994383,35.800444167979,42.3536656308976,0.586152506548221,0.526962540541208,0.645342472555233
MA,Stand age >= 120 yr,2024,1.47035683985776,0.408045312387386,2.53266836732814,0.0117233087747118,-0.0013290548732489,0.0247756724226725
MA,Large-tree BA >= 30 ft2/ac,2024,56.133410625261,51.6127762772611,60.654044973261,1.09938230054038,1.04133318989092,1.15743141118984
CT,Stand age >= 120 yr,2025,6.77074505424837,3.78123178498119,9.76025832351555,0.178209540408462,0.119892683824027,0.236526396992897
CT,Large-tree BA >= 30 ft2/ac,2025,57.7137500626566,51.5875379869516,63.8399621383615,1.05849068280628,0.949693705012844,1.16728766059972
RI,Stand age >= 120 yr,2024,1.17288247501391,0,3.12323364034737,,,
RI,Large-tree BA >= 30 ft2/ac,2024,47.0165207223744,37.9398053265065,56.0932361182423,0.995912133727723,0.693594162724075,1.29823010473137
