"metric","value"
"hagan_prev",0.221
"canopy_prev",0.151
"ornl_mog_prev",0.361
"ornl_og_prev",0.361
"kappa_hag_can",0.22
"kappa_hag_ornl",-0.02
"kappa_can_ornl",-0.069
"allthree_pct_of_flagged",2.664
"single_pct_of_flagged",72.889
