res,n,refined_pct
Debsconeags,206,29
Pine Barrens Sites,57,53
Kennebec Estuary Sites,53,66
Nahmakanta,50,36
Bigelow,49,39
Spring River Preserve,45,33
Baxter State Park,45,31
Moose River Number 5 Mountain,44,32
St. John Ponds,37,38
Mt. Abraham,36,28
Big Spencer,36,61
Deboullie,33,48
Spring River Lake,31,32
Cutler,29,17
Mahoosucs,29,59
Duck Lake,26,42
Big Reed Forest Reserve,25,36
Bradley Sunkhaze,25,12
Trout Mountain,24,33
Number 5 Bog,24,21
Gero Island,23,30
Saco River Sites,20,75
Donnell Pond,18,22
Wassataquoik,17,59
Appleton Bog,16,50
Chamberlain Lake,16,12
Salmon Brook Lake,15,20
Great Heath,13,15
Rocky Lake,10,40
Great Wass Island,10,10
Forest City,8,0
Mt. Agamenticus,8,75
Great Duck Island,5,0
Placentia Island Preserve,5,0
Narraguagus,5,0
Shapleigh Woods,5,100
