state,t1,t2,kappa,pct_any
ME,14,18,0.12199821907288122,22.389525368248773
ME,8,18,0.11955557372324618,24.6481178396072
ME,10,18,0.11871036383460186,23.9607201309329
NH,16,18,0.19368336943036768,48.32663989290496
NH,14,18,0.1802798777545441,49.79919678714859
NH,12,18,0.17547884428092203,50.46854082998661
NY,8,18,0.29255083620014305,41.165142031776604
NY,10,18,0.2898222427299553,40.972556571978814
NY,12,18,0.2891411724748619,40.92441020702937
VT,16,18,0.2108326684557917,46.93251533742331
VT,8,18,0.19770550955266694,48.61963190184049
VT,14,18,0.19764163505955615,48.00613496932515
