state,own_grp,n_plots,pct_lsog,pct_lsog_lo,pct_lsog_hi,pct_lsog_g,pct_lsog_g_lo,pct_lsog_g_hi,pct_og,pct_og_lo,pct_og_hi
ME,Federal,35,31.428571428571427,17.142857142857142,45.714285714285715,8.571428571428571,0,17.142857142857142,0,0,0
ME,Other federal,38,15.789473684210526,5.263157894736842,28.947368421052634,2.631578947368421,0,7.894736842105263,0,0,0
ME,Private,3250,12.276923076923078,11.292307692307691,13.353846153846154,1.723076923076923,1.2923076923076922,2.1846153846153844,0.15384615384615385,0.03076923076923077,0.3076923076923077
ME,State and local,247,28.34008097165992,22.672064777327936,33.198380566801625,4.4534412955465585,2.0242914979757085,7.28744939271255,0.4048582995951417,0,1.214574898785425
NH,Federal,286,46.15384615384615,40.5506993006993,51.74825174825175,4.895104895104895,2.4475524475524475,7.6923076923076925,0,0,0
NH,Other federal,12,41.66666666666667,16.666666666666664,66.66666666666666,8.333333333333332,0,25,0,0,0
NH,Private,470,19.574468085106382,16.170212765957448,23.19148936170213,5.319148936170213,3.404255319148936,7.446808510638298,0.2127659574468085,0,0.6382978723404255
NH,State and local,72,27.77777777777778,18.055555555555554,38.88888888888889,5.555555555555555,1.3888888888888888,11.11111111111111,1.3888888888888888,0,4.166666666666666
NY,Federal,6,16.666666666666664,0,50,0,0,0,0,0,0
NY,Other federal,18,33.33333333333333,16.527777777777782,55.55555555555556,0,0,0,0,0,0
NY,Private,1653,18.753781004234725,16.878402903811253,20.449183303085295,4.3557168784029034,3.4482758620689653,5.263157894736842,0.48396854204476714,0.18148820326678766,0.8469449485783425
NY,State and local,614,48.697068403908794,44.78827361563518,52.60586319218241,15.63517915309446,12.703583061889251,18.729641693811075,3.420195439739414,1.9543973941368076,4.8900651465798015
VT,Federal,180,40,32.77777777777778,46.666666666666664,10,6.111111111111111,14.444444444444443,0,0,0
VT,Other federal,7,28.57142857142857,0,57.14285714285714,28.57142857142857,0,57.14285714285714,0,0,0
VT,Private,479,22.964509394572026,19.624217118997915,26.931106471816285,4.3841336116910234,2.7139874739039667,6.263048016701461,0.20876826722338201,0,0.6263048016701461
VT,State and local,56,32.142857142857146,19.642857142857142,44.642857142857146,8.928571428571429,1.7857142857142856,16.071428571428573,0,0,0
