state,own_grp,v51_class,n_plots,carbon_mean,carbon_lo,carbon_hi
ME,Federal,Not LSOG,24,49.264385856313865,38.617082981248984,59.9255335308857
ME,Federal,Transitioning LS,8,91.62398797785444,65.78324417032992,119.63422628288097
ME,Federal,LS,3,123.55228821439445,103.26842714386457,151.70406351953346
ME,Other federal,Not LSOG,32,44.224069928508605,36.216797296325446,52.487453499125856
ME,Other federal,Transitioning LS,5,89.11575426439924,81.39540186707292,99.58012906057502
ME,Other federal,LS,1,NA,NA,NA
ME,Private,Not LSOG,2851,38.486119067661754,37.59153219538916,39.39690913758326
ME,Private,Transitioning LS,343,71.92222397415179,68.67363517227562,74.90747127584699
ME,Private,LS,51,88.8572161411472,78.27192275524916,98.94482149103199
ME,Private,OG,5,134.42016768432117,115.51039597986257,158.27122812741885
ME,State and local,Not LSOG,177,42.838408903204495,39.01896364177346,46.94608260605907
ME,State and local,Transitioning LS,59,70.18458802201621,61.33025257654782,79.45365579429061
ME,State and local,LS,10,92.71936186104398,66.63185860102625,117.9534917806489
ME,State and local,OG,1,NA,NA,NA
NH,Federal,Not LSOG,154,58.48411915764583,53.56445413495764,63.31721519563154
NH,Federal,Transitioning LS,118,82.65861785450672,77.55394987089137,88.43467156321788
NH,Federal,LS,14,98.25459604878921,80.50821254802244,119.69496445747062
NH,Other federal,Not LSOG,7,44.62399747817351,22.589851072069337,64.80081085925774
NH,Other federal,Transitioning LS,4,79.8896162256172,65.04278602805654,92.12187726651143
NH,Other federal,LS,1,NA,NA,NA
NH,Private,Not LSOG,378,55.48800996515051,52.06123314287451,58.65505171903426
NH,Private,Transitioning LS,67,106.00677026627346,96.1367654918879,115.6425280670867
NH,Private,LS,24,118.34583166368499,96.85919999996649,138.92116123590233
NH,Private,OG,1,NA,NA,NA
NH,State and local,Not LSOG,52,50.343562894099364,42.179325186061035,59.088117999386
NH,State and local,Transitioning LS,16,87.74801857635396,68.40373417321894,106.7884495815591
NH,State and local,LS,3,127.81826657999041,110.11194958744302,140.32471968125057
NH,State and local,OG,1,NA,NA,NA
NY,Federal,Not LSOG,5,76.62491129781016,40.372008197268734,115.34167931937957
NY,Federal,Transitioning LS,1,NA,NA,NA
NY,Other federal,Not LSOG,12,40.56621945136284,26.542195332459563,54.15341116332493
NY,Other federal,Transitioning LS,6,114.3575390191776,83.47615177067854,143.11231956242008
NY,Private,Not LSOG,1343,45.09078989322601,43.368574959238785,46.88170378632117
NY,Private,Transitioning LS,238,97.42224102375418,92.47604424141453,102.23165971412301
NY,Private,LS,64,123.75557769629039,114.29606319174334,133.77455246806127
NY,Private,OG,8,150.40699331636935,127.00746466576724,175.41008578351799
NY,State and local,Not LSOG,315,53.32589855341698,49.73137320251336,56.68707894726525
NY,State and local,Transitioning LS,203,87.21062064957188,82.31369180408967,92.33970198966377
NY,State and local,LS,75,118.35569106983303,110.11343777593234,127.52869679707565
NY,State and local,OG,21,134.90129427535112,112.33567999507041,156.24352377645346
VT,Federal,Not LSOG,108,58.9749085164797,53.942376067865396,63.651006642665685
VT,Federal,Transitioning LS,54,82.08998590440677,75.08717216936043,89.35124176121751
VT,Federal,LS,18,115.23130151604826,101.14259194249128,129.09045544092993
VT,Other federal,Not LSOG,5,76.00359036159531,63.05814787110648,89.29686819598881
VT,Other federal,LS,2,99.01116614397247,69.14449363258451,128.87783865536045
VT,Private,Not LSOG,369,50.77866712334408,47.91562544044106,53.64784570537206
VT,Private,Transitioning LS,89,96.30546989367835,89.15644146148553,103.55128334269409
VT,Private,LS,20,116.22184219225936,99.49423837968814,132.1347268624222
VT,Private,OG,1,NA,NA,NA
VT,State and local,Not LSOG,38,51.34363135583391,42.463332638396814,60.35734569850305
VT,State and local,Transitioning LS,13,81.68123665330529,63.389958645528445,98.29791893581361
VT,State and local,LS,5,106.26485335127249,65.26262301028773,131.6031208487313
