state,lsog_mean_nearest_deg,random_mean_nearest_deg,clustering_ratio,n_lsog
ME,0.07999607703824854,0.08030594368228618,1.0038735229965023,441
NH,0.04846980238635617,0.05398497923427817,1.1137858331659811,236
VT,0.05733281265704933,0.0636946105027689,1.110962598046153,189
NY,0.07639828105636759,0.08470512083924887,1.1087307157703246,573
