state,eval_period,CN,LAT,LON,p_mature,v51_class,v51_total
ME,2019-2023,509641931126144,44.79974,-67.04813,0.7143095470364913,Transitioning LS,5
ME,2019-2023,509641934126144,44.897999,-67.22222,0.34900515581462815,Transitioning LS,4
ME,2019-2023,509641935126144,44.99234,-67.28043,0.23458173694842877,Not LSOG,2
ME,2019-2023,509641937126144,44.80271,-67.1854,0.21537891006925972,Not LSOG,2
ME,2019-2023,509641938126144,44.85901,-67.30806,0.23458173694842877,Not LSOG,2
ME,2019-2023,509641939126144,44.67453,-67.18799,0.23458173694842877,Not LSOG,2
ME,2019-2023,509641940126144,44.76005,-67.30038,0.2988454372844079,Transitioning LS,4
ME,2019-2023,509641941126144,44.69076,-67.35831,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641942126144,44.80905,-67.54819,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641944126144,44.59372,-67.6771,0.5638432296525292,Not LSOG,1
ME,2019-2023,509641945126144,45.13732,-67.20386,0.3008160045392108,Not LSOG,3
ME,2019-2023,509641946126144,45.0709,-67.23852,0.25665733770473287,Not LSOG,2
ME,2019-2023,509641947126144,45.10218,-67.39723,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641948126144,44.9337,-67.35585,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509641949126144,44.83859,-67.42162,0.37435030153963456,Transitioning LS,5
ME,2019-2023,509641950126144,45.02512,-67.47284,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641951126144,44.95066,-67.53303,0.25665733770473287,Not LSOG,2
ME,2019-2023,509641952126144,44.8362,-67.60076,0.3008160045392108,Not LSOG,3
ME,2019-2023,509641953126144,44.72188,-67.54791,0.2782353995884367,Not LSOG,2
ME,2019-2023,509641954126144,44.64832,-67.60452,0.2548705952953345,Not LSOG,3
ME,2019-2023,509641955126144,44.74763,-67.72403,0.21537891006925972,Not LSOG,2
ME,2019-2023,509641956126144,45.67397,-67.80914,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641957126144,44.50905,-67.71106,0.276354286363825,Not LSOG,3
ME,2019-2023,509641958126144,44.47163,-67.94997,0.276354286363825,Not LSOG,3
ME,2019-2023,509641959126144,44.52416,-67.87414,0.642582583708017,Not LSOG,3
ME,2019-2023,509641961126144,45.41226,-67.54035,0.5638432296525292,Not LSOG,1
ME,2019-2023,509641962126144,45.3415,-67.57952,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641963126144,45.29761,-67.47939,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641964126144,45.24966,-67.46716,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641965126144,45.19996,-67.52267,0.5638432296525292,Not LSOG,1
ME,2019-2023,509641967126144,45.12483,-67.57684,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641968126144,45.20663,-67.71854,0.21537891006925972,Not LSOG,2
ME,2019-2023,509641969126144,45.11721,-67.70254,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641970126144,45.04936,-67.65003,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641971126144,44.97382,-67.71196,0.21537891006925972,Not LSOG,2
ME,2019-2023,509641972126144,45.10091,-67.89125,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641973126144,44.92615,-67.77464,0.2781616398280879,Not LSOG,3
ME,2019-2023,509641974126144,45.01112,-67.91339,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641975126144,44.93013,-67.95938,0.1974009304781744,Not LSOG,1
ME,2019-2023,509641976126144,44.88406,-67.83771,0.2781616398280879,Not LSOG,3
ME,2019-2023,509641977126144,44.857,-67.8914,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641978126144,44.76173,-67.88135,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641979126144,44.86236,-68.01613,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641980126144,44.69997,-67.94882,0.2549403602718784,Not LSOG,2
ME,2019-2023,509641981126144,44.79812,-68.07063,0.2548705952953345,Not LSOG,3
ME,2019-2023,509641982126144,44.72547,-68.16763,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641983126144,44.61349,-68.0002,0.2549403602718784,Not LSOG,2
ME,2019-2023,509641984126144,44.56048,-68.06313,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509641985126144,44.65336,-68.19299,0.37435030153963456,Transitioning LS,5
ME,2019-2023,509641986126144,44.49637,-68.12756,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641987126144,44.66203,-68.30597,0.2249364003630322,Not LSOG,1
ME,2019-2023,509641988126144,44.50902,-68.31112,0.2549403602718784,Not LSOG,2
ME,2019-2023,509641989126144,44.49083,-68.17901,0.23627134681094064,Not LSOG,1
ME,2019-2023,509641993126144,44.30011,-68.32499,0.2548705952953345,Not LSOG,3
ME,2019-2023,509641994126144,44.15078,-68.4252,0.18057822853306668,Not LSOG,0
ME,2019-2023,509641995126144,44.23756,-68.53436,0.21544099060697866,Not LSOG,1
ME,2019-2023,509641997126144,45.615083,-67.768481,0.1974009304781744,Not LSOG,1
ME,2019-2023,509641998126144,45.44466,-67.69255,0.25665733770473287,Not LSOG,2
ME,2019-2023,509641999126144,45.30151,-67.81397,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642000126144,45.39938,-67.94866,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642002126144,45.16423,-67.93737,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642004126144,45.02883,-68.06517,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642005126144,44.95424,-68.13442,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642006126144,45.02623,-68.18843,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642007126144,44.98175,-68.31046,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509642008126144,44.82009,-68.21721,0.3008160045392108,Not LSOG,3
ME,2019-2023,509642009126144,44.56878,-68.35525,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642010126144,44.86221,-68.47808,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642012126144,44.54882,-68.47232,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642013126144,44.68255,-68.73187,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642014126144,44.39909,-68.57862,0.2782353995884367,Not LSOG,2
ME,2019-2023,509642018126144,45.75766,-67.83538,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642019126144,45.84685,-67.92282,0.590634963918016,Not LSOG,2
ME,2019-2023,509642020126144,45.72897,-67.83048,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642021126144,45.6946,-67.85877,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642024126144,45.47238,-67.88829,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642025126144,45.53197,-67.9556,0.34900515581462815,Transitioning LS,4
ME,2019-2023,509642026126144,45.65391,-68.14088,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642027126144,45.49019,-68.06919,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642028126144,45.4205,-68.11448,0.590634963918016,Not LSOG,2
ME,2019-2023,509642030126144,45.282852,-68.040238,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642031126144,45.35346,-68.17171,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642034126144,45.12159,-68.29552,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642035126144,45.208,-68.31131,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642036126144,45.12068,-68.17936,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642037126144,45.04645,-68.24393,0.2548705952953345,Not LSOG,3
ME,2019-2023,509642038126144,45.14139,-68.36429,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642039126144,45.24076,-68.47567,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642040126144,45.07786,-68.43251,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642041126144,45.00817,-68.47659,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642042126144,44.91191,-68.365710000000007,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642043126144,44.85619,-68.40268,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642044126144,44.9346,-68.52751,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642045126144,44.98891,-68.6527,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642046126144,44.88859,-68.53756,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642047126144,44.86027,-68.59539,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642049126144,44.69964,-68.53143,0.6694711472295376,Not LSOG,3
ME,2019-2023,509642050126144,44.65671,-68.60702,0.3008160045392108,Not LSOG,3
ME,2019-2023,509642051126144,44.72891,-68.71284,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642052126144,44.81375,-69.00352,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642053126144,44.6555,-68.76525,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642054126144,44.57404,-68.82427,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642056126144,44.42365,-68.76891,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642057126144,44.53642,-68.89995,0.27516034859358574,Transitioning LS,4
ME,2019-2023,509642058126144,44.62922,-69.01646,0.744434067465401,OG,8
ME,2019-2023,509642059126144,44.46919,-68.88707,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642060126144,44.43332,-68.96937,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642061126144,44.37374,-69.00124,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509642062126144,44.3315,-69.12525,0.7050130462894892,Not LSOG,3
ME,2019-2023,509642063126144,44.42173,-69.13169,0.276354286363825,Not LSOG,3
ME,2019-2023,509642065126144,44.12427,-69.16975,0.6169859589412369,Not LSOG,2
ME,2019-2023,509642066126144,44.07625,-69.0576,0.738002184027737,Transitioning LS,5
ME,2019-2023,509642068126144,44.10074,-69.2383,0.2988454372844079,Transitioning LS,4
ME,2019-2023,509642069126144,44.19612,-69.35685,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642070126144,44.05677,-69.23601,0.590634963918016,Not LSOG,2
ME,2019-2023,509642071126144,44.02668,-69.29658,0.2549403602718784,Not LSOG,2
ME,2019-2023,509642073126144,43.98818,-69.51656,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642074126144,46.47353,-67.83011,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642076126144,46.17085,-67.855950000000007,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642077126144,46.26196,-67.99806,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642079126144,45.99459,-67.84537,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642080126144,45.95135,-67.85142,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642081126144,46.03014,-67.99657,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642082126144,45.96682,-68.04375,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642083126144,46.0537,-68.17363,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642084126144,45.86872,-68.17836,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642085126144,45.79221,-67.99894,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642086126144,45.73761,-68.05742,0.7398130914210179,Transitioning LS,4
ME,2019-2023,509642087126144,45.86039,-68.10142,0.6694711472295376,Not LSOG,3
ME,2019-2023,509642088126144,45.81336,-68.16958,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642089126144,45.73563,-68.22397,0.616899151780938,Not LSOG,3
ME,2019-2023,509642090126144,45.84593,-68.3317,0.642582583708017,Not LSOG,3
ME,2019-2023,509642091126144,45.672,-68.2683,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642092126144,45.60044,-68.18605,0.4026596151397796,Transitioning LS,5
ME,2019-2023,509642093126144,45.52283,-68.23083,0.3027939542100569,Not LSOG,2
ME,2019-2023,509642094126144,45.59761,-68.3375,0.590634963918016,Not LSOG,2
ME,2019-2023,509642095126144,45.54666,-68.39389,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642096126144,45.63625,-68.52776,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642097126144,45.47432,-68.47343,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642098126144,45.37931,-68.39461,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642099126144,45.31279,-68.43383,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642101126144,45.33956,-68.58089,0.35873417982484085,LS,7
ME,2019-2023,509642103126144,45.27968,-68.65479,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642104126144,45.17267,-68.5063,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642106126144,45.19268,-68.71502,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642107126144,45.20345,-68.75708,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642108126144,45.20788,-68.90967,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642109126144,45.06078,-68.83787,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642110126144,44.8836,-68.88773,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642113126144,44.92017,-68.94388,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642115126144,44.84323,-69.01446,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642116126144,44.82038,-68.9504,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642118126144,44.77345,-69.04898,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642119126144,44.65971,-69.12684,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642120126144,44.80449,-69.2259,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642121126144,44.64059,-69.1839,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642122126144,44.501913,-69.149634,0.6674723002111448,Not LSOG,3
ME,2019-2023,509642123126144,44.46481,-69.15438,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642124126144,44.61915,-69.23531,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642125126144,44.55956,-69.2493,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642126126144,44.49353,-69.30602,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642128126144,44.44746,-69.41475,0.3230966597567764,Transitioning LS,5
ME,2019-2023,509642129126144,44.33104,-69.23332,0.6933818782980402,Not LSOG,3
ME,2019-2023,509642130126144,44.27866,-69.28741,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642131126144,44.38044,-69.36018,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642132126144,44.2769,-69.471,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642133126144,44.37813,-69.59376,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642135126144,44.11048,-69.42583,0.3125751083612596,Not LSOG,3
ME,2019-2023,509642136126144,44.05184,-69.46112,0.642582583708017,Not LSOG,3
ME,2019-2023,509642137126144,44.1483,-69.59167,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642138126144,44.07762,-69.64104,0.642582583708017,Not LSOG,3
ME,2019-2023,509642139126144,44.13854,-69.69594,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642140126144,43.99969,-69.69451,0.2781616398280879,Not LSOG,3
ME,2019-2023,509642141126144,44.02442,-69.63737,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509642143126144,43.93328,-69.76058,0.642582583708017,Not LSOG,3
ME,2019-2023,509642144126144,43.8629,-69.78851,0.6447355333707196,Not LSOG,2
ME,2019-2023,509642145126144,43.9567,-69.94797,0.616899151780938,Not LSOG,3
ME,2019-2023,509642148126144,46.70617,-67.78951,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642149126144,46.63095,-67.83811,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642150126144,46.55121,-67.79527,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642153126144,46.21535,-67.98039,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642154126144,46.48788,-67.9661,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642155126144,46.36405,-67.86238,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642156126144,46.35211,-68.12046,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642157126144,46.1907,-68.04927,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642158126144,46.12074,-68.11501,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642159126144,46.26756,-68.33864,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642160126144,46.14429,-68.16435,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642161126144,46.07938,-68.2316,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642162126144,45.98693,-68.22394,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642163126144,45.72868,-68.41295,0.590634963918016,Not LSOG,2
ME,2019-2023,509642164126144,46.01262,-68.4113,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642165126144,45.93035,-68.46755,0.2548705952953345,Not LSOG,3
ME,2019-2023,509642166126144,45.77291,-68.41086,0.4026596151397796,Transitioning LS,5
ME,2019-2023,509642167126144,45.70065,-68.46628,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642168126144,45.86837,-68.52064,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642169126144,45.79375,-68.59949,0.32448601524557913,Not LSOG,3
ME,2019-2023,509642170126144,45.74006,-68.65342,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642171126144,45.73062,-68.53447,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642172126144,45.56521,-68.58842,0.3125751083612596,Not LSOG,3
ME,2019-2023,509642174126144,45.61068,-68.7567,0.2548705952953345,Not LSOG,3
ME,2019-2023,509642175126144,45.5365,-68.83023,0.590634963918016,Not LSOG,2
ME,2019-2023,509642176126144,45.35886,-68.78687,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642177126144,45.26752,-68.84901,0.3008160045392108,Not LSOG,3
ME,2019-2023,509642178126144,45.40733,-68.89498,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642179126144,45.30455,-68.88495,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642180126144,45.30931,-69.00697,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642181126144,45.14584,-68.94638,0.23627134681094064,Not LSOG,1
ME,2019-2023,509642182126144,45.09047,-69.00536,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642183126144,45.22542,-69.07463,0.590634963918016,Not LSOG,2
ME,2019-2023,509642184126144,45.25897,-69.12843,0.276354286363825,Not LSOG,3
ME,2019-2023,509642185126144,45.0987,-69.30976,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642186126144,44.9374,-69.1312,0.6694711472295376,Not LSOG,3
ME,2019-2023,509642187126144,44.87902,-69.20877,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642188126144,44.97765,-69.31135,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642189126144,44.89015,-69.22557,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642190126144,44.89336,-69.34765,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642191126144,44.74937,-69.31992,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642192126144,44.652589999999996,-69.35448,0.7130880041903571,LS,6
ME,2019-2023,509642193126144,45.0069,-69.51714,0.276354286363825,Not LSOG,3
ME,2019-2023,509642200126144,44.46972,-69.70766,0.7603890633690075,Transitioning LS,5
ME,2019-2023,509642201126144,44.31165,-69.65106,0.25665733770473287,Not LSOG,2
ME,2019-2023,509642202126144,44.24101,-69.70095,0.6674723002111448,Not LSOG,3
ME,2019-2023,509642205126144,44.09692,-69.80331,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642206126144,44.02199,-69.87054,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642207126144,44.11271,-69.98548,0.590634963918016,Not LSOG,2
ME,2019-2023,509642209126144,43.982170000000004,-70.0954,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642210126144,43.90703,-69.97304,0.3125751083612596,Not LSOG,3
ME,2019-2023,509642212126144,44.03527,-70.05233,0.7143095470364913,Transitioning LS,5
ME,2019-2023,509642213126144,43.89498,-70.15922,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642214126144,43.82845,-70.21128,0.748554541042435,Transitioning LS,5
ME,2019-2023,509642217126144,43.62318,-70.40477,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642220126144,43.34346,-70.62373,0.2988454372844079,Transitioning LS,4
ME,2019-2023,509642221126144,43.27463,-70.67314,0.6299685665522238,Not LSOG,2
ME,2019-2023,509642222126144,43.21555,-70.61081,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642223126144,43.19065,-70.70089,0.7162212459177082,Transitioning LS,4
ME,2019-2023,509642224126144,47.022,-67.8997,0.34900515581462815,Transitioning LS,4
ME,2019-2023,509642225126144,46.84378,-67.86186,0.7587418963588353,Transitioning LS,5
ME,2019-2023,509642226126144,46.95804,-67.93423,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642229126144,46.81786,-68.08173,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642230126144,46.73387,-67.97707,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642232126144,46.74777,-68.14588,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642233126144,46.58278,-68.08921,0.21544099060697866,Not LSOG,1
ME,2019-2023,509642234126144,46.77074,-68.0663,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642235126144,46.68475,-68.21526,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642236126144,46.6165,-68.27824,0.3244055053540762,Transitioning LS,4
ME,2019-2023,509642237126144,46.50304,-68.12421,0.6447355333707196,Not LSOG,2
ME,2019-2023,509642238126144,46.5716,-68.16323,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642239126144,46.54581,-68.33313,0.23458173694842877,Not LSOG,2
ME,2019-2023,509642240126144,46.40012,-68.28823,0.642582583708017,Not LSOG,3
ME,2019-2023,509642241126144,46.47873,-68.40534,0.21537891006925972,Not LSOG,2
ME,2019-2023,509642242126144,46.39286,-68.48542,0.5638432296525292,Not LSOG,1
ME,2019-2023,509642243126144,46.29017,-68.33259,0.276354286363825,Not LSOG,3
ME,2019-2023,509642244126144,46.23428,-68.39933,0.18057822853306668,Not LSOG,0
ME,2019-2023,509642245126144,46.32703,-68.51906,0.1974009304781744,Not LSOG,1
ME,2019-2023,509642246126144,46.14671,-68.47632,0.25665733770473287,Not LSOG,2
