YEAR,area_ac,area_ac_se,denom_ac,area_perc,area_perc_se,perc_lo,perc_hi,domain,region
2008,456936.645027389,49831.4936153847,17656034.5945957,2.58799133281746,0.282234911516528,2.03481090624507,3.14117175938986,Stand age >= 120 yr,statewide
2009,481632.871068426,51005.4182957903,17659810.5775246,2.7272822035894,0.288822001073468,2.1611910814854,3.2933733256934,Stand age >= 120 yr,statewide
2010,471617.769739816,50506.9381045668,17664709.7651752,2.66983027748114,0.285919999682858,2.10942707810274,3.23023347685954,Stand age >= 120 yr,statewide
2011,478914.053346599,50781.2434798071,17660247.3687886,2.71181962146802,0.287545482344455,2.14823047607289,3.27540876686315,Stand age >= 120 yr,statewide
2012,481810.982020303,50704.5827668089,17638065.7907534,2.73165429665699,0.287472466472998,2.16820826236992,3.29510033094407,Stand age >= 120 yr,statewide
2013,494086.602007281,51069.72466768,17636080.476069,2.80156695064827,0.289575253055679,2.23399945465914,3.3691344466374,Stand age >= 120 yr,statewide
2014,510583.93823059,51913.6736881849,17545859.956428,2.90999665732277,0.295874205180613,2.33008321516877,3.48991009947678,Stand age >= 120 yr,statewide
2015,563850.617116946,57514.967084421,17578764.9657608,3.20756673301674,0.327184345410194,2.56628541601276,3.84884805002072,Stand age >= 120 yr,statewide
2016,568103.37157588,57623.1295697808,17566727.1127587,3.23397390947837,0.328024276804125,2.59104632694229,3.87690149201446,Stand age >= 120 yr,statewide
2017,599949.092902961,59253.2860300501,17589532.4038138,3.4108302547763,0.336866749324176,2.75057142610091,4.07108908345168,Stand age >= 120 yr,statewide
2018,599877.448250119,59189.6120116278,17502904.2119192,3.42730235500924,0.338170233322311,2.76448869769751,4.09011601232097,Stand age >= 120 yr,statewide
2019,565481.626631253,54721.5682753467,17521753.7580255,3.22731180018007,0.312306456482887,2.61519114547361,3.83943245488653,Stand age >= 120 yr,statewide
2020,575507.415270771,55022.1602400227,17532518.0551925,3.28251431687719,0.313829194795708,2.6674090950776,3.89761953867678,Stand age >= 120 yr,statewide
2021,592245.146675527,55775.9622723475,17518847.2791189,3.38061709905673,0.318376896514351,2.7565983818886,4.00463581622485,Stand age >= 120 yr,statewide
2022,626007.729943595,57053.6264956242,17478251.4220934,3.58163820181858,0.326426397685901,2.94184246235421,4.22143394128294,Stand age >= 120 yr,statewide
2023,665886.209068044,59004.0759148619,17443662.507675,3.81735320076884,0.338255087708221,3.15437322886072,4.48033317267695,Stand age >= 120 yr,statewide
2024,686291.874647547,59944.4322117694,17418749.2229461,3.93996070477598,0.344137408745763,3.26545138363429,4.61447002591768,Stand age >= 120 yr,statewide
2003,99041.1187764772,23528.7835103938,17705664.8565284,0.559375316199769,0.132888449550192,0.298913955081393,0.819836677318146,Stand age >= 150 yr,statewide
2004,108320.875077024,24267.339288837,17655966.4633338,0.613508613657455,0.137445544763766,0.344115345920473,0.882901881394437,Stand age >= 150 yr,statewide
2005,102647.446683705,23618.2700211268,17671279.2323816,0.580871624141444,0.133653425485166,0.318910910190519,0.84283233809237,Stand age >= 150 yr,statewide
2006,100423.925849165,23423.5752321731,17693920.2593767,0.567561763459101,0.132382054902503,0.308092935850196,0.827030591068007,Stand age >= 150 yr,statewide
2007,93915.7353986256,22631.8170194618,17618989.4984654,0.533037013313423,0.128451277080522,0.2812725102356,0.784801516391245,Stand age >= 150 yr,statewide
2008,105108.417441985,24005.6889826257,17656034.5945957,0.595311573948534,0.135963083069477,0.32882393113236,0.861799216764709,Stand age >= 150 yr,statewide
2009,93474.7223026421,22630.4373325994,17659810.5775246,0.529307615686469,0.128146546268174,0.278140385000848,0.78047484637209,Stand age >= 150 yr,statewide
2010,79324.924003759,21027.8581448556,17664709.7651752,0.449058745137963,0.119038797831316,0.215742701388584,0.682374788887341,Stand age >= 150 yr,statewide
2011,73470.1822300363,20198.1610745029,17660247.3687886,0.416020119626874,0.114370770990443,0.191853408485606,0.640186830768141,Stand age >= 150 yr,statewide
2012,85175.3636448169,21883.6226151915,17638065.7907534,0.482906485638971,0.124070421750347,0.23972845900829,0.726084512269651,Stand age >= 150 yr,statewide
2013,80754.4017482431,21415.4073572844,17636080.476069,0.457893134802949,0.121429517099016,0.219891281288878,0.695894988317019,Stand age >= 150 yr,statewide
2014,75768.2057404684,20724.3625725048,17545859.956428,0.431829536589401,0.118115399438785,0.200323353689383,0.66333571948942,Stand age >= 150 yr,statewide
2015,71966.6080977641,20217.9615604948,17578764.9657608,0.409395132353938,0.115013549585961,0.183968575165454,0.634821689542421,Stand age >= 150 yr,statewide
2016,72861.8543312118,20404.7043629773,17566727.1127587,0.414771937103141,0.116155412627531,0.187107328353179,0.642436545853102,Stand age >= 150 yr,statewide
2017,73075.5135980819,20435.6208842992,17589532.4038138,0.415448869932651,0.116180580672334,0.187734931814877,0.643162808050426,Stand age >= 150 yr,statewide
2018,92563.8150544606,23662.7120109704,17502904.2119192,0.528848321019926,0.135193061245553,0.263869920978642,0.793826721061209,Stand age >= 150 yr,statewide
2019,90927.0180851733,23006.2724308041,17521753.7580255,0.51893788339267,0.131301197063487,0.261587537148235,0.776288229637105,Stand age >= 150 yr,statewide
2020,88839.9712233884,22613.2243507662,17532518.0551925,0.506715412718924,0.128978759808372,0.253917043494514,0.759513781943334,Stand age >= 150 yr,statewide
2021,98608.8705124135,23646.7905760794,17518847.2791189,0.562873052897423,0.134979146740234,0.298313925286564,0.827432180508282,Stand age >= 150 yr,statewide
2022,110216.281222626,24736.6894161228,17478251.4220934,0.630591004563001,0.141528399029976,0.353195342464247,0.907986666661755,Stand age >= 150 yr,statewide
2023,110944.641228272,24880.0697219845,17443662.507675,0.636016898283018,0.142630996850791,0.356460144455467,0.915573652110569,Stand age >= 150 yr,statewide
2024,114902.145402433,25375.9716100205,17418749.2229461,0.659646361123739,0.145681938956858,0.374109760768297,0.945182961479181,Stand age >= 150 yr,statewide
2003,1705994.76859586,93069.4646584655,17705664.8565284,9.63530475935122,0.525647951729692,8.60503477396103,10.6655747447414,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2004,1617726.14912143,91184.6456111832,17655966.4633338,9.16248992928801,0.516452304100977,8.1502434132501,10.1747364453259,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2005,1671942.56928141,92573.8992875045,17671279.2323816,9.46135561152626,0.523866427948623,8.43457741274696,10.4881338103056,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2006,1662955.91120944,92914.5056350584,17693920.2593767,9.39845939640298,0.525121082682734,8.36922207434482,10.4276967184611,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2007,1675422.92296002,92074.9107387617,17618989.4984654,9.50918849861365,0.522589055103196,8.48491395061138,10.5334630466159,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2008,1710203.81452904,92574.9923322283,17656034.5945957,9.68622827150843,0.524324937381832,8.65855139424004,10.7139051487768,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2009,1744148.18333523,93156.113513509,17659810.5775246,9.87636971347238,0.52750346955628,8.84246291314207,10.9102765138027,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2010,1768611.69281062,93412.1916302865,17664709.7651752,10.0121186043901,0.528806829390666,8.97565721878439,11.0485799899958,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2011,1837271.64511648,94647.0743115392,17660247.3687886,10.4034309755113,0.535932891171226,9.3530025088157,11.4538594422069,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2012,1873655.47370802,95387.4861602016,17638065.7907534,10.622794448869,0.540804685115799,9.56281726604203,11.682771631696,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2013,1930733.12705611,96380.738430212,17636080.476069,10.9476316445482,0.546497497337883,9.87649654976593,12.0187667393304,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2014,1974230.86569975,97240.2112802767,17545859.956428,11.2518330284318,0.554206015104163,10.1655892388276,12.3380768180359,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2015,2042296.85354378,100781.575313102,17578764.9657608,11.6179769029376,0.573314311383079,10.4942808526268,12.7416729532485,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2016,2006003.42717469,99681.1373828794,17566727.1127587,11.4193350548363,0.56744285229137,10.3071470643453,12.5315230453274,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2017,2036731.22439697,100049.719617568,17589532.4038138,11.57922324277,0.568802611238688,10.4643701247422,12.6940763607978,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2018,2094028.02865057,101371.353823532,17502904.2119192,11.9638889826328,0.57916876305876,10.8287182070376,13.0990597582279,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2019,2081254.30587982,99366.6871758636,17521753.7580255,11.8781163953211,0.56710468910882,10.7665912046678,12.9896415859744,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2020,2099743.66823781,99832.292265572,17532518.0551925,11.9762812257076,0.569412174288367,10.8602333641024,13.0923290873128,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2021,2113452.11702612,100097.461038203,17518847.2791189,12.0638765973215,0.571370133225097,10.9439911362003,13.1837620584427,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2022,2121740.5716284,101102.255172755,17478251.4220934,12.1393182898515,0.578446051216292,11.0055640294675,13.2730725502354,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2023,2117594.10009343,101157.319006805,17443662.507675,12.1396186102644,0.579908714481817,11.0029975298801,13.2762396906488,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2024,2176977.97630551,102130.264790861,17418749.2229461,12.4979006726713,0.586323756566416,11.3487061098011,13.6470952355415,Large-tree BA >= 30 ft2/ac (>=16in),statewide
2003,887668.347310619,65977.4686183833,9671905.43481644,9.177802174484,0.682155848845264,7.84077671074728,10.5148276382207,Stand age >= 100 yr,northern units
2004,860549.464895383,65349.0856053501,9663751.4426044,8.90492134453598,0.676228957185786,7.57951258845184,10.2303301006201,Stand age >= 100 yr,northern units
2005,832825.24108296,64407.7499965896,9675368.83039207,8.60768468553784,0.665687800906083,7.30293659576191,9.91243277531376,Stand age >= 100 yr,northern units
2006,816713.316058775,64215.2572322372,9713831.87238281,8.40773576059881,0.661070297240847,7.11203797800675,9.70343354319087,Stand age >= 100 yr,northern units
2007,802376.642821118,63555.7419428661,9686269.88258718,8.28364945997979,0.656142588563623,6.99760998639509,9.56968893356449,Stand age >= 100 yr,northern units
2008,838694.368578543,64871.7881904342,9688523.7002374,8.65657549620271,0.669573509830446,7.34421141693504,9.96893957547039,Stand age >= 100 yr,northern units
2009,860779.23483873,65250.2013851341,9677374.5532008,8.89475993831433,0.674255202445921,7.57321974152033,10.2163001351083,Stand age >= 100 yr,northern units
2010,819682.969008602,63497.0932657882,9679056.92276643,8.46862432517158,0.65602562080645,7.18281410839094,9.75443454195223,Stand age >= 100 yr,northern units
2011,835987.816023556,64083.5534779437,9670929.94817593,8.64433741639535,0.662641067832683,7.34556092344329,9.94311390934741,Stand age >= 100 yr,northern units
2012,849318.174052984,64120.0710520562,9652316.65636223,8.79911221616589,0.664297218324185,7.49708966825048,10.1011347640813,Stand age >= 100 yr,northern units
2013,838387.908233569,63699.2182237191,9661865.59891413,8.67728804184353,0.659284871763048,7.38508969318795,9.9694863904991,Stand age >= 100 yr,northern units
2014,862973.43553755,65191.466333694,9637468.52151301,8.95435802058599,0.676437657753921,7.62854021138831,10.2801758297837,Stand age >= 100 yr,northern units
2015,946908.297940803,70264.3508305108,9643039.94455044,9.81960360410959,0.728653528706154,8.39144268784553,11.2477645203737,Stand age >= 100 yr,northern units
2016,948640.994976475,70374.1783872634,9636691.58122567,9.84405267077998,0.730273224935074,8.41271714990724,11.2753881916527,Stand age >= 100 yr,northern units
2017,985779.279824516,71322.4904984691,9665706.07717275,10.198730149188,0.737892192551867,8.75246145178636,11.6449988465897,Stand age >= 100 yr,northern units
2018,1052219.74454168,73612.4037442596,9629616.36457942,10.9269123992526,0.764437553452573,9.42861479448551,12.4252100040196,Stand age >= 100 yr,northern units
2019,1000679.84736628,69294.0698639867,9661420.37098363,10.3574817049845,0.71722445772155,8.95172176785028,11.7632416421188,Stand age >= 100 yr,northern units
2020,1042646.12781318,70303.9197029637,9663765.13923221,10.7892329003353,0.727500293002251,9.36333232605092,12.2151334746197,Stand age >= 100 yr,northern units
2021,1106079.5258769,72099.7202254069,9668158.63580619,11.4404362561917,0.74574407538561,9.9787778684359,12.9020946439475,Stand age >= 100 yr,northern units
2022,1140601.42872175,73471.0228334749,9616928.90509301,11.8603500137939,0.763975938249534,10.3629571748248,13.357742852763,Stand age >= 100 yr,northern units
2023,1171844.3704384,74632.0991294283,9604662.75481874,12.200786225945,0.777040287978718,10.6777872615067,13.7237851903833,Stand age >= 100 yr,northern units
2024,1168705.78156984,74117.7963438756,9595805.25960919,12.1793403466531,0.772397879476081,10.66544050288,13.6932401904262,Stand age >= 100 yr,northern units
2003,323681.854937795,41333.916507014,9671905.43481644,3.34661931011671,0.427360635250033,2.50899246502665,4.18424615520678,Stand age >= 120 yr,northern units
2004,317657.849584782,41033.5476710964,9663751.4426044,3.28710699433275,0.424613028540785,2.45486545839282,4.11934853027269,Stand age >= 120 yr,northern units
2005,298553.362848495,39863.856239499,9675368.83039207,3.08570523855054,0.412013815062838,2.27815816102738,3.89325231607371,Stand age >= 120 yr,northern units
2006,288160.588116202,39412.1078124563,9713831.87238281,2.96649758717222,0.405731829933232,2.17126320050308,3.76173197384135,Stand age >= 120 yr,northern units
2007,293316.598014789,39364.3012885844,9686269.88258718,3.02816875402241,0.406392778290731,2.23163890857258,3.82469859947225,Stand age >= 120 yr,northern units
2008,301928.985338853,39888.6074462177,9688523.7002374,3.11635698771583,0.411709860866009,2.30940566041845,3.92330831501321,Stand age >= 120 yr,northern units
2009,315673.580831893,40626.7013755344,9677374.5532008,3.26197543658661,0.419811191064182,2.43914550210081,4.08480537107241,Stand age >= 120 yr,northern units
2010,289269.387253789,38954.1942415603,9679056.92276643,2.9886112827107,0.402458571660374,2.19979248225637,3.77743008316503,Stand age >= 120 yr,northern units
2011,289772.000118725,38786.2183688337,9670929.94817593,2.99631991619772,0.401059862667595,2.21024258536923,3.7823972470262,Stand age >= 120 yr,northern units
2012,285228.111705735,38436.0195399596,9652316.65636223,2.95502232117229,0.398205124306867,2.17454027753083,3.73550436481375,Stand age >= 120 yr,northern units
2013,289590.789097383,38410.0500641188,9661865.59891413,2.99725540717446,0.397542789960104,2.21807153885266,3.77643927549627,Stand age >= 120 yr,northern units
2014,298600.859139687,39214.7994143858,9637468.52151301,3.09833291256042,0.406899377433498,2.30081013279076,3.89585569233007,Stand age >= 120 yr,northern units
2015,336304.70872451,44809.6246365651,9643039.94455044,3.48753827276807,0.464683594532741,2.5767584274839,4.39831811805225,Stand age >= 120 yr,northern units
2016,329085.38369742,44451.5851572663,9636691.58122567,3.41492078400173,0.461274336556204,2.51082308435157,4.31901848365189,Stand age >= 120 yr,northern units
2017,349865.095065849,45895.4443433129,9665706.07717275,3.619653776687,0.474827642976884,2.68899159645231,4.55031595692169,Stand age >= 120 yr,northern units
2018,356618.954154375,46284.4715346128,9629616.36457942,3.70335577922008,0.480647097270258,2.76128746857037,4.64542408986978,Stand age >= 120 yr,northern units
2019,329850.130531086,41308.9123229643,9661420.37098363,3.41409562844126,0.427565624274339,2.57606700486356,4.25212425201897,Stand age >= 120 yr,northern units
2020,344910.820720423,42200.5164632055,9663765.13923221,3.56911427120865,0.436688142304732,2.71320551229138,4.42502303012592,Stand age >= 120 yr,northern units
2021,349780.607042118,42403.8802652382,9668158.63580619,3.61786168616121,0.43859313714811,2.75821913735091,4.4775042349715,Stand age >= 120 yr,northern units
2022,367075.328721641,43114.8294335234,9616928.90509301,3.81697038986368,0.448322222811591,2.93825883315296,4.6956819465744,Stand age >= 120 yr,northern units
2023,393306.976450383,44606.6652080574,9604662.75481874,4.09495873504832,0.464427188613966,3.18468144536495,5.0052360247317,Stand age >= 120 yr,northern units
2024,401395.794277476,45119.6679419704,9595805.25960919,4.18303397597111,0.470201996823432,3.26143806219719,5.10462988974504,Stand age >= 120 yr,northern units
2003,81362.0235186047,21181.729483435,9671905.43481644,0.841220213193171,0.219002652850451,0.411975013606287,1.27046541278005,Stand age >= 150 yr,northern units
2004,89493.1850205027,21832.0375437548,9663751.4426044,0.926070848904037,0.2259167950813,0.483273930544688,1.36886776726339,Stand age >= 150 yr,northern units
2005,84844.5486271024,21234.5579693535,9675368.83039207,0.876912809365886,0.219470268695618,0.446751082722476,1.3070745360093,Stand age >= 150 yr,northern units
2006,83848.4313879953,21166.6849042132,9713831.87238281,0.86318594443026,0.217902524794481,0.436096995833077,1.29027489302744,Stand age >= 150 yr,northern units
2007,76731.7841308816,20209.7504047536,9686269.88258718,0.792170619454047,0.208643271865513,0.383229806597642,1.20111143231045,Stand age >= 150 yr,northern units
2008,87412.5254322041,21578.790502365,9688523.7002374,0.902227502731527,0.222725269298111,0.46568597490723,1.33876903055582,Stand age >= 150 yr,northern units
2009,75421.8954523794,20059.3476303818,9677374.5532008,0.779363194405176,0.207280885121339,0.373092659567353,1.185633729243,Stand age >= 150 yr,northern units
2010,55210.3977189732,17204.3651974425,9679056.92276643,0.570410920811004,0.17774836262173,0.222024130072414,0.918797711549594,Stand age >= 150 yr,northern units
2011,49497.360759733,16199.6302663907,9670929.94817593,0.511815937298449,0.167508505936869,0.183499265662186,0.840132608934712,Stand age >= 150 yr,northern units
2012,49588.5008753476,16213.4523102133,9652316.65636223,0.513747141134889,0.167974724487788,0.184516681138825,0.842977601130952,Stand age >= 150 yr,northern units
2013,38967.9308383441,14323.3223213805,9661865.59891413,0.403316838134486,0.148245928022331,0.112754819210719,0.693878857058254,Stand age >= 150 yr,northern units
2014,35102.8795868548,13540.6062343222,9637468.52151301,0.364233403289435,0.140499615683273,0.0888541565502202,0.63961265002865,Stand age >= 150 yr,northern units
2015,31410.4741759723,12786.3785223454,9643039.94455044,0.325732075741564,0.132596967303566,0.0658420198265743,0.585622131656554,Stand age >= 150 yr,northern units
2016,31600.0929581582,12832.4687563396,9636691.58122567,0.32791433337684,0.133162596812167,0.0669156436249923,0.588913023128688,Stand age >= 150 yr,northern units
2017,31692.1153679481,12854.53643036,9665706.07717275,0.327882051398134,0.132991178582579,0.0672193413762798,0.588544761419988,Stand age >= 150 yr,northern units
2018,46016.7055938619,16627.2002032087,9629616.36457942,0.477866447132047,0.17266731688677,0.139438506033977,0.816294388230117,Stand age >= 150 yr,northern units
2019,42152.4425910675,14875.9589875779,9661420.37098363,0.436296537905182,0.153972795058739,0.134509859590054,0.73808321622031,Stand age >= 150 yr,northern units
2020,42711.0265745046,15030.3992519005,9663765.13923221,0.441970867039284,0.155533573460734,0.137125063056245,0.746816671022322,Stand age >= 150 yr,northern units
2021,49224.44499126,16243.541334862,9668158.63580619,0.509139814989758,0.168010703451883,0.179838836224067,0.838440793755449,Stand age >= 150 yr,northern units
2022,53451.980426445,16751.158340276,9616928.90509301,0.555811329728532,0.174184071709263,0.214410549178377,0.897212110278686,Stand age >= 150 yr,northern units
2023,53842.9985052093,16834.8363236558,9604662.75481874,0.560592286056018,0.175277745334782,0.217047905199845,0.90413666691219,Stand age >= 150 yr,northern units
2024,57734.7661087356,17560.1632710772,9595805.25960919,0.601666713180953,0.18299832891557,0.242989988506435,0.960343437855471,Stand age >= 150 yr,northern units
2003,864422.498535758,67035.4788687836,9671905.43481644,8.93745812923328,0.693094854168783,7.57899221506247,10.2959240434041,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2004,798955.703221923,64841.8766814878,9663751.4426044,8.26755228512585,0.670980385480742,6.9524307295836,9.58267384066811,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2005,817163.669884588,65383.0493842764,9675368.83039207,8.44581415147431,0.675768030453749,7.12130881178496,9.77031949116366,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2006,805631.725594148,65002.0696295834,9713831.87238281,8.29365523490912,0.669170215045511,6.98208161341992,9.60522885639832,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2007,789119.976855537,64132.287511509,9686269.88258718,8.1467890779517,0.662094782500314,6.84908330425108,9.44449485165231,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2008,792042.151913261,63964.2792862784,9688523.7002374,8.17505511075803,0.660206665796886,6.88105004579614,9.46906017571993,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2009,781126.754536736,63434.3941651511,9677374.5532008,8.07168049807866,0.655491774307425,6.78691662043611,9.35644437572121,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2010,778301.314873636,63347.7483307804,9679056.92276643,8.04108624511721,0.654482650905565,6.7583002493423,9.32387224089211,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2011,828304.426949479,65243.2572405691,9670929.94817593,8.56488912015859,0.674632714642658,7.24260899945898,9.8871692408582,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2012,844339.907910212,65716.2925971473,9652316.65636223,8.74753634769819,0.680834404182452,7.41310091550058,10.0819717798958,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2013,871106.593546446,66727.9526548265,9661865.59891413,9.01592538861592,0.690632176277902,7.66228632311123,10.3695644541206,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2014,914231.231159875,68299.3591325492,9637468.52151301,9.48621755930101,0.708685677987841,8.09719363044485,10.8752414881572,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2015,938218.596722901,71313.376520057,9643039.94455044,9.72948989237688,0.739532107407252,8.28000696185867,11.1789728228951,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2016,887536.509830818,69543.3518890623,9636691.58122567,9.20997110211484,0.721651733926481,7.79553370361894,10.6244085006107,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2017,894785.575550351,69708.0651856369,9665706.07717275,9.25732241810604,0.721189581279165,7.84379083879887,10.6708539974132,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2018,940378.598468745,71323.1689052583,9629616.36457942,9.76548351321383,0.740664697376792,8.31378070635532,11.2171863200723,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2019,914496.783966554,68654.1603080924,9661420.37098363,9.4654486488662,0.710601109069666,8.07267047508965,10.8582268226427,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2020,920454.029547598,68957.8628621278,9663765.13923221,9.52479718087114,0.713571386189613,8.1261972639395,10.9233970978028,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2021,922094.072747799,69026.5326641129,9668158.63580619,9.53743217796208,0.713957385933573,8.13807570153228,10.9367886543919,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2022,933959.794541893,69674.988080737,9616928.90509301,9.7116221171946,0.724503516333973,8.29159522518001,11.1316490092092,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2023,921003.701554603,68905.4843308657,9604662.75481874,9.58913108211454,0.717417009736184,8.18299374303162,10.9952684211975,Large-tree BA >= 30 ft2/ac (>=16in),northern units
2024,941700.844609257,69770.701833231,9595805.25960919,9.81367190279568,0.727095850172272,8.38856403645803,11.2387797691333,Large-tree BA >= 30 ft2/ac (>=16in),northern units
