YEAR,area_ac,area_ac_se,denom_ac,area_perc,area_perc_se,perc_lo,perc_hi,domain,region
2003,1389023.65473886,83401.1322141073,17705664.8565284,7.84508046432778,0.471042081107481,6.92183798535711,8.76832294329844,Stand age >= 100 yr,statewide
2004,1354290.77272333,82785.4538939132,17655966.4633338,7.67044259817657,0.468880896810911,6.75143604042719,8.58944915592596,Stand age >= 100 yr,statewide
2005,1338864.07899375,82452.6220292655,17671279.2323816,7.57649778144162,0.466591133245044,6.66197916028133,8.4910164026019,Stand age >= 100 yr,statewide
2006,1353900.39336802,83441.3665051205,17693920.2593767,7.65178306175837,0.471582132630567,6.72748208180246,8.57608404171429,Stand age >= 100 yr,statewide
2007,1293463.96408459,81247.1805734958,17618989.4984654,7.34130617534705,0.461134167657982,6.4374832067374,8.24512914395669,Stand age >= 100 yr,statewide
2008,1348175.06085794,83139.6196376661,17656034.5945957,7.63577491669959,0.470885006439183,6.71284030407879,8.55870952932039,Stand age >= 100 yr,statewide
2009,1373135.62555149,83225.2112759526,17659810.5775246,7.77548331859836,0.471268991876235,6.85179609452094,8.69917054267578,Stand age >= 100 yr,statewide
2010,1357331.36632595,82298.2428097277,17664709.7651752,7.68385885966738,0.465890716030744,6.77071305624712,8.59700466308764,Stand age >= 100 yr,statewide
2011,1378584.35832768,82669.7625507062,17660247.3687886,7.80614410171903,0.468112143756324,6.88864429995664,8.72364390348142,Stand age >= 100 yr,statewide
2012,1382589.97762595,82226.5368100321,17638065.7907534,7.83867116739501,0.466187947054481,6.92494279116822,8.75239954362179,Stand age >= 100 yr,statewide
2013,1358743.12928174,81433.188503721,17636080.476069,7.70433731647725,0.461741987479704,6.79932302101703,8.60935161193747,Stand age >= 100 yr,statewide
2014,1402905.58226058,83352.8969224582,17545859.956428,7.99565017471039,0.475057347599092,7.06453777341617,8.92676257600461,Stand age >= 100 yr,statewide
2015,1501399.40655107,88251.8101925137,17578764.9657608,8.54098345063165,0.502036464816538,7.55699197959124,9.52497492167206,Stand age >= 100 yr,statewide
2016,1535607.38454138,89335.0447178494,17566727.1127587,8.74156793513386,0.508546891771123,7.74481602726246,9.73831984300526,Stand age >= 100 yr,statewide
2017,1611372.01852603,91303.7088876042,17589532.4038138,9.16097131824068,0.519079795821108,8.14357491843131,10.1783677180501,Stand age >= 100 yr,statewide
2018,1699525.16439963,93516.5001257523,17502904.2119192,9.70996095175038,0.534291332418245,8.66274994021062,10.7571719632901,Stand age >= 100 yr,statewide
2019,1682789.41695712,90808.245082702,17521753.7580255,9.60400106174503,0.518260023150416,8.58821141637022,10.6197907071199,Stand age >= 100 yr,statewide
2020,1745953.27792195,92039.8665590461,17532518.0551925,9.95837148107123,0.5249666150025,8.92943691566633,10.9873060464761,Stand age >= 100 yr,statewide
2021,1839126.5124382,94105.6967178021,17518847.2791189,10.497988156049,0.537168314892321,9.44513825886,11.5508380532379,Stand age >= 100 yr,statewide
2022,1934120.45505009,96569.9509906485,17478251.4220934,11.0658692814389,0.552514943620615,9.9829399919425,12.1487985709353,Stand age >= 100 yr,statewide
2023,2035092.35303862,99097.4476199836,17443662.507675,11.6666574587946,0.568100005239049,10.5531814485261,12.7801334690631,Stand age >= 100 yr,statewide
2024,2100042.64748064,100100.808567351,17418749.2229461,12.0562195402309,0.574672769474665,10.9298609120605,13.1825781684012,Stand age >= 100 yr,statewide
2003,474420.127196308,50531.9519745165,17705664.8565284,2.679482137726,0.285399912310463,2.12009830959749,3.2388659658545,Stand age >= 120 yr,statewide
2004,449535.72179553,49217.1875191898,17655966.4633338,2.54608391293155,0.278756688971965,1.99972080254649,3.0924470233166,Stand age >= 120 yr,statewide
2005,432594.173629448,48457.6990339891,17671279.2323816,2.44800711901345,0.27421726744713,1.91054127481708,2.98547296320983,Stand age >= 120 yr,statewide
2006,429837.512535318,48547.2565617338,17693920.2593767,2.4292949568795,0.274372529377749,1.89152479929912,2.96706511445989,Stand age >= 120 yr,statewide
2007,435632.260602481,48861.7966556221,17618989.4984654,2.47251558121664,0.277324625568781,1.92895931510183,3.01607184733145,Stand age >= 120 yr,statewide
