domain,region,slope_pct_per_yr,slope_lo,slope_hi
Stand age >= 100 yr,statewide,0.19108446555041,0.147641822374567,0.234527108726253
Stand age >= 120 yr,statewide,0.0646212951764874,0.0541707112387414,0.0750718791142335
Stand age >= 150 yr,statewide,0.000286147092511121,-0.00536653183133058,0.00593882601635282
Large-tree BA >= 30 ft2/ac (>=16in),statewide,0.168108762185482,0.151401154734965,0.184816369635999
Stand age >= 100 yr,northern units,0.173669117698376,0.131858077625635,0.215480157771118
Stand age >= 120 yr,northern units,0.0423833710306432,0.0266055778378922,0.0581611642233942
Stand age >= 150 yr,northern units,-0.0193283803384098,-0.0309744360873935,-0.00768232458942611
Large-tree BA >= 30 ft2/ac (>=16in),northern units,0.0832704747913425,0.0596107830286576,0.106930166554027
