YEAR,area_ac,area_ac_se,domain,region
2003,17705664.8565284,75809.9365920978,All forestland,statewide
2004,17655966.4633338,76583.4672381559,All forestland,statewide
2005,17671279.2323816,76787.5760536996,All forestland,statewide
2006,17693920.2593767,70977.6524500269,All forestland,statewide
2007,17618989.4984654,71821.9802533545,All forestland,statewide
2008,17656034.5945957,73263.6566270858,All forestland,statewide
2009,17659810.5775246,70854.7993395683,All forestland,statewide
2010,17664709.7651752,70544.6273912654,All forestland,statewide
2011,17660247.3687886,70577.9137760664,All forestland,statewide
2012,17638065.7907534,70458.9803101374,All forestland,statewide
2013,17636080.476069,70397.910563338,All forestland,statewide
2014,17545859.956428,66183.6709662188,All forestland,statewide
2015,17578764.9657608,65356.4823350531,All forestland,statewide
2016,17566727.1127587,65316.3745434148,All forestland,statewide
2017,17589532.4038138,66086.2556723033,All forestland,statewide
2018,17502904.2119192,68703.2511204569,All forestland,statewide
2019,17521753.7580255,68695.6276617691,All forestland,statewide
2020,17532518.0551925,69137.0104847298,All forestland,statewide
2021,17518847.2791189,69274.009236564,All forestland,statewide
2022,17478251.4220934,73318.1096376475,All forestland,statewide
2023,17443662.507675,73643.1399684981,All forestland,statewide
2024,17418749.2229461,74482.3343270713,All forestland,statewide
