t_1pt,t_2pt,pct_any_lsog,pct_ls_og,pct_og,auc_mat
10,20,34.144000000000005,9.888,1.1199999999999999,0.681778116882283
10,22,31.776,8.672,0.768,0.6730446959927583
10,24,31.2,8.352,0.64,0.6708834597285124
10,26,31.2,8.352,0.64,0.6708834597285124
10,28,31.2,8.352,0.64,0.6708834597285124
10,30,31.2,8.352,0.64,0.6708834597285124
10,32,31.2,8.352,0.64,0.6708834597285124
12,20,33.184000000000005,9.44,1.1199999999999999,0.6745949257683008
12,22,30.816,8.224,0.768,0.6668951499546443
12,24,30.240000000000002,7.904,0.64,0.6646620865360237
12,26,30.240000000000002,7.904,0.64,0.6646620865360237
12,28,30.240000000000002,7.904,0.64,0.6646620865360237
12,30,30.240000000000002,7.904,0.64,0.6646620865360237
12,32,30.240000000000002,7.904,0.64,0.6646620865360237
14,20,32.096000000000004,8.927999999999999,1.024,0.6758887659000823
14,22,29.727999999999998,7.712,0.672,0.6711736224051251
14,24,29.152,7.392,0.544,0.6697601496288058
14,26,29.152,7.392,0.544,0.6697601496288058
14,28,29.152,7.392,0.544,0.6697601496288058
14,30,29.152,7.392,0.544,0.6697601496288058
14,32,29.152,7.392,0.544,0.6697601496288058
16,20,29.855999999999998,7.936,0.864,0.6608864041661652
16,22,27.488,6.72,0.512,0.6566514561171762
16,24,26.912000000000003,6.4,0.384,0.6550025234639335
16,26,26.912000000000003,6.4,0.384,0.6550025234639335
16,28,26.912000000000003,6.4,0.384,0.6550025234639335
16,30,26.912000000000003,6.4,0.384,0.6550025234639335
16,32,26.912000000000003,6.4,0.384,0.6550025234639335
18,20,27.583999999999996,7.136000000000001,0.832,0.6500110119114157
18,22,25.216,5.92,0.48,0.6455444093976556
18,24,24.64,5.6000000000000005,0.35200000000000004,0.6442895747404352
18,26,24.64,5.6000000000000005,0.35200000000000004,0.6442895747404352
18,28,24.64,5.6000000000000005,0.35200000000000004,0.6442895747404352
18,30,24.64,5.6000000000000005,0.35200000000000004,0.6442895747404352
18,32,24.64,5.6000000000000005,0.35200000000000004,0.6442895747404352
20,22,23.008,5.056,0.416,0.641314693790376
20,24,22.432,4.736,0.28800000000000003,0.6412966180826526
20,26,22.432,4.736,0.28800000000000003,0.6412966180826526
20,28,22.432,4.736,0.28800000000000003,0.6412966180826526
20,30,22.432,4.736,0.28800000000000003,0.6412966180826526
20,32,22.432,4.736,0.28800000000000003,0.6412966180826526
22,24,20.768,4.032,0.22399999999999998,0.6179054630972535
22,26,20.768,4.032,0.22399999999999998,0.6179054630972535
22,28,20.768,4.032,0.22399999999999998,0.6179054630972535
22,30,20.768,4.032,0.22399999999999998,0.6179054630972535
22,32,20.768,4.032,0.22399999999999998,0.6179054630972535
