t_trans,t_ls,t_og,pct_any_lsog,pct_og,diff_any,diff_og,abs_loss
3,5,8,21.184,0.064,-12.355362394274561,-0.06612361743656475,12.421486011711126
3,6,8,21.184,0.064,-12.355362394274561,-0.06612361743656475,12.421486011711126
3,7,8,21.184,0.064,-12.355362394274561,-0.06612361743656475,12.421486011711126
3,5,9,21.184,0,-12.355362394274561,-0.13012361743656475,12.485486011711126
3,6,9,21.184,0,-12.355362394274561,-0.13012361743656475,12.485486011711126
3,7,9,21.184,0,-12.355362394274561,-0.13012361743656475,12.485486011711126
3,5,7,21.184,0.384,-12.355362394274561,0.25387638256343525,12.609238776837996
3,6,7,21.184,0.384,-12.355362394274561,0.25387638256343525,12.609238776837996
3,7,7,21.184,0.384,-12.355362394274561,0.25387638256343525,12.609238776837996
4,5,8,10.048,0.064,-23.49136239427456,-0.06612361743656475,23.557486011711124
4,6,8,10.048,0.064,-23.49136239427456,-0.06612361743656475,23.557486011711124
4,7,8,10.048,0.064,-23.49136239427456,-0.06612361743656475,23.557486011711124
4,5,9,10.048,0,-23.49136239427456,-0.13012361743656475,23.621486011711124
4,6,9,10.048,0,-23.49136239427456,-0.13012361743656475,23.621486011711124
4,7,9,10.048,0,-23.49136239427456,-0.13012361743656475,23.621486011711124
4,5,7,10.048,0.384,-23.49136239427456,0.25387638256343525,23.745238776837997
4,6,7,10.048,0.384,-23.49136239427456,0.25387638256343525,23.745238776837997
4,7,7,10.048,0.384,-23.49136239427456,0.25387638256343525,23.745238776837997
5,5,8,4,0.064,-29.539362394274562,-0.06612361743656475,29.605486011711125
5,6,8,4,0.064,-29.539362394274562,-0.06612361743656475,29.605486011711125
5,7,8,4,0.064,-29.539362394274562,-0.06612361743656475,29.605486011711125
5,5,9,4,0,-29.539362394274562,-0.13012361743656475,29.669486011711125
5,6,9,4,0,-29.539362394274562,-0.13012361743656475,29.669486011711125
5,7,9,4,0,-29.539362394274562,-0.13012361743656475,29.669486011711125
5,5,7,4,0.384,-29.539362394274562,0.25387638256343525,29.793238776838
5,6,7,4,0.384,-29.539362394274562,0.25387638256343525,29.793238776838
5,7,7,4,0.384,-29.539362394274562,0.25387638256343525,29.793238776838
