Plot_ID,res,g,ours_orig,ours_pelz,hag_code,hag_lsog,in_hag
9,Bigelow,spruce-fir,1,1,2,1,1
10,Bigelow,spruce-fir,0,0,3,1,1
11,Bigelow,maple-beech-birch,0,0,2,1,1
12,Salmon Brook Lake,spruce-fir,1,1,,0,0
13,Salmon Brook Lake,spruce-fir,1,1,,0,0
14,Salmon Brook Lake,spruce-fir,0,1,,0,0
15,Salmon Brook Lake,spruce-fir,0,0,,0,0
16,Salmon Brook Lake,spruce-fir,0,1,,0,0
17,Salmon Brook Lake,spruce-fir,1,1,,0,0
18,Salmon Brook Lake,spruce-fir,1,1,,0,0
20,Salmon Brook Lake,spruce-fir,1,1,,0,0
21,Salmon Brook Lake,spruce-fir,1,1,,0,0
22,Salmon Brook Lake,spruce-fir,1,1,,0,0
23,Salmon Brook Lake,aspen-birch,1,1,,0,0
24,Salmon Brook Lake,spruce-fir,0,1,,0,0
25,Salmon Brook Lake,spruce-fir,1,1,,0,0
26,Salmon Brook Lake,spruce-fir,1,1,,0,0
27,Spring River Lake,spruce-fir,1,1,3,1,1
28,Spring River Lake,spruce-fir,1,1,2,1,1
29,Spring River Lake,spruce-fir,1,1,2,1,1
30,Spring River Lake,spruce-fir,1,1,2,1,1
31,Spring River Lake,oak-hickory,0,0,1,0,1
32,Spring River Lake,spruce-fir,1,1,2,1,1
33,Spring River Lake,spruce-fir,1,1,2,1,1
34,Spring River Lake,maple-beech-birch,0,0,1,0,1
35,Spring River Lake,oak-hickory,1,1,2,1,1
36,Spring River Lake,oak-hickory,1,1,4,1,1
37,Spring River Lake,spruce-fir,1,1,2,1,1
38,Spring River Lake,spruce-fir,0,1,2,1,1
39,Spring River Lake,spruce-fir,1,1,1,0,1
40,Spring River Lake,oak-hickory,1,1,4,1,1
41,Spring River Lake,elm-ash-cottonwood,0,1,2,1,1
42,Spring River Lake,spruce-fir,0,1,3,1,1
43,Spring River Lake,maple-beech-birch,1,1,2,1,1
44,Spring River Lake,oak-hickory,1,1,2,1,1
45,Spring River Lake,spruce-fir,0,1,2,1,1
46,Spring River Lake,oak-hickory,0,0,4,1,1
47,Spring River Lake,spruce-fir,1,1,3,1,1
48,Spring River Lake,oak-hickory,0,0,1,0,1
49,Spring River Lake,oak-hickory,0,0,1,0,1
50,Spring River Lake,oak-hickory,1,1,2,1,1
51,Spring River Lake,oak-hickory,0,1,1,0,1
52,Spring River Lake,oak-hickory,1,1,1,0,1
53,Spring River Lake,aspen-birch,0,0,1,0,1
54,Spring River Lake,maple-beech-birch,0,0,2,1,1
55,Spring River Lake,aspen-birch,0,0,1,0,1
56,Spring River Lake,aspen-birch,0,0,1,0,1
57,Bigelow,spruce-fir,1,1,4,1,1
58,Bigelow,maple-beech-birch,0,1,3,1,1
59,Bigelow,spruce-fir,0,1,2,1,1
60,Bigelow,spruce-fir,1,1,2,1,1
61,Bigelow,maple-beech-birch,0,0,2,1,1
62,Bigelow,spruce-fir,1,1,2,1,1
63,Bigelow,maple-beech-birch,1,1,4,1,1
64,Bigelow,maple-beech-birch,1,1,2,1,1
65,Bigelow,maple-beech-birch,1,1,3,1,1
66,Bigelow,maple-beech-birch,1,1,3,1,1
67,Bigelow,maple-beech-birch,0,1,3,1,1
68,Bigelow,maple-beech-birch,1,1,4,1,1
69,Bigelow,maple-beech-birch,0,0,2,1,1
70,Bigelow,maple-beech-birch,1,1,3,1,1
73,Bigelow,maple-beech-birch,0,1,3,1,1
74,Bigelow,spruce-fir,1,1,2,1,1
75,Bigelow,spruce-fir,0,0,2,1,1
76,Bigelow,spruce-fir,0,0,2,1,1
77,Bigelow,spruce-fir,1,1,2,1,1
78,Bigelow,spruce-fir,1,1,3,1,1
79,Bigelow,maple-beech-birch,0,1,2,1,1
80,Bigelow,spruce-fir,0,1,2,1,1
81,Bigelow,pine-softwood,1,1,2,1,1
82,Bigelow,maple-beech-birch,0,1,3,1,1
83,Bigelow,maple-beech-birch,0,0,3,1,1
84,Bigelow,spruce-fir,1,1,2,1,1
85,Bigelow,spruce-fir,0,1,2,1,1
86,Bigelow,maple-beech-birch,1,1,3,1,1
87,Bigelow,spruce-fir,0,0,2,1,1
88,Bigelow,aspen-birch,0,1,2,1,1
89,Bigelow,spruce-fir,1,1,2,1,1
