cutoff,mapped_pos_rate,sensitivity,specificity,accuracy,TSS
0.1,0.943844492440605,1,0.329113924050633,0.885529157667387,0.329113924050633
0.15,0.926565874730022,0.997395833333333,0.417721518987342,0.898488120950324,0.415117352320675
0.2,0.909287257019438,0.9921875,0.493670886075949,0.907127429805616,0.485858386075949
0.25,0.88768898488121,0.989583333333333,0.607594936708861,0.924406047516199,0.597178270042194
0.3,0.868250539956804,0.984375,0.69620253164557,0.935205183585313,0.68057753164557
0.35,0.861771058315335,0.981770833333333,0.721518987341772,0.937365010799136,0.703289820675106
0.4,0.848812095032398,0.971354166666667,0.746835443037975,0.93304535637149,0.718189609704641
0.45,0.83585313174946,0.966145833333333,0.79746835443038,0.937365010799136,0.763614187763713
0.5,0.822894168466523,0.958333333333333,0.835443037974684,0.937365010799136,0.793776371308017
0.55,0.812095032397408,0.947916666666667,0.848101265822785,0.930885529157667,0.796017932489451
0.6,0.807775377969762,0.942708333333333,0.848101265822785,0.926565874730022,0.790809599156118
0.65,0.786177105831533,0.9296875,0.911392405063291,0.926565874730022,0.841079905063291
0.7,0.777537796976242,0.921875,0.924050632911392,0.922246220302376,0.845925632911392
0.75,0.76889848812095,0.9140625,0.936708860759494,0.91792656587473,0.850771360759494
0.8,0.760259179265659,0.903645833333333,0.936708860759494,0.909287257019438,0.840354694092827
0.85,0.749460043196544,0.893229166666667,0.949367088607595,0.90280777537797,0.842596255274262
0.9,0.727861771058315,0.875,0.987341772151899,0.894168466522678,0.862341772151899
