domain,owner,yr,pct,lo,hi,slope,slope_lo,slope_hi
Stand age >= 120 yr,private,2024,3.31318161668567,2.65720003280499,3.96916320056634,0.0312432859304017,0.0189040653720208,0.0435825064887827
Stand age >= 120 yr,public,2024,10.7974106118389,7.12353167349052,14.4712895501874,0.390666435836443,0.325828415385339,0.455504456287546
Large-tree BA >= 30,private,2024,11.5432214624685,10.3772722105224,12.7091707144145,0.149537081980943,0.134304386060557,0.164769777901329
Large-tree BA >= 30,public,2024,22.9428325245411,17.6328939325271,28.2527711165552,0.209574077123551,0.110637306447985,0.308510847799118
