hagan_class,ha,pct,pub_ha,pub_pct,acres
Not LSOG,3343087,78.0772933411121,3361292,80.3,8260947.8350806
Transitioning LS,758788,17.7213794495075,662696,15.8,1875005.9707944
LS,142118,3.31914448384148,124821,3,351181.2239484
OGL,37773,0.882182725538948,37060,0.9,93339.1151874
