SILC,Hagan,N
LS,LS,5647
Not LSOG,LS,9
OGL,LS,85
Transitioning LS,LS,368
LS,Not LSOG,2
Not LSOG,Not LSOG,226958
OGL,Not LSOG,0
Transitioning LS,Not LSOG,813
LS,OGL,40
Not LSOG,OGL,5
OGL,OGL,1560
Transitioning LS,OGL,67
LS,Transitioning LS,127
Not LSOG,Transitioning LS,2491
OGL,Transitioning LS,147
Transitioning LS,Transitioning LS,51384
