CN,eval_period,LAT,LON,v4_class,v5_class,silc_val,hagan_val
509642630126144,2019-2023,46.91904,-69.60625,Not LSOG,Not LSOG,,1
509642631126144,2019-2023,46.88847,-69.65114,Not LSOG,Not LSOG,,1
509642632126144,2019-2023,46.79398,-69.7389,Not LSOG,Not LSOG,,1
509642633126144,2019-2023,46.73312,-69.82278,Not LSOG,Not LSOG,,1
509642634126144,2019-2023,46.63551,-69.85749,Not LSOG,Not LSOG,,1
509642635126144,2019-2023,46.58196,-69.91342,Not LSOG,Not LSOG,,1
509642636126144,2019-2023,46.55786,-69.90897,Not LSOG,Not LSOG,,1
509642637126144,2019-2023,46.49862,-69.96287,Not LSOG,Not LSOG,,1
509642638126144,2019-2023,46.44946,-70.03276,Not LSOG,Not LSOG,,1
509642639126144,2019-2023,46.32744,-70.10409,Not LSOG,Not LSOG,,1
509642640126144,2019-2023,46.30474,-70.15374,Not LSOG,Not LSOG,,1
509642641126144,2019-2023,46.24489,-70.20995,Not LSOG,Not LSOG,,1
509642642126144,2019-2023,45.33212,-70.95529,Not LSOG,Not LSOG,,1
509642643126144,2019-2023,45.29734,-70.99558,Not LSOG,Not LSOG,,1
509642644126144,2019-2023,45.25144,-71.02234,Not LSOG,Not LSOG,,1
509642645126144,2019-2023,44.343124,-70.886137,Not LSOG,Not LSOG,,1
509642646126144,2019-2023,44.334465,-70.934067,Transitioning LS,Not LSOG,,1
509642647126144,2019-2023,44.282811,-70.964341,Not LSOG,Not LSOG,,1
606237253126144,2019-2023,44.75108,-67.09148,LS,Transitioning LS,,1
606237254126144,2019-2023,44.99025,-67.06332,Not LSOG,Not LSOG,,
606237255126144,2019-2023,44.81457,-67.01218,Transitioning LS,Not LSOG,,
606237257126144,2019-2023,45.03101,-67.25971,Not LSOG,Not LSOG,,
606237258126144,2019-2023,44.84404,-67.17601,Not LSOG,Not LSOG,,1
606237259126144,2019-2023,44.77695,-67.24746,Not LSOG,Not LSOG,,
606237260126144,2019-2023,44.70966,-67.32711,Not LSOG,Not LSOG,,
