state,eval_period,eval_year,n_plots,pct_trans,pct_ls,pct_og,pct_all,pct_trans_lo,pct_trans_hi,pct_ls_lo,pct_ls_hi,pct_og_lo,pct_og_hi,pct_all_lo,pct_all_hi,acres_trans,acres_ls,acres_og,acres_all,ac_all_lo,ac_all_hi,snag_thresh_1,snag_thresh_2
ME,2014-2018,2016,3150,10.507936507936508,1.8095238095238095,0.25396825396825395,12.571428571428573,9.427777777777779,11.587301587301587,1.3650793650793651,2.2857142857142856,0.09523809523809523,0.4444444444444444,11.396825396825397,13.746031746031745,1757659.2558730158,306658.5391746032,44146.096761904766,2108463.891809524,1910234.4178412699,2309135.7624761905,30,54
ME,2019-2023,2021,3125,12.064,1.856,0.192,14.112,10.975999999999999,13.216799999999996,1.376,2.336,0.064,0.35200000000000004,12.927200000000001,15.328799999999994,2018661.128704,305594.099712,33235.265536,2357490.493952,2160349.7548160003,2570600.8179456,30,54
NH,2014-2018,2016,748,24.331550802139038,4.144385026737968,0.1336898395721925,28.609625668449194,21.256684491978607,27.406417112299465,2.807486631016043,5.614973262032086,0,0.4010695187165776,25.40106951871658,31.818181818181817,1125570.3144385028,179869.34759358288,6417.1122994652405,1311856.7743315508,1160737.3488770055,1457529.0190909093,48,90
NH,2019-2023,2021,757,25.891677675033026,5.019815059445178,0.26420079260237783,31.175693527080583,22.721268163804492,29.06208718626156,3.5667107001321003,6.737120211360634,0,0.6605019815059445,28.00198150594452,34.34610303830912,1200741.3749009247,224202.00792602377,12681.638044914134,1437625.0208718625,1283829.2130515191,1585022.728771466,48,90
NY,2014-2018,2016,2228,18.895870736086177,5.700179533213644,0.5834829443447037,25.179533213644522,17.28007181328546,20.557675044883297,4.802513464991024,6.687612208258528,0.26929982046678635,0.9425493716337522,23.384201077199283,27.064631956912027,3359265.793626571,1035492.461983842,106653.52284560143,4501411.778456015,4174426.9233359518,4833656.846923249,30,48
NY,2019-2023,2021,2107,19.791172282866633,6.122448979591836,1.2814428096820123,27.195064072140486,18.082581869957284,21.499762695775985,5.077123872804936,7.166587565258661,0.8068343616516375,1.7560512577123872,25.201708590412906,29.046037019458947,3476501.1358803986,1102971.7883720929,233049.71063122922,4812522.63488372,4444411.551951827,5144511.725656145,30,48
VT,2014-2018,2016,660,25,5,0.30303030303030304,30.303030303030305,21.818181818181817,28.333333333333332,3.3333333333333335,6.666666666666667,0,0.7575757575757576,26.969696969696972,33.78787878787879,1095997.0036363637,218821.13575757577,13939.39393939394,1328757.5333333334,1185140.8080530304,1482019.432151515,30,54
VT,2019-2023,2021,657,22.07001522070015,6.54490106544901,0.15220700152207,28.767123287671232,19.025875190258752,25.266362252663622,4.71841704718417,8.52359208523592,0,0.45662100456621,25.41856925418569,32.26788432267884,961039.1275494673,291580.8931506849,7001.52207001522,1259621.5427701673,1111988.539764079,1413080.3971156771,30,54
