metric,area_ac,pct_of_class,lo,hi
Large-tree forest reserved (protected),123984,5.7,3.3,8.1
Large-tree forest on private land,1842297,84.6,76.1,93.2
Large-tree forest on public land,334681,15.4,11.8,18.9
