model,any_lsog_pct,ls_og_pct,og_pct.Old-growth,og_acres
unbalanced,21.506,4.395,1.032,109151.388
balanced,32.259,4.447,1.813,191783.428
weighted,19.979,4.462,0.814,86081.63
