state,v51_class,n_plots,mean,lo.2.5%,hi.97.5%,lo,hi
ME,Not LSOG,3084,38.8793253359386,37.9688779452177,39.78680031637404,NA,NA
ME,Transitioning LS,415,72.26213058211532,69.29935804729763,75.10961097160879,NA,NA
ME,LS,65,91.37864161072564,81.14810086785327,100.83474193966737,NA,NA
ME,OG,6,139.04085996526197,121.8822680447737,158.9302030587812,NA,NA
NH,Not LSOG,591,55.687403333239814,53.059489247607715,58.24968840916692,NA,NA
NH,Transitioning LS,205,90.63266964290852,85.86671757919189,95.59201485141602,NA,NA
NH,LS,42,113.47770068717503,99.00577927006452,128.42653598138824,NA,NA
NH,OG,2,143.07893167766895,131.1912629819269,154.96660037341098,NA,NA
NY,Not LSOG,1675,46.701198842289124,45.14388051081882,48.31654727159402,NA,NA
NY,Transitioning LS,448,93.13663224406183,89.86018406503192,96.72966495021845,NA,NA
NY,LS,139,120.84196980431699,113.86400852490151,127.059725977392,NA,NA
NY,OG,29,139.17872849356306,120.79555288837228,154.97346712007018,NA,NA
VT,Not LSOG,520,52.76479659927584,50.35486870216939,55.13246069903303,NA,NA
VT,Transitioning LS,156,90.16603933248915,84.69304558710756,94.92710404877943,NA,NA
VT,LS,45,113.95437489285253,103.60873767948381,123.82865940599959,NA,NA
VT,OG,1,NA,NA,NA,NA,NA
