grp,mean_s_ba_large,mean_s_maturity,mean_s_structure,mean_s_canopy,mean_s_deadwood,mean_s_height
LS (6-7),0.8619402985074627,1.0895522388059702,0.7238805970149254,1.8694029850746268,0.8843283582089553,0.8544776119402985
Not LSOG (<4),0.011330900710581909,0.267908584597657,0.05780679854042635,0.5260226618014212,0.18974457461110045,0.3942769348953332
OG (score >=8),1.8333333333333333,1.3611111111111112,1.0555555555555556,2,0.9722222222222222,1
TLS (4-5),0.19823788546255505,0.8308370044052863,0.2828193832599119,1.492511013215859,0.8951541850220265,0.6519823788546255
