state,fort_grp,v51_class,n,pct,n_total
NY,Other (201),Not LSOG,1,100,1
NY,Other (381),Not LSOG,8,80,10
NY,Other (381),Transitioning LS,2,20,10
NY,Other (384),Not LSOG,9,69.23076923076923,13
NY,Other (384),Transitioning LS,2,15.384615384615385,13
NY,Other (384),LS,2,15.384615384615385,13
NY,Other (510),Not LSOG,4,80,5
NY,Other (510),LS,1,20,5
NY,Other (512),Not LSOG,6,85.71428571428571,7
NY,Other (512),Transitioning LS,1,14.285714285714286,7
NY,Other (513),Not LSOG,11,91.66666666666667,12
NY,Other (513),Transitioning LS,1,8.333333333333334,12
NY,Other (515),Not LSOG,8,57.142857142857146,14
NY,Other (515),Transitioning LS,5,35.714285714285715,14
NY,Other (515),LS,1,7.142857142857143,14
NY,Other (516),Not LSOG,19,100,19
NY,Other (517),Not LSOG,43,93.47826086956522,46
NY,Other (517),Transitioning LS,3,6.521739130434782,46
NY,Other (519),Not LSOG,24,92.3076923076923,26
NY,Other (519),LS,2,7.6923076923076925,26
NY,Other (520),Not LSOG,20,83.33333333333333,24
NY,Other (520),Transitioning LS,3,12.5,24
NY,Other (520),LS,1,4.166666666666667,24
NY,Other (962),Not LSOG,29,96.66666666666667,30
NY,Other (962),Transitioning LS,1,3.3333333333333335,30
NY,Other (995),Not LSOG,22,100,22
NY,White-red-jack pine,Not LSOG,114,52.293577981651374,218
NY,White-red-jack pine,Transitioning LS,67,30.73394495412844,218
NY,White-red-jack pine,LS,29,13.302752293577981,218
NY,White-red-jack pine,OG,8,3.669724770642202,218
VT,Aspen-birch,Not LSOG,25,86.20689655172414,29
VT,Aspen-birch,Transitioning LS,2,6.896551724137931,29
VT,Aspen-birch,LS,2,6.896551724137931,29
VT,Elm-ash-cottonwood,Not LSOG,16,100,16
VT,Maple-beech-birch,Not LSOG,348,73.10924369747899,476
VT,Maple-beech-birch,Transitioning LS,104,21.84873949579832,476
VT,Maple-beech-birch,LS,23,4.831932773109243,476
VT,Maple-beech-birch,OG,1,0.21008403361344538,476
VT,Nonstocked,Not LSOG,3,100,3
VT,Oak-hickory,Not LSOG,9,100,9
VT,Oak-pine,Not LSOG,9,64.28571428571429,14
VT,Oak-pine,Transitioning LS,2,14.285714285714286,14
VT,Oak-pine,LS,3,21.428571428571427,14
VT,Other (384),Not LSOG,2,66.66666666666667,3
VT,Other (384),Transitioning LS,1,33.333333333333336,3
VT,Other (515),Transitioning LS,1,100,1
VT,Other (517),Not LSOG,2,100,2
VT,Other (519),Not LSOG,2,100,2
VT,Other (962),Not LSOG,5,100,5
VT,Other (995),Not LSOG,2,100,2
VT,White-red-jack pine,Not LSOG,45,47.36842105263158,95
VT,White-red-jack pine,Transitioning LS,35,36.8421052631579,95
VT,White-red-jack pine,LS,15,15.789473684210526,95
