year,known_ha,unknown_ha,any_LSOG_ha,any_LSOG_pct,LS_OG_ha,LS_OG_pct
2016,3765076.11,36029.97,242912.43,6.45172694795803,8175.42,0.217138240002272
2020,3888374.58,866.34,307268.1,7.90222479028757,23626.8,0.607626644858891
2022,3876444.9,870.57,302614.65,7.80649945520959,23032.35,0.594161676333901
