strat,total_kac,pct,lo,hi
Maple/beech/birch,22995,11.6,10.6,12.7
Spruce/fir,7428,2.1,1.3,2.8
Oak/hickory,4432,6.6,4.7,8.6
White/red/jack pine,3387,21.2,17.2,25.3
Aspen/birch,2527,0.6,0,1.3
Elm/ash/cottonwood,1772,0,0,0
Oak/pine,1475,16.4,10.8,22
Other,942,0,0,0
Other softwood,258,1.8,0,5
