target_share,threshold,ha
0.1,0.270911890171971,423779
0.125,0.261155473357779,529723
0.141,0.25525110484009,597528
0.16,0.248621409342747,678047
0.2,0.235744826351327,847557
0.25,0.221829891190865,1059447
