top_frac,k,J_M1_M2,J_M1_M3,J_M2_M3
0.05,214088,0.160834155704727,0.160834155704727,1
0.1,428177,0.29798198733475,0.29798198733475,1
0.2,856353,0.273252935377826,0.273252935377826,1
