term,estimate,std.error,statistic,p.value
(Intercept),-3.414614490334,0.14150243340787,-24.131136179769,1.17823898811311e-128
potapov_rh95,0.0651922169257521,0.00778078418941242,8.37861780236256,5.35528658141877e-17
ornl_p_mature,0.0121322358004417,0.00224714682578839,5.39895108820281,6.70316442251098e-08
ornl_p_oldgrowth,0.0129369556224303,0.00610833643685434,2.11791798899219,0.0341820138308234
