pair,kappa,jaccard
M1 vs M2,0.212480242227942,0.210902290435043
M1 vs M3,0.213859354528216,0.21246738788489
M1 vs M4,0.00809634256210928,0.0302317547282733
M2 vs M3,0.993059122380389,0.988155845886105
M2 vs M4,-0.0152035525023521,0.0169586549188352
M3 vs M4,-0.0153720781213786,0.016926276162889
