state,eval_period,eval_year,CN,INVYR,LAT,LON,STDAGE,ba_total,ba_large,sd_dia,max_dia,snag_tpa,snag_thresh_1,snag_thresh_2,s_ba_large_v4,s_maturity_v4,s_structure_v4,s_canopy_v4,s_deadwood_v4,v4_total,v4_class,potapov_rh95,ornl_p_nonforest,ornl_p_allforest,ornl_p_other,ornl_p_mature,ornl_p_oldgrowth,s_canopy_height,v5_total,v5_class,v5b_class
ME,2014-2018,2016,171137460020004,2014,45.17267,-68.5063,47,110.5270254366937,0,1.7643930141280908,10.6,6.018046,30,54,0,0,0,1,0,1,Not LSOG,12,0,100,46,45,9,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137461020004,2014,44.501913,-69.149634,65,68.15259966912984,0,2.7222762895618344,14.5,72.21655200000001,30,54,0,0,0,0,2,2,Not LSOG,21,2,98,60,38,0,1,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137462020004,2014,44.44746,-69.41475,82,186.52457605481675,28.690736291362075,5.045070590887725,21.4,6.018046,30,54,0,1,1,2,0,4,Transitioning LS,0,9,91,49,42,0,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137463020004,2014,45.11954,-69.3846,77,140.11287115030703,44.116618598384406,3.123167397488296,29.1,36.108276000000004,30,54,1,0,1,2,1,5,Transitioning LS,17,0,100,33,61,6,0,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137464020004,2014,45.05531,-69.41798,53,83.9123355851251,0,2.3295773528208477,13.1,12.036092,30,54,0,0,0,1,0,1,Not LSOG,21,0,100,38,59,3,1,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137465020004,2014,45.07827,-69.62557,35,128.03236610108362,0,2.0879788131770267,15,18.054138000000002,30,54,0,0,0,2,0,2,Not LSOG,20,1,99,47,52,0,1,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137466020004,2014,44.86515,-69.77111,66,156.62072594333267,34.30238593183956,2.957527602823273,23.5,66.198506,30,54,0,0,0,2,2,4,Transitioning LS,19,1,99,29,68,2,1,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137468020004,2014,43.80892,-70.61034,79,76.28664050911547,0,3.2659079761834393,16.5,0,30,54,0,0,1,0,0,1,Not LSOG,3,0,100,19,80,1,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137469020004,2014,43.64735,-70.55777,71,205.38197408114854,41.80329423352008,5.142986387058696,20.9,54.162414,30,54,1,0,1,2,2,6,LS,17,0,100,22,77,1,0,6,Transitioning LS,LS
ME,2014-2018,2016,171137471020004,2014,46.07537,-68.95256,73,110.68823909415204,0,2.3358491419463134,12.7,60.18046,30,54,0,0,0,1,2,3,Not LSOG,10,0,100,32,66,2,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137473020004,2014,43.75499,-70.82077,75,196.47937982240927,58.61887792545096,5.552918901492454,27.5,24.072184,30,54,1,0,1,2,0,4,Transitioning LS,19,2,98,21,70,7,1,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137474020004,2014,43.68409,-70.87732,92,78.97981040933651,0,4.852276282121286,19.8,12.036092,30,54,0,1,1,0,0,2,Not LSOG,20,1,99,23,70,6,1,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137475020004,2014,45.25897,-69.12843,73,140.9404133628277,0,4.042072197478932,17.2,66.198506,30,54,0,0,1,2,2,5,Transitioning LS,16,2,98,76,20,2,0,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137476020004,2014,44.87902,-69.20877,35,114.67765995605855,0,1.5238921937804815,10.9,0,30,54,0,0,0,1,0,1,Not LSOG,0,11,89,57,32,0,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137477020004,2014,44.89015,-69.22557,60,89.14831966824264,0,2.5932472255373775,18.5,0,30,54,0,0,0,1,0,1,Not LSOG,0,84,16,15,1,0,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137478020004,2014,43.90703,-69.97304,98,180.3490384581198,29.95932293582868,5.615119906904705,22.1,30.09023,30,54,0,1,1,2,1,5,Transitioning LS,15,3,97,36,56,5,0,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137479020004,2014,43.82845,-70.21128,82,185.25436994998512,33.905562839172,5.353921731222137,23.8,6.018046,30,54,0,1,1,2,0,4,Transitioning LS,20,1,99,29,69,1,1,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137480020004,2014,46.35269,-69.92032,33,148.23941147518283,0,1.8367141179217241,10.1,24.072184,30,54,0,0,0,2,0,2,Not LSOG,8,0,100,62,36,2,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137481020004,2014,46.15046,-70.08663,89,98.06638573742795,0,2.666589765515729,11.8,18.054138000000002,30,54,0,1,0,1,0,2,Not LSOG,5,26,74,69,5,0,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137482020004,2014,45.672,-68.2683,29,113.98003862974991,0,1.0468174935128607,9.6,0,30,54,0,0,0,1,0,1,Not LSOG,17,0,100,52,45,3,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137483020004,2014,45.70618,-69.67177,55,69.54327992530511,0,1.4604943099667307,10.1,60.18046,30,54,0,0,0,0,2,2,Not LSOG,13,0,100,72,28,0,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137484020004,2014,45.542099,-69.598127,68,48.38495682220164,0,3.2521417628034692,16.2,6.018046,30,54,0,0,1,0,0,1,Not LSOG,22,0,100,62,38,0,1,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137485020004,2014,45.489507,-69.835638,67,135.712462338324,0,2.770086237480142,16.4,18.054138000000002,30,54,0,0,0,2,0,2,Not LSOG,13,0,100,55,43,2,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137486020004,2014,44.56878,-68.35525,32,60.39975395789172,0,1.4578873514324675,9.9,0,30,54,0,0,0,0,0,0,Not LSOG,18,1,99,43,54,2,1,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137488020004,2014,44.65971,-69.12684,46,52.014051042848635,0,1.9161327484302448,9.4,6.018046,30,54,0,0,0,0,0,0,Not LSOG,21,0,100,49,51,0,1,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137489020004,2014,44.49353,-69.30602,47,112.03686908439263,0,1.8631906584361602,10.2,72.21655200000001,30,54,0,0,0,1,2,3,Not LSOG,0,37,63,56,7,0,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137491020004,2014,44.97382,-67.71196,61,188.04638063713895,0,1.5089080834685837,12.7,12.036092,30,54,0,0,0,2,0,2,Not LSOG,13,0,100,50,46,4,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137493020004,2014,44.98175,-68.31046,90,152.72281739717027,0,3.0550569802212504,17,54.162414,30,54,0,1,1,2,2,6,LS,15,0,100,66,34,0,0,6,Transitioning LS,LS
ME,2014-2018,2016,171137495020004,2014,45.65391,-68.14088,29,127.94141974386528,0,2.1465224324773517,12.8,18.054138000000002,30,54,0,0,0,2,0,2,Not LSOG,16,0,100,40,46,14,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137496020004,2014,45.00817,-68.47659,83,124.43556035290284,0,2.707104429417908,18.1,6.018046,30,54,0,1,0,2,0,3,Not LSOG,16,0,100,45,45,10,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137497020004,2014,44.49605,-68.72895,70,100.91380493884895,0,1.6908612142979669,12.5,18.054138000000002,30,54,0,0,0,1,0,1,Not LSOG,12,0,100,26,70,4,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137498020004,2014,44.02668,-69.29658,58,127.28359506320315,0,2.2353914840554263,12.1,120.36092,30,54,0,0,0,2,2,4,Transitioning LS,0,7,93,55,38,0,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137499020004,2014,46.0967,-67.91861,103,124.2517623403968,29.509327518089037,5.3009548899544,21.5,24.072184,30,54,0,1,1,2,0,4,Transitioning LS,NA,NA,NA,NA,NA,NA,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137500020004,2014,47.08529,-69.48739,59,10.68765900026724,0,3.2859803831007626,14.3,0,30,54,0,0,1,0,0,1,Not LSOG,3,0,100,78,22,0,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137501020004,2014,46.5672,-69.7213,135,249.57219662560223,13.793623217000999,4.089393158407049,20.5,102.306782,30,54,0,2,1,2,2,7,LS,15,0,100,54,42,4,0,7,LS,LS
ME,2014-2018,2016,171137502020004,2014,44.14712,-70.91165,45,127.37748651148296,0,2.4441089053504967,18.7,6.018046,30,54,0,0,0,2,0,2,Not LSOG,17,0,100,28,71,1,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137503020004,2014,47.21953,-68.76635,45,13.52259747523116,0,3.1805950481807024,11.3,6.018046,30,54,0,0,1,0,0,1,Not LSOG,0,0,100,83,15,2,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137504020004,2014,47.00511,-68.94493,50,69.23353303887336,0,3.196891652562352,19.7,36.108276000000004,30,54,0,0,1,0,1,2,Not LSOG,17,0,100,38,60,2,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137505020004,2014,46.98189,-69.24086,117,216.02669483490624,78.16134851058456,5.6277024632230805,27.6,30.09023,30,54,1,1,1,2,1,6,LS,21,0,100,63,36,1,1,7,LS,LS
ME,2014-2018,2016,171137506020004,2014,46.35016,-69.30619,25,179.43326346074184,0,1.341619021748736,17.9,6.018046,30,54,0,0,0,2,0,2,Not LSOG,13,1,99,56,39,4,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137507020004,2014,46.38465,-69.49819,37,167.55655653021384,0,1.2535060413179182,8.9,18.054138000000002,30,54,0,0,0,2,0,2,Not LSOG,6,32,68,64,2,2,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137508020004,2014,46.0535,-69.95988,89,80.2852182699678,0,4.556012857426841,15.6,18.054138000000002,30,54,0,1,1,1,0,3,Not LSOG,17,0,100,50,46,4,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137509020004,2014,45.82641,-69.72528,27,106.56034079122908,0,2.210584814932143,16.4,0,30,54,0,0,0,1,0,1,Not LSOG,0,0,100,80,19,1,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137510020004,2014,45.73062,-68.53447,64,92.89002524022828,19.222123737785758,1.7230236861117114,24.2,6.018046,30,54,0,0,0,1,0,1,Not LSOG,14,0,100,28,47,25,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137511020004,2014,45.14584,-68.94638,80,80.87796995828904,0,3.5441832536328293,17,36.108276000000004,30,54,0,1,1,1,1,4,Transitioning LS,14,0,100,44,47,9,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137512020004,2014,44.89336,-69.34765,50,32.76423084622212,0,2.591194163564642,10.4,6.018046,30,54,0,0,0,0,0,0,Not LSOG,0,7,93,69,24,0,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137513020004,2014,44.31165,-69.65106,77,100.64517369473268,0,2.7734524234156384,17.3,12.036092,30,54,0,0,0,1,0,1,Not LSOG,0,66,34,15,19,0,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137516020004,2014,46.95804,-67.93423,55,175.09715657966808,13.39286143358736,2.781625482107891,20.2,0,30,54,0,0,0,2,0,2,Not LSOG,13,1,99,39,14,46,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137517020004,2014,45.77428,-69.01119,104,102.12684065103707,0,2.1873689649431607,13,0,30,54,0,1,0,1,0,2,Not LSOG,14,0,100,34,62,4,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137518020004,2014,45.07786,-68.43251,37,54.75277913301324,0,1.9591616747398062,12.9,6.018046,30,54,0,0,0,0,0,0,Not LSOG,12,0,100,43,48,9,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137519020004,2014,44.19612,-69.35685,60,75.17134116456768,13.39286143358736,2.6374739695845126,20.2,6.018046,30,54,0,0,0,0,0,0,Not LSOG,17,0,100,36,63,1,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137520020004,2014,46.17085,-67.855950000000007,68,2.7780898729017593,0,0,9.2,0,30,54,0,0,0,0,0,0,Not LSOG,10,0,100,50,48,2,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137521020004,2014,45.86039,-68.10142,106,103.71276880232472,0,2.782573631177796,17.3,24.072184,30,54,0,1,0,1,0,2,Not LSOG,21,0,100,72,25,3,1,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137522020004,2014,45.27968,-68.65479,62,85.59649127613095,0,2.4581276664943577,13.6,0,30,54,0,0,0,1,0,1,Not LSOG,15,0,100,46,47,7,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137523020004,2014,44.64059,-69.1839,26,44.864345742628316,0,0.772888542537536,6.3,0,30,54,0,0,0,0,0,0,Not LSOG,20,0,100,39,60,1,1,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137524020004,2014,44.33104,-69.23332,90,89.27548694198892,0,4.1031217158705635,15.1,24.072184,30,54,0,1,1,1,0,3,Not LSOG,19,2,98,51,47,0,1,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137525020004,2014,45.2794,-70.76312,80,148.9126548316777,13.52579224626756,2.730543836048348,20.3,84.252644,30,54,0,1,0,2,2,5,Transitioning LS,14,0,100,42,54,4,0,5,Transitioning LS,Transitioning LS
ME,2014-2018,2016,171137526020004,2014,46.5179,-68.77071,118,80.1167013284382,0,2.430412045183452,17.1,0,30,54,0,1,0,1,0,2,Not LSOG,16,0,100,36,62,2,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137527020004,2014,46.40589,-69.05846,30,73.87987386439548,0,1.1343932687251923,7.2,0,30,54,0,0,0,0,0,0,Not LSOG,17,0,100,41,53,6,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137528020004,2014,46.11802,-69.30708,30,175.7604726348469,0,1.358490612992916,8.4,6.018046,30,54,0,0,0,2,0,2,Not LSOG,4,0,100,67,28,5,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137529020004,2014,45.86939,-69.72761,110,100.95038285970924,0,2.763013942462843,16.6,42.126322,30,54,0,1,0,1,1,3,Not LSOG,16,0,100,54,41,5,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137530020004,2014,45.56468,-69.77216,85,168.05286252592344,15.59852825139216,2.5187286446139785,21.8,36.108276000000004,30,54,0,1,0,2,1,4,Transitioning LS,15,0,100,64,34,2,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137531020004,2014,45.05375,-70.01802,55,64.32433344858384,0,2.1468224711586883,14.9,12.036092,30,54,0,0,0,0,0,0,Not LSOG,15,0,100,68,31,1,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137532020004,2014,44.72886,-70.4873,42,125.06882294489219,16.17620289415056,3.7708454553653756,22.2,0,30,54,0,0,1,2,0,3,Not LSOG,18,1,99,61,38,0,1,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137533020004,2014,44.47701,-70.46535,69,116.04702025887876,17.51437307513124,3.4016730695713124,23.1,78.234598,30,54,0,0,1,1,2,4,Transitioning LS,10,5,95,70,24,1,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137534020004,2014,44.04445,-70.15552,70,153.86762019027816,0,2.6003120987790647,15.6,12.036092,30,54,0,0,0,2,0,2,Not LSOG,14,2,98,31,66,1,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137535020004,2014,43.65028,-70.72471,96,102.84402434440427,13.39286143358736,3.9367829594300092,20.2,0,30,54,0,1,1,1,0,3,Not LSOG,15,1,99,25,74,0,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137536020004,2014,44.9337,-67.35585,103,181.5069915917712,0,1.9158784888127174,14,30.09023,30,54,0,1,0,2,1,4,Transitioning LS,5,0,100,44,41,15,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137537020004,2014,44.95066,-67.53303,77,100.67634631435895,0,2.630447275500203,14.3,6.018046,30,54,0,0,0,1,0,1,Not LSOG,7,0,100,80,15,5,0,1,Not LSOG,Not LSOG
ME,2014-2018,2016,171137538020004,2014,44.64832,-67.60452,57,152.47459845969192,0,3.0998832183756475,18.7,12.036092,30,54,0,0,1,2,0,3,Not LSOG,16,0,100,35,55,10,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137539020004,2014,45.10091,-67.89125,33,36.90466421674932,0,1.6873399586858722,9.8,6.018046,30,54,0,0,0,0,0,0,Not LSOG,5,0,100,52,35,13,0,0,Not LSOG,Not LSOG
ME,2014-2018,2016,171137540020004,2014,44.88406,-67.83771,101,146.67602311954477,0,3.752449305563996,16.4,12.036092,30,54,0,1,1,2,0,4,Transitioning LS,9,1,99,81,15,3,0,4,Not LSOG,Transitioning LS
ME,2014-2018,2016,171137541020004,2014,45.44466,-67.69255,76,120.4963683457176,0,1.9197649617031434,12.1,18.054138000000002,30,54,0,0,0,2,0,2,Not LSOG,3,1,99,93,6,0,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137542020004,2014,45.02623,-68.18843,71,145.58007339896832,0,2.565707307142053,18.3,30.09023,30,54,0,0,0,2,1,3,Not LSOG,13,1,99,38,50,11,0,3,Not LSOG,Not LSOG
ME,2014-2018,2016,171137543020004,2014,45.47238,-67.88829,87,105.84818188180596,0,2.044346158892201,17.4,6.018046,30,54,0,1,0,1,0,2,Not LSOG,12,0,100,39,54,7,0,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137544020004,2014,45.4205,-68.11448,25,83.41858531625364,0,1.3552453143714225,10.2,0,30,54,0,0,0,1,0,1,Not LSOG,19,0,100,48,49,3,1,2,Not LSOG,Not LSOG
ME,2014-2018,2016,171137545020004,2014,46.16438,-69.67264,28,7.7070232153278,0,0.4437059837324712,2.7,0,30,54,0,0,0,0,0,0,Not LSOG,9,0,100,78,21,1,0,0,Not LSOG,Not LSOG
