cost,gamma,eps,rmse,sys,slope,bias_hi
1,0.25,0.1,1.723,0.074,0.926,-3.347
4,0.25,0.1,1.723,0.113,0.887,-3.329
16,0.25,0.1,1.723,0.138,0.862,-3.315
1,1,0.1,1.725,0.145,0.855,-3.321
4,1,0.1,1.726,0.177,0.823,-3.302
16,1,0.1,1.727,0.21,0.79,-3.281
1,4,0.1,1.724,0.225,0.775,-3.251
4,4,0.1,1.73,0.281,0.719,-3.226
16,4,0.1,1.742,0.361,0.639,-3.196
1,0.25,0.5,1.715,0.056,0.944,-3.29
4,0.25,0.5,1.714,0.074,0.926,-3.277
16,0.25,0.5,1.714,0.076,0.924,-3.273
1,1,0.5,1.712,0.082,0.918,-3.268
4,1,0.5,1.712,0.125,0.875,-3.234
16,1,0.5,1.712,0.156,0.844,-3.215
1,4,0.5,1.711,0.136,0.864,-3.211
4,4,0.5,1.721,0.218,0.782,-3.211
16,4,0.5,1.729,0.28,0.72,-3.211
