cost,gamma,eps,rmse,sys,slope,bias_hi,dominated
1,4,0.5,1.711,0.136,0.864,-3.211,FALSE
1,1,0.5,1.712,0.082,0.918,-3.268,FALSE
4,0.25,0.5,1.714,0.074,0.926,-3.277,FALSE
1,0.25,0.5,1.715,0.056,0.944,-3.29,FALSE
