lsogf,n,p_harvest_any,p_harvest_med,slope_deg,slope_med,disturbance
LSOG,895963,0.0238,0.0231,6.65,5.28,0.128
Not LSOG,2901888,0.0212,0.0208,4.14,2.99,0.111
